REGIAO:;CO
UF:;DF
ESTACAO:;BRASILIA
CODIGO (WMO):;A001
LATITUDE:;-15,78944444
LONGITUDE:;-47,92583332
ALTITUDE:;1160,96
DATA DE FUNDACAO:;07/05/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;886,1;886,1;885,5;;20,8;19,5;20,9;20,7;19,5;19,2;92;90;92;8;3,6;1,8;
2025/01/01;0100 UTC;0;886,3;886,4;886;;20,7;19,3;20,8;20,5;19,5;19,3;93;92;92;4;3,4;1,9;
2025/01/01;0200 UTC;0;886,7;886,7;886,2;;20,6;19,1;20,8;20,5;19,3;19;92;91;91;3;3,7;1,4;
2025/01/01;0300 UTC;0;886,4;886,7;886,4;;20,3;18,9;20,6;20,1;19,1;18,7;92;91;92;345;3;1,1;
2025/01/01;0400 UTC;0;885,9;886,4;885,9;;19,8;18,9;20,3;19,7;19,1;18,8;95;92;94;228;2;,3;
2025/01/01;0500 UTC;0;885,3;885,9;885,3;;19,4;18,5;19,8;19,4;18,8;18,5;95;94;94;339;1,7;,9;
2025/01/01;0600 UTC;0;885,3;885,4;885,3;;19,7;18,7;19,9;19,4;18,9;18,4;95;94;94;156;1,5;,4;
2025/01/01;0700 UTC;0;885,2;885,3;885,2;;20;19,1;20;19,5;19,1;18,6;95;94;95;159;1,4;,7;
2025/01/01;0800 UTC;0;885,4;885,4;885,2;;19,9;19;20;19,8;19,1;18,9;95;94;95;142;2,3;1,4;
2025/01/01;0900 UTC;0;886;886;885,3;1,7;19,9;19,1;19,9;19,8;19,1;19;96;95;95;121;2,3;,6;
2025/01/01;1000 UTC;0;886,9;886,9;886;108,8;20,2;19,3;20,2;19,7;19,4;19;96;94;94;115;2,9;1,6;
2025/01/01;1100 UTC;0;887,6;887,6;886,9;685,8;21,5;19,1;21,6;20,2;19,7;19,1;95;86;86;60;2,8;1,4;
2025/01/01;1200 UTC;0;887,9;887,9;887,5;1294,9;22,8;18,9;22,8;21,3;19,7;18,5;88;78;79;65;3,3;1,1;
2025/01/01;1300 UTC;0;887,9;888;887,8;1773,4;23,5;18,8;24,5;22,5;20,1;18,4;80;73;75;2;4,3;1,6;
