REGIAO:;CO
UF:;DF
ESTACAO:;AGUAS EMENDADAS
CODIGO (WMO):;A045
LATITUDE:;-15,596491
LONGITUDE:;-47,625801
ALTITUDE:;1030,36
DATA DE FUNDACAO:;03/10/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;899,2;899,2;898,6;;20,1;18,4;20,5;20,1;18,6;18,4;90;88;90;62;2,3;1;
2025/01/01;0100 UTC;0;899,3;899,4;899,2;;20;18,6;20,2;20;18,7;18,4;91;90;91;35;1,7;,4;
2025/01/01;0200 UTC;0;899,9;899,9;899,3;;20;18,7;20,2;19,8;18,8;18,5;92;91;92;245;1,7;1,2;
2025/01/01;0300 UTC;0;899,4;900;899,4;;19,4;18,1;20,1;19,4;18,8;18,1;93;92;93;275;1,7;,3;
2025/01/01;0400 UTC;0;898,9;899,5;898,9;;18,9;17,8;19,5;18,9;18,4;17,8;93;93;93;190;1,2;,7;
2025/01/01;0500 UTC;0;898,5;898,9;898,4;;18,3;17,2;18,9;18,3;17,8;17,2;94;93;94;34;1,2;,3;
2025/01/01;0600 UTC;0;898,5;898,6;898,3;;18,1;17,1;18,3;17,9;17,2;16,8;94;93;94;147;1,5;,7;
2025/01/01;0700 UTC;0;898,2;898,6;898,2;;18,9;17,9;18,9;18,1;17,9;17,2;94;94;94;144;1,5;,8;
2025/01/01;0800 UTC;0;898,7;898,7;898,2;;19,2;18,3;19,3;18,9;18,3;17,9;94;94;94;75;1,9;1;
2025/01/01;0900 UTC;0;899,3;899,3;898,7;8,4;19,7;18,8;19,7;19,1;18,8;18,1;94;94;94;99;2;,7;
2025/01/01;1000 UTC;0;900,2;900,2;899,3;164,6;20,6;19,5;20,6;19,7;19,5;18,7;94;94;94;77;2,6;,9;
2025/01/01;1100 UTC;0;900,7;900,7;900,2;603,5;21,8;19,6;21,8;20,6;20,1;19,5;94;87;87;86;4;1,5;
2025/01/01;1200 UTC;0;901,1;901,1;900,8;1435,4;24;19,4;24;21,6;20,1;18,9;87;76;76;110;4,3;1,5;
2025/01/01;1300 UTC;0;901,2;901,2;901,1;1089;24,2;19,4;24,2;23,6;19,6;18,6;77;73;75;126;3,5;1,1;
