REGIAO:;CO
UF:;GO
ESTACAO:;GOIANIA
CODIGO (WMO):;A002
LATITUDE:;-16,64277777
LONGITUDE:;-49,22027777
ALTITUDE:;727,3
DATA DE FUNDACAO:;29/05/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;1;931,2;931,2;930,4;;22;20,4;22,2;21,9;20,5;20,2;91;89;91;170;5,2;1,1;
2025/01/01;0100 UTC;2,2;931,4;931,5;931,2;;21,6;20,1;22;21,4;20,5;19,9;92;91;92;130;3,6;,3;
2025/01/01;0200 UTC;,8;931,3;931,4;931,3;;21,5;20,1;21,7;21,3;20,2;19,9;92;92;92;353;1,8;0;
2025/01/01;0300 UTC;0;931;931,3;930,9;;21,5;20,1;21,6;21,5;20,3;20,1;92;92;92;339;3,8;1,1;
2025/01/01;0400 UTC;0;930,6;931,1;930,6;;21,5;19,9;21,7;21,3;20,1;19,8;92;90;90;7;4;,1;
2025/01/01;0500 UTC;0;930,3;930,6;930,2;;21,5;20;21,5;21,3;20;19,8;91;90;91;299;1,1;0;
2025/01/01;0600 UTC;0;930;930,2;930;;21,5;20,1;21,5;21,4;20,1;19,9;92;91;92;158;1,1;,4;
2025/01/01;0700 UTC;0;930,2;930,3;929,9;;21,7;20,3;21,8;21,4;20,4;20;92;92;92;161;1,4;,2;
2025/01/01;0800 UTC;0;930,5;930,6;930,3;;21,6;20,3;21,7;21,6;20,4;20,3;92;92;92;3;1,1;0;
2025/01/01;0900 UTC;0;931,4;931,4;930,5;10,4;21,8;20,4;21,8;21,5;20,4;20,1;92;92;92;113;1,7;,4;
2025/01/01;1000 UTC;0;932;932;931,4;148,5;22,3;20,7;22,3;21,8;20,7;20,4;92;91;91;269;1,6;0;
2025/01/01;1100 UTC;0;932,4;932,4;932;483,1;23,9;20,9;23,9;22,3;21,4;20,5;91;83;83;63;1,4;,6;
2025/01/01;1200 UTC;0;932,7;932,7;932,4;1284,7;25,2;19,8;25,8;23,9;21,4;19,2;83;70;72;11;3;1;
2025/01/01;1300 UTC;0;932,7;932,9;932,7;2731,7;27,5;19,6;28,7;25,2;21,8;19,2;73;61;62;347;4,4;1,8;
2025/01/01;1400 UTC;0;932,1;932,7;932,1;2830,8;29,2;18,5;29,7;26,8;21,5;18;70;50;52;12;4,4;1,4;
2025/01/01;1500 UTC;0;931,2;932,1;931,2;2973,6;29,2;19;30,8;28,9;20,1;17,1;57;47;54;307;4,3;,7;
