REGIAO:;CO
UF:;GO
ESTACAO:;MORRINHOS
CODIGO (WMO):;A003
LATITUDE:;-17,74499999
LONGITUDE:;-49,10166666
ALTITUDE:;751,09
DATA DE FUNDACAO:;25/05/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;928,5;928,5;927,5;;22,7;20,2;23,3;22,7;20,7;20,2;86;85;86;51;3,2;0;
2025/01/01;0100 UTC;0;928,7;928,8;928,5;;22,4;20;22,9;22,4;20,5;20;87;86;87;52;2,8;,9;
2025/01/01;0200 UTC;0;928,9;929;928,7;;21,6;19,5;22,4;21,6;20,1;19,5;88;87;88;123;2,3;0;
2025/01/01;0300 UTC;0;928,7;929;928,7;;21,7;19,8;21,8;21,6;19,8;19,5;89;88;89;90;3,9;2;
2025/01/01;0400 UTC;0;928,4;928,7;928,3;;21,3;19,5;21,7;21,3;19,8;19,5;89;89;89;90;3,9;1,5;
2025/01/01;0500 UTC;0;927,8;928,4;927,8;;21,1;19,4;21,3;20,8;19,5;19;90;89;90;2;2,9;,7;
2025/01/01;0600 UTC;0;927,7;927,8;927,4;;20,9;19,1;21,1;20,9;19,4;19,1;90;89;89;40;3,3;,9;
2025/01/01;0700 UTC;0;927,9;927,9;927,6;;20,8;19,1;20,9;20,6;19,1;18,8;90;89;90;126;2,3;0;
2025/01/01;0800 UTC;0;928,1;928,1;927,7;;21;19,3;21;20,8;19,3;19,1;90;90;90;66;2,9;0;
2025/01/01;0900 UTC;0;928,8;928,8;928,1;4,3;20,8;19,2;21,1;20,7;19,4;19,1;91;90;91;125;1,2;0;
2025/01/01;1000 UTC;0;929,4;929,4;928,8;234,4;21,8;20,1;21,9;20,8;20,4;19,2;92;90;91;110;1,2;0;
2025/01/01;1100 UTC;0;929,7;929,7;929,4;1051,4;23,8;21,6;23,8;21,7;21,6;20;91;87;88;38;4,2;1,7;
2025/01/01;1200 UTC;0;930,2;930,2;929,7;1817,4;25,2;21,9;25,4;23,5;22,3;21;88;82;82;342;5,2;2,1;
2025/01/01;1300 UTC;0;930,5;930,5;930,2;2076,3;26;20,9;26,6;25,1;22,5;20,9;82;74;74;340;4,2;1,4;
2025/01/01;1400 UTC;0;929,6;930,5;929,6;2535,3;28,1;21,4;28,1;25,9;22,4;20,3;75;67;67;28;5,1;1,8;
2025/01/01;1500 UTC;0;929;929,6;929;2666,2;28,9;20,4;29,4;27,4;21,6;19,7;67;60;60;320;5,5;1,6;
2025/01/01;1600 UTC;0;928,3;929;928,3;3057;30,1;20,8;30,2;27,8;21,5;19,5;64;58;58;321;7,4;3,1;
2025/01/01;1700 UTC;0;927,3;928,3;927,3;3189,9;30,8;20;30,9;28,8;20,8;18,9;57;52;53;298;6,9;2,7;
2025/01/01;1800 UTC;0;926,9;927,3;926,6;2714,1;26,7;18;31,5;26,7;20,3;17,2;59;49;59;303;13,2;6,9;
2025/01/01;1900 UTC;,2;926,5;926,9;925,8;661,7;22,6;18,1;26,7;22,3;18,5;16,7;76;59;76;118;13,2;2,4;
2025/01/01;2000 UTC;0;925,8;926,5;925,7;399,9;23,9;19,7;23,9;22,6;19,7;18;77;76;77;139;3,9;,4;
2025/01/01;2100 UTC;0;926,6;926,8;925,8;264,2;23,2;19,4;24;23,1;19,8;19,2;79;77;79;274;5,4;,3;
2025/01/01;2200 UTC;0;927,5;927,5;926,5;26,4;22,5;19,1;23,4;22,4;19,7;18,9;81;79;81;71;2,7;0;
2025/01/01;2300 UTC;0;928;928,1;927,5;;23;19,8;23;22,5;19,8;19;82;81;82;347;2,9;0;
2025/01/02;0000 UTC;0;928,4;928,4;928;;22,8;19,7;23;22,6;19,9;19,6;83;82;83;31;3,2;1,1;
2025/01/02;0100 UTC;0;929,4;929,5;928,4;;21,5;18,6;23;21,5;19,9;18,6;84;82;84;104;5,9;1,9;
2025/01/02;0200 UTC;0;929,4;929,5;929,3;;21,1;18,6;21,5;21,1;18,6;18,5;86;84;86;74;4;1,2;
2025/01/02;0300 UTC;0;929,2;929,6;929,1;;21;18,7;21,2;20,9;18,8;18,5;87;86;87;279;3,2;0;
2025/01/02;0400 UTC;0;928,9;929,2;928,9;;20,8;18,5;21,2;20,8;18,9;18,5;87;86;87;210;2,8;,1;
2025/01/02;0500 UTC;0;928,3;929;928,3;;21;18,8;21;20,7;18,8;18,5;87;87;87;49;4,8;1,2;
2025/01/02;0600 UTC;0;927,9;928,4;927,8;;20,9;18,8;21;20,9;18,8;18,7;88;87;88;47;3,6;1,6;
2025/01/02;0700 UTC;0;928;928;927,7;;20,9;18,8;21;20,9;18,9;18,8;88;88;88;6;3,9;1,8;
2025/01/02;0800 UTC;0;928,2;928,3;928;;20,5;18,5;20,9;20,5;18,9;18,5;88;88;88;117;4,2;0;
2025/01/02;0900 UTC;0;928,7;928,7;928,2;4,6;20,1;18,2;20,5;20;18,5;18,1;89;88;89;140;,9;0;
2025/01/02;1000 UTC;0;929,7;929,7;928,6;203,8;21,1;19,2;21,1;20;19,3;18,2;90;89;89;129;0;0;
2025/01/02;1100 UTC;0;929,9;929,9;929,7;834;23,5;21,2;23,5;21;21,2;19,1;90;87;87;48;3,5;1,7;
2025/01/02;1200 UTC;0;930,3;930,3;929,9;2057,2;25,7;22;25,7;23,5;22,2;21,1;87;80;80;359;5,8;2,6;
2025/01/02;1300 UTC;0;930,2;930,5;930,1;2836,3;27;20,4;27;25,7;22,1;20,3;80;67;67;356;9,7;5,3;
2025/01/02;1400 UTC;0;929,7;930,1;929,7;3226,7;28,5;20,5;28,5;27;20,7;19,5;67;60;62;347;11;3,7;
2025/01/02;1500 UTC;0;929;929,8;929;3184,9;28,8;20,2;29,5;28,2;21;19;62;56;60;304;8;3,4;
2025/01/02;1600 UTC;0;928,8;929,5;928,8;2533,7;27,4;21,3;29,9;24,5;21,6;17,1;71;55;69;324;14,1;3,8;
2025/01/02;1700 UTC;0;928;928,8;927,9;3310,5;28,9;20,3;29,4;27,1;22,2;20,1;70;59;60;302;10;4;
2025/01/02;1800 UTC;0;927,1;928;927,1;1494,6;28,5;19,9;29,5;28,1;20,9;19;61;56;60;296;8,5;3,4;
2025/01/02;1900 UTC;0;926,3;927,1;926,2;1169,4;27,9;19;28,9;27,9;20,1;18,3;60;55;58;289;8;3,5;
