REGIAO:;CO
UF:;GO
ESTACAO:;SAO SIMAO
CODIGO (WMO):;A011
LATITUDE:;-18,96916666
LONGITUDE:;-50,63333333
ALTITUDE:;492,45
DATA DE FUNDACAO:;15/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;954,2;954,2;953,9;0;24,1;21,5;24,9;24,1;22,4;21,5;88;85;85;50;5,9;3,3;
2025/01/01;0100 UTC;0;954,8;954,8;954,2;0;23,7;20,9;24,2;23,7;21,5;20,9;85;82;84;51;5,5;3,9;
2025/01/01;0200 UTC;0;955;955,2;954,8;0;23,2;21;23,7;23,1;21;20,8;88;84;88;47;5,5;4,1;
2025/01/01;0300 UTC;0;954,8;955;954,8;0;23;21,3;23,2;23;21,3;21;90;88;90;40;6,4;4,1;
2025/01/01;0400 UTC;0;954,6;954,8;954,5;0;22,9;21,5;23;22,9;21,5;21,2;91;90;91;46;6,9;4,2;
2025/01/01;0500 UTC;0;954,1;954,6;954,1;0;22,7;21,3;22,9;22,7;21,5;21,3;92;91;92;39;7,5;4,2;
2025/01/01;0600 UTC;0;954,1;954,2;954;0;22,4;21;22,7;22,4;21,3;21;93;92;92;36;7,1;3,2;
2025/01/01;0700 UTC;0;954,3;954,4;953,9;0;22,2;20,8;22,4;22,1;21;20,7;92;92;92;59;6;1,4;
2025/01/01;0800 UTC;0;954,5;954,5;954,3;0;22;20,7;22,3;22;20,9;20,7;92;91;92;41;5,3;3,3;
2025/01/01;0900 UTC;0;955,3;955,3;954,5;8,1;22;20,7;22,1;22;20,7;20,6;92;92;92;43;5,3;3,2;
2025/01/01;1000 UTC;0;956,3;956,3;955,3;262,9;22,8;21,1;22,8;22;21,1;20,7;92;90;90;44;5,5;2,6;
2025/01/01;1100 UTC;0;956,8;956,8;956,3;419,1;23,7;21,4;23,8;22,8;21,6;21;90;87;87;48;5,5;2,5;
2025/01/01;1200 UTC;0;957;957;956,6;1737,8;26,5;21,6;26,9;23,7;22,4;21,4;87;75;75;34;6,4;2,9;
2025/01/01;1300 UTC;0;957,1;957,3;957;2446,9;28,1;22,5;28,2;26,2;22,7;21,3;76;70;72;24;5,6;2,1;
2025/01/01;1400 UTC;0;956,8;957,1;956,7;2889,5;29,3;21,9;29,9;28;23;21,8;71;64;64;8;5,8;3;
2025/01/01;1500 UTC;0;956,2;956,8;956,2;2848,4;31,2;21,7;31,6;27,9;22,7;21,7;72;56;57;322;5,8;1,4;
2025/01/01;1600 UTC;0;955,4;956,2;955,4;2610,6;31,8;21;32,3;29,6;22,7;21;65;53;53;249;5;1,7;
2025/01/01;1700 UTC;0;954,4;955,5;954,4;3592,7;31,8;20,7;32,4;29;23;19;60;50;52;81;7,6;3;
2025/01/01;1800 UTC;0;953,5;954,4;953,2;2245,3;31;21,9;32;30,8;22,3;20,5;59;52;58;87;6,3;2,7;
2025/01/01;1900 UTC;,4;953,7;954,4;953,1;355,1;24,8;18,4;31;23,6;22,3;17,9;76;58;68;1;12,9;4,6;
2025/01/01;2000 UTC;0;952,1;953,8;952;142,4;24,9;17,6;25,1;24,2;18,3;16,6;68;60;64;48;8,6;1,3;
2025/01/01;2100 UTC;0;952,8;952,8;952,1;397;27,5;18,7;27,5;24,4;19,6;17,5;67;58;59;112;4;,6;
2025/01/01;2200 UTC;0;953,5;953,5;952,6;182,1;25,8;19,7;27,8;25,8;20,2;18,4;69;57;69;54;3,9;,4;
2025/01/01;2300 UTC;0;953,6;953,6;953,2;2,2;24,7;19,5;25,9;24,2;20;19,4;76;68;73;17;2,7;1,5;
2025/01/02;0000 UTC;0;955,2;955,2;953,6;0;24,5;20,2;24,9;24,4;20,4;19,2;78;71;77;89;5;3,1;
2025/01/02;0100 UTC;0;956,5;956,5;955,3;0;24,1;20,4;24,5;24,1;21,4;20,2;84;77;80;78;8,7;5;
2025/01/02;0200 UTC;0;956,7;956,8;956,5;0;23,6;20,1;24,2;23,6;20,6;20,1;82;78;81;62;8,7;3;
2025/01/02;0300 UTC;0;955,6;956,7;955,6;0;23;20;23,6;22,9;20,3;20;85;81;83;23;4,5;2,7;
2025/01/02;0400 UTC;0;955,1;955,6;955,1;0;22,3;19,5;23,1;22,3;19,9;19,5;84;82;84;22;4,9;2,1;
2025/01/02;0500 UTC;0;954,8;955,2;954,8;0;22,5;19;22,8;22,2;19,6;18,9;85;79;81;21;4,4;2,3;
2025/01/02;0600 UTC;0;954,6;954,8;954,6;0;22,1;19,3;22,8;22,1;19,3;19;84;80;84;36;5,1;2,6;
2025/01/02;0700 UTC;0;954,7;954,8;954,6;0;21,8;19,6;22,1;21,6;19,6;19,2;88;84;88;49;4,2;2,6;
2025/01/02;0800 UTC;0;955;955,1;954,7;0;21,6;19,9;21,9;21,6;20;19,5;90;87;90;41;5,1;2,5;
