REGIAO:;CO
UF:;GO
ESTACAO:;GOIAS
CODIGO (WMO):;A014
LATITUDE:;-15,93972221
LONGITUDE:;-50,14138888
ALTITUDE:;512,86
DATA DE FUNDACAO:;18/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;953,6;953,6;952,1;;23,9;21,5;24,4;23,9;21,9;21,3;87;83;87;329;5,6;1,1;
2025/01/01;0100 UTC;1,4;953,9;953,9;953,5;;22,6;21,7;23,9;22,5;21,9;21,2;95;86;95;98;2,8;,1;
2025/01/01;0200 UTC;0;954;954,1;953,9;;22,7;22;22,8;22,6;22;21,7;96;95;96;29;1,7;0;
2025/01/01;0300 UTC;0;953,7;954;953,7;;22,7;22,1;22,7;22,6;22,1;21,9;96;95;96;107;0;0;
2025/01/01;0400 UTC;0;953,3;953,7;953,3;;22,6;22;22,8;22,5;22,2;21,8;96;95;96;347;1,4;0;
2025/01/01;0500 UTC;0;952,8;953,3;952,8;;23;20,8;23,1;22,4;22,1;20,8;96;87;87;44;6,1;2,7;
2025/01/01;0600 UTC;0;952,3;952,9;952,3;;22,5;21,1;23,1;22,3;21,2;20,7;92;87;92;265;6,1;,3;
2025/01/01;0700 UTC;0;952,5;952,5;952,3;;22,3;21,1;22,7;22,2;21,3;20,9;94;90;93;210;2,1;,2;
2025/01/01;0800 UTC;0;952,9;952,9;952,5;;22,4;21,1;22,5;22,2;21,4;21,1;94;92;93;335;1,5;,1;
2025/01/01;0900 UTC;0;953,4;953,4;952,9;,6;22,7;21;23,4;22,3;21,2;20,6;93;85;90;226;4,1;0;
2025/01/01;1000 UTC;0;954,3;954,3;953,4;165,9;23,3;21;23,3;22,5;21,3;20,8;92;87;87;358;1,9;,5;
2025/01/01;1100 UTC;0;954,8;954,9;954,3;657,3;25,6;21,3;25,7;23,3;22,4;20,9;89;75;77;318;1,9;0;
2025/01/01;1200 UTC;0;955,3;955,3;954,8;1099,6;26,9;22,4;27,3;25,3;23,4;21;83;71;76;308;1,9;,6;
2025/01/01;1300 UTC;0;955,6;955,6;955,3;1475,1;27,1;22,5;28,5;26,9;23,1;21,5;77;69;76;255;3,1;1,1;
2025/01/01;1400 UTC;0;955,1;955,6;955,1;1789,8;27,5;23,3;29,6;27,1;23,4;21,1;79;64;78;270;6,4;2,9;
2025/01/01;1500 UTC;0;954,4;955,2;954,3;2696;28;22,1;29,8;27,3;24,4;21,8;81;66;70;286;6,4;2,5;
2025/01/01;1600 UTC;0;954;954,5;953,8;2529,7;26;22,4;32,1;26;24,9;21,2;80;57;80;289;8,2;3,6;
2025/01/01;1700 UTC;,6;952,9;954,1;952,9;3102,3;29,8;22,3;29,8;25,5;23,4;21,4;84;62;64;51;7,1;2,7;
2025/01/01;1800 UTC;1,4;953,1;953,2;952,4;1718,4;22,6;18,7;30,4;22,6;22,2;18,6;80;60;79;42;9,4;4,4;
2025/01/01;1900 UTC;,2;951;953,1;951;2170,5;27;20,4;27,1;22,1;21,8;18,7;92;64;67;20;9;,2;
2025/01/01;2000 UTC;0;950,7;951,1;950,6;1958,7;28,2;20,6;28,3;27;21,9;20,4;72;64;64;359;4;1;
2025/01/01;2100 UTC;0;950,5;950,7;950,3;1006,8;27,8;20,9;28,3;27,8;21,5;20,4;67;63;66;54;3,3;,7;
2025/01/01;2200 UTC;0;951,4;951,4;950,5;174,3;26;22;27,8;26;22;20,9;78;66;78;87;2,5;0;
2025/01/01;2300 UTC;0;952,2;952,2;951,4;;25;21,8;26,4;25;21,9;21,3;82;75;82;318;1,5;0;
2025/01/02;0000 UTC;0;952,9;952,9;952,2;;25,3;21,7;25,3;24,5;22,2;21,5;85;80;80;73;4;,3;
2025/01/02;0100 UTC;0;953,6;953,6;952,9;;24,3;22,3;25,2;24,2;22,4;21,8;89;82;89;225;,6;0;
2025/01/02;0200 UTC;0;953,9;953,9;953,6;;24,5;22,3;24,6;24,2;22,5;21,8;90;85;87;303;,7;0;
2025/01/02;0300 UTC;0;953,4;953,9;953,4;;24,7;21,7;25,2;24,5;22,3;21,4;87;79;83;221;2,5;,1;
2025/01/02;0400 UTC;0;952,9;953,4;952,9;;25,4;21;25,6;24,5;21,6;21;83;76;77;31;4,6;1,5;
2025/01/02;0500 UTC;0;952,8;953;952,8;;24,3;21,3;25,4;24,3;21,4;20,9;83;77;83;219;4,7;,1;
2025/01/02;0600 UTC;0;952,5;952,8;952,4;;24,7;21,1;25;23,9;21,5;21,1;86;80;81;88;5,3;,8;
2025/01/02;0700 UTC;0;952,3;952,6;952,3;;24,3;20,5;25;24,2;21,1;20,5;81;77;80;108;5;0;
2025/01/02;0800 UTC;0;952,4;952,4;952,1;;24,3;20,4;25;24;20,8;20,4;82;76;79;39;9,1;4,9;
2025/01/02;0900 UTC;0;953,4;953,5;952,4;;23,7;20,5;24,3;23,7;20,5;20,4;83;79;82;36;9,7;2,4;
2025/01/02;1000 UTC;37,2;954,7;954,7;953,3;62,5;21,9;21,3;23,7;21,5;21,3;20,4;96;82;96;42;9;2,1;
2025/01/02;1100 UTC;13,2;957,1;957,1;954,7;4,8;20,7;20,2;21,9;20,7;21,3;20,2;97;96;97;249;12;1,2;
2025/01/02;1200 UTC;5,4;957,4;957,4;957;17,1;20,5;19,9;20,8;20,5;20,2;19,9;97;97;97;109;3,9;0;
2025/01/02;1300 UTC;4,4;957,2;957,6;957,2;138,7;21,1;20,1;21,1;20,5;20,4;19,9;97;94;94;24;6,7;2,2;
2025/01/02;1400 UTC;1,4;956,6;957,2;956,6;846,5;22,4;21,5;22,4;21;21,5;19,9;95;93;94;325;6,7;,3;
