REGIAO:;CO
UF:;GO
ESTACAO:;ITAPACI
CODIGO (WMO):;A015
LATITUDE:;-14,97972221
LONGITUDE:;-49,53944444
ALTITUDE:;551
DATA DE FUNDACAO:;03/02/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;949;949;948,5;;24,4;21,5;25,8;24,4;21,5;21;84;75;84;246;2,7;1,3;
2025/01/01;0100 UTC;0;950,1;950,1;949;;24,2;20,6;25,1;24,2;21,5;20,3;84;76;80;245;3,4;1;
2025/01/01;0200 UTC;,8;951;951;950,1;;22,3;20,3;24,2;22,1;21,6;19,8;89;80;88;172;4,7;1,4;
2025/01/01;0300 UTC;2,4;949,8;951,1;949,8;;21,6;20,3;22,5;21,5;20,5;20,1;93;88;93;237;5;,8;
2025/01/01;0400 UTC;,2;949,3;949,8;949,2;;21,5;20,4;21,6;21,4;20,4;20,2;94;93;94;289;1,6;,6;
2025/01/01;0500 UTC;0;949,2;949,3;949,2;;21,4;20,5;21,6;21,3;20,6;20,2;94;93;94;163;2;,8;
2025/01/01;0600 UTC;0;949;949,2;948,9;;21,3;20,4;21,5;21,2;20,6;20,4;95;94;95;293;1,9;,8;
2025/01/01;0700 UTC;0;948,9;949;948,8;;21,5;20,6;21,5;21,2;20,6;20,4;95;95;95;351;2,4;1;
2025/01/01;0800 UTC;0;948,9;949;948,8;;21,4;20,6;21,6;21,4;20,8;20,6;95;95;95;191;2;,4;
2025/01/01;0900 UTC;0;949,7;949,7;948,9;;21,3;20,5;21,5;21,2;20,6;20,4;96;95;96;278;1,8;,4;
2025/01/01;1000 UTC;0;950,4;950,4;949,7;98,5;21,8;21;21,8;21,2;21,1;20,5;96;95;96;137;1;,3;
2025/01/01;1100 UTC;0;951;951;950,4;606,1;23,8;21,9;23,9;21,8;22,3;21,1;96;89;89;108;1,2;,4;
2025/01/01;1200 UTC;0;951,5;951,5;951;1606,1;27,3;22,9;27,3;23,8;23;21,3;89;74;77;290;1,7;,7;
2025/01/01;1300 UTC;0;951,8;951,8;951,5;2349,3;26,7;21,8;27,6;26;22,8;21,3;78;72;75;96;3,3;1,6;
2025/01/01;1400 UTC;0;951,3;951,8;951,2;2371,2;28,7;21,9;28,8;26,7;23,3;21,5;76;66;67;45;3,7;1,2;
2025/01/01;1500 UTC;0;950,7;951,3;950,7;1670,2;27,8;21,9;29,4;27,2;22,8;20,6;74;62;70;64;5,5;2,1;
2025/01/01;1600 UTC;0;950,1;950,7;950;2652,9;29,2;22;29,7;27,8;23,3;20,7;72;62;65;348;4,9;1,7;
2025/01/01;1700 UTC;0;948,9;950,1;948,9;2066;29,7;23,3;31;28,5;23,4;20,8;71;58;68;30;7,3;3,2;
2025/01/01;1800 UTC;0;948,1;948,9;948,1;939,4;28,1;21,5;30,4;27,8;22,7;20,7;71;61;68;53;6,5;1,6;
2025/01/01;1900 UTC;0;947,6;948,1;947,6;500,4;26,9;22,5;28,1;26,2;22,9;21,3;78;67;77;203;5,9;1,4;
2025/01/01;2000 UTC;0;946,4;947,6;946,4;853,9;27,4;22,3;27,4;26,6;22,6;21,8;77;73;74;126;2,9;1,7;
2025/01/01;2100 UTC;0;946,7;946,8;946,3;1075,1;27,5;21,4;28,1;27,4;22,4;21,2;74;68;69;152;4,4;1,4;
2025/01/01;2200 UTC;0;947,6;947,6;946,7;188,8;26,8;21,7;27,6;26,8;21,9;20,9;74;68;74;22;2,7;,7;
2025/01/01;2300 UTC;0;948,5;948,5;947,6;;25,6;22,6;26,8;25,4;22,7;21,6;84;74;84;140;1,8;1;
2025/01/02;0000 UTC;0;949,1;949,1;948,5;;24,6;22,4;25,6;24,5;22,7;22,3;88;84;88;283;1,7;,8;
