REGIAO:;CO
UF:;GO
ESTACAO:;ALTO PARAISO DE GOIAS
CODIGO (WMO):;A024
LATITUDE:;-14,13305554
LONGITUDE:;-47,52333332
ALTITUDE:;1264,7
DATA DE FUNDACAO:;04/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;876,4;876,4;875,1;;18,7;17,9;19;18,5;18;17,6;95;94;95;39;;;
2025/01/01;0100 UTC;;876,5;876,5;876,3;;18,4;17,6;19;18,2;18,1;17,3;95;94;95;30;;;
2025/01/01;0200 UTC;;876,3;876,5;876;;17,9;17,2;18,5;17,9;17,8;17,2;96;95;96;358;;;
2025/01/01;0300 UTC;;875,9;876,3;875,9;;17,1;16,4;18;17;17,3;16,3;96;95;96;344;;;
2025/01/01;0400 UTC;;874,9;875,9;874,9;;17,7;16,9;17,7;17,1;17;16,4;96;95;95;12;;;
2025/01/01;0500 UTC;;874,9;875;874,9;;17,7;16,4;18,1;17,3;17;16,3;95;91;92;52;;;
2025/01/01;0600 UTC;;874,9;874,9;874,7;;18,2;16,5;18,2;17,4;16,5;16,2;93;90;90;15;;;
2025/01/01;0700 UTC;;874,8;874,9;874,8;;18,1;16,6;18,4;18,1;16,7;16,5;91;90;91;48;;;
2025/01/01;0800 UTC;;875,2;875,2;874,8;;18,6;16,7;18,7;18,1;16,7;16,6;91;88;88;26;;;
2025/01/01;0900 UTC;;875,9;875,9;875,1;2,3;18,4;16,8;18,9;18,3;16,8;16,5;90;87;90;15;;;
