REGIAO:;CO
UF:;GO
ESTACAO:;CRISTALINA (FAZENDA SANTA MONICA)
CODIGO (WMO):;A056
LATITUDE:;-16,39944444
LONGITUDE:;-47,62583332
ALTITUDE:;932
DATA DE FUNDACAO:;25/01/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;2,6;907,8;907,8;907,3;;21,2;21;21,2;20,8;21;20,5;99;98;99;70;5,3;,1;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;15,6;908,1;908,5;908,1;;20,1;20;21,1;20,1;20,9;20;99;99;99;155;3,3;,2;
2025/01/01;0400 UTC;7,2;907,6;908,1;907,6;;20;19,9;20,2;19,9;20,1;19,9;100;99;99;225;2,8;,6;
2025/01/01;0500 UTC;,4;907,4;907,6;907,4;;20;20;20,2;19,9;20,1;19,8;100;99;99;139;3,7;,8;
2025/01/01;0600 UTC;0;907;907,4;907;1;19,3;18,7;20,1;19,3;20;18,5;99;95;96;130;3,3;,1;
2025/01/01;0700 UTC;0;906,9;907;906,9;;19,2;18,7;19,3;19,1;18,8;18,5;98;95;97;111;2,4;,1;
2025/01/01;0800 UTC;0;907,2;907,2;906,9;;19,7;19,6;19,7;19,2;19,6;18,6;99;97;99;115;2,5;0;
2025/01/01;0900 UTC;,4;907,8;907,8;907,2;2,5;19,8;19,8;19,9;19,7;19,9;19,6;100;99;100;126;2,5;,3;
2025/01/01;1000 UTC;,4;908,8;908,8;907,8;133,8;20,2;20,1;20,3;19,8;20,2;19,7;100;99;100;105;2,6;0;
2025/01/01;1100 UTC;2,4;909,2;909,2;908,8;143,6;20,1;20;20,3;20,1;20,2;20;100;99;99;99;2,9;,4;
2025/01/01;1200 UTC;,2;909,7;909,7;909,2;836,6;21,5;20,8;21,6;20,1;21,1;20;99;96;96;94;3;,2;
2025/01/01;1300 UTC;,2;909,9;910;909,7;1205;22,2;21,3;22,2;21,4;21,4;20,7;97;92;94;55;3,4;1,6;
2025/01/01;1400 UTC;0;909,6;909,9;909,6;1270,5;23;21,1;23,1;22,2;21,9;20,9;95;88;89;55;4,2;2;
2025/01/01;1500 UTC;0;909,1;909,6;909,1;2532,1;23,9;21,1;24,6;23;22,1;19,6;93;78;84;65;4,9;2,4;
2025/01/01;1600 UTC;0;908,7;909,1;908,7;1961,1;23,6;21;24,7;23,4;22,3;20,8;89;83;85;65;6,4;2,8;
2025/01/01;1700 UTC;,2;907,8;908,7;907,8;969,4;23,3;21,3;23,7;23,1;21,8;20,4;91;84;89;79;5,9;1,4;
2025/01/01;1800 UTC;0;906,7;907,8;906,7;1537,3;24,5;21,7;24,5;22,9;22,2;20,8;93;82;85;48;5,3;3,4;
2025/01/01;1900 UTC;0;905,7;906,7;905,7;1058,6;23,6;21,3;24,5;23,5;21,7;19,8;89;78;87;37;5,3;2,4;
2025/01/01;2000 UTC;0;905,4;905,7;905,2;553,1;22,5;20,9;23,7;22,5;22;20,8;91;85;91;34;5,8;3,5;
2025/01/01;2100 UTC;0;906,8;906,9;905,4;106,7;22,3;20,9;22,5;22;21,2;20,6;95;90;92;81;4,9;0;
2025/01/01;2200 UTC;0;906,5;906,8;906,3;20,8;21,5;20,5;22,3;21,5;21;20,5;94;92;94;70;3,2;,5;
2025/01/01;2300 UTC;0;908;908;906,5;;20,5;19;21,6;20,5;20,6;18,8;95;87;91;28;9,3;6,1;
2025/01/02;0000 UTC;6,6;908,4;908,7;908;;19;18,8;20,5;19;19,1;18,8;99;90;99;44;8,9;4,4;
2025/01/02;0100 UTC;,2;908,8;908,9;908,4;;19,2;18,8;19,2;19;18,9;18,7;99;98;98;31;7;3,7;
2025/01/02;0200 UTC;0;909;909;908,7;;19,3;18,8;19,3;19,1;18,9;18,7;98;97;97;36;7;3;
2025/01/02;0300 UTC;0;909,1;909,3;909;;19,1;18,9;19,3;19,1;18,9;18,7;98;97;98;135;4,9;,1;
2025/01/02;0400 UTC;0;908,6;909,1;908,6;;19,1;18,9;19,3;19,1;19,1;18,9;99;98;99;101;3;,4;
2025/01/02;0500 UTC;0;908;908,6;908;;18,9;18,7;19,1;18,9;18,9;18,7;99;99;99;84;4;,5;
2025/01/02;0600 UTC;0;907,7;908,1;907,7;;18,8;18,7;19;18,8;18,8;18,7;99;99;99;84;3,5;,6;
2025/01/02;0700 UTC;0;907,6;907,8;907,6;;19,2;19,1;19,2;18,8;19,1;18,7;99;99;99;62;3,7;1,6;
2025/01/02;0800 UTC;0;908;908;907,5;;19,6;19,4;19,6;19,2;19,4;19,1;99;99;99;49;5,7;3,4;
2025/01/02;0900 UTC;2,2;908,2;908,3;908;2,5;19,6;19,5;19,7;19,6;19,5;19,4;99;99;99;73;5,7;1,7;
2025/01/02;1000 UTC;0;908,9;908,9;908,2;122,8;19,8;19,5;19,8;19,6;19,7;19,4;99;98;98;44;6,2;3,4;
2025/01/02;1100 UTC;0;909,5;909,5;908,8;574,9;20,5;19,7;20,6;19,7;20,3;19,4;98;95;96;38;6,2;3,5;
2025/01/02;1200 UTC;0;909,6;909,6;909,4;1183,7;21,7;20,1;21,8;20,4;21;19,7;97;90;90;29;5,3;3,6;
2025/01/02;1300 UTC;0;909,3;909,6;909,3;2067,9;23,8;20,1;24,2;21,7;21,6;19,6;93;79;80;11;5,3;2,7;
2025/01/02;1400 UTC;0;909;909,3;909;3087,8;26,3;21,3;26,5;23,8;21,7;19,5;85;67;74;344;5,2;3,1;
2025/01/02;1500 UTC;0;908,3;909;908,3;4112,2;27,3;21,2;28;26,2;22,5;19,6;77;63;70;322;7,1;2,9;
2025/01/02;1600 UTC;0;907,6;908,3;907,6;3511,8;27,2;19,2;28;26,5;21,8;18;72;58;61;315;7,9;3,8;
2025/01/02;1700 UTC;0;906,9;907,6;906,9;2686,9;26,1;18,3;28,1;25,9;21,3;17,3;68;56;62;273;9,4;3,8;
2025/01/02;1800 UTC;0;906,1;906,9;906,1;1996,3;27,1;20,4;27,6;26,2;21,8;18,5;74;61;67;250;6,3;3,1;
2025/01/02;1900 UTC;0;905,3;906,1;905,3;2335,1;26;21,5;27,7;26;22,6;20;77;64;76;206;6,9;2,6;
2025/01/02;2000 UTC;0;905,9;905,9;905,2;729,9;21,8;18,6;26,6;21,8;21,9;18;82;66;82;73;8,4;4;
2025/01/02;2100 UTC;0;905,9;906,2;905,7;375,2;20,4;18,8;21,8;20,4;19,1;18,3;91;82;91;35;9,4;5,4;
2025/01/02;2200 UTC;0;907,1;907,1;905,7;68,6;21,4;19,3;21,5;20,1;19,3;18,4;92;87;87;306;8,6;2,1;
2025/01/02;2300 UTC;,8;907,2;907,2;906,8;;19,8;19,2;21,5;19,7;19,5;18,8;96;87;96;130;5,1;0;
2025/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0100 UTC;,2;908,7;908,7;907,9;;20,2;19,3;20,6;19,9;19,6;18,8;98;89;95;75;2,7;,4;
2025/01/03;0200 UTC;0;909,1;909,2;908,7;;19,5;19,1;20,2;19,5;19,4;19,1;98;95;98;17;2,3;0;
2025/01/03;0300 UTC;0;908,9;909,3;908,9;;19,1;18,9;19,6;18,8;19,3;18,5;99;97;99;322;1,6;0;
2025/01/03;0400 UTC;0;907,8;908,9;907,8;;18,6;18,4;19,2;18,5;19;18,3;99;99;99;212;1,6;0;
2025/01/03;0500 UTC;0;907,6;907,8;907,4;;18,7;18,6;19;18,4;18,8;18,3;99;99;99;339;2,4;1,1;
2025/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0700 UTC;0;907,3;907,6;907,1;;18,9;18,6;19,4;18,9;19,1;18,6;99;98;98;2;2,2;,1;
2025/01/03;0800 UTC;0;907,5;907,5;907,3;;18,9;18,7;19,2;18,5;19;18,3;99;98;99;12;3,4;2,4;
2025/01/03;0900 UTC;0;908,2;908,2;907,5;7,9;19,2;19,1;19,2;18,9;19,1;18,7;99;99;99;2;3,8;,4;
2025/01/03;1000 UTC;0;908,9;908,9;908,2;204,7;20,1;20;20,1;19,2;20;19,1;100;99;99;334;2,8;,9;
2025/01/03;1100 UTC;0;909,2;909,2;908,8;829,6;21,8;20,7;21,8;20,1;20,8;20;99;93;94;325;2,7;1;
2025/01/03;1200 UTC;0;909,4;909,4;909,2;1460,4;23,1;19,9;23,1;21,8;21,3;19,6;94;81;82;286;4;2,7;
2025/01/03;1300 UTC;0;909,4;909,5;909,3;1957,3;24,4;20,7;24,6;23,1;21,5;19,6;83;77;80;275;7,1;2,9;
2025/01/03;1400 UTC;0;909,1;909,5;909,1;2854,1;26,4;20,6;26,6;24,3;21,3;19,4;83;65;70;281;7,1;3,2;
2025/01/03;1500 UTC;0;908,7;909,1;908,7;2516;26,6;20,4;26,9;25,3;21,9;19,1;75;65;69;269;7,1;3,7;
2025/01/03;1600 UTC;0;908,2;908,7;908,2;2300,7;25,9;20,1;26,8;24,2;20,6;18,7;74;65;70;291;11,7;3,9;
2025/01/03;1700 UTC;0;907,2;908,2;907,2;2765,9;26,6;20,1;26,6;25;22;19,1;77;67;67;272;9,3;3,9;
2025/01/03;1800 UTC;0;905,6;907,2;905,6;2456,4;26,7;20,3;27,4;26,3;20,8;19,1;71;64;68;257;7,6;4;
2025/01/03;1900 UTC;0;904,8;905,6;904,7;1705,5;26,8;19,4;27,7;26,6;21,2;18,2;68;59;64;265;7,4;3,7;
2025/01/03;2000 UTC;0;905;905,1;904,7;949,5;26;19,5;27;25,9;20,4;18,7;70;62;68;244;5,6;1,9;
2025/01/03;2100 UTC;0;905,1;905,1;904,9;548;25,3;19,1;26,5;25,2;21,5;19,1;76;67;69;241;3,2;1,3;
2025/01/03;2200 UTC;0;905,6;905,6;905,1;79,2;23,4;19,9;25,3;23,4;20,6;19,2;82;68;80;230;3,2;,2;
2025/01/03;2300 UTC;0;906,1;906,1;905,6;;22;20,7;23,4;21,5;21;19,6;93;80;92;34;4,8;3,3;
2025/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;0;908,1;908,2;907,7;;21,1;19,7;21,1;20,7;20;19,7;95;92;92;354;3,4;,9;
2025/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0500 UTC;0;907,1;907,3;906,9;;21,1;20,1;21,1;20,1;20,2;19,6;97;94;94;265;6,6;1,4;
2025/01/04;0600 UTC;0;906,6;907,1;906,6;;20,5;20,2;21,2;20,5;20,3;20,1;98;94;98;232;3,6;2,1;
2025/01/04;0700 UTC;0;906,7;906,7;906,3;;20,3;20;20,5;20,3;20,1;19,9;98;97;98;99;3,5;0;
2025/01/04;0800 UTC;0;906,8;906,9;906,7;;20,2;20;20,3;20;20,1;19,8;99;98;99;119;0;0;
2025/01/04;0900 UTC;0;907,3;907,3;906,8;3;19,9;19,8;20,2;19,9;20;19,7;99;99;99;143;0;0;
2025/01/04;1000 UTC;0;907,5;907,5;907,3;138,8;20,6;20,3;20,6;19,9;20,3;19,8;99;98;98;84;1,5;,1;
2025/01/04;1100 UTC;0;907,9;907,9;907,5;586,9;22,1;20,9;22,1;20,6;21,4;20,3;99;93;93;18;2,3;,7;
2025/01/04;1200 UTC;0;908,1;908,1;907,9;1700,7;24;21,1;24,4;22,1;22;20,6;95;81;84;298;4,3;1,9;
2025/01/04;1300 UTC;0;908;908,1;908;1609;25,2;21,4;25,2;23,9;22;20,7;87;77;80;311;3,9;,7;
2025/01/04;1400 UTC;0;907,5;908;907,5;2483,4;26,6;21;26,9;25,2;22,8;20,4;82;68;71;298;6,8;1,1;
2025/01/04;1500 UTC;0;906,7;907,5;906,7;3268,8;28,1;21,7;28,1;26,6;22,3;19,2;76;59;68;230;6,8;1,2;
2025/01/04;1600 UTC;0;906,1;906,7;906,1;1920;27,9;20,5;28,6;27,3;21,9;19,2;70;59;64;210;3,9;,1;
2025/01/04;1700 UTC;0;905,5;906,1;905,2;2632,8;26;18,7;29,3;26;22,5;18,7;77;54;64;124;6,6;2,1;
2025/01/04;1800 UTC;0;904,9;905,6;904,9;1090,5;23,1;20,1;25,9;22,4;20,1;18;86;64;84;162;7,4;1,3;
2025/01/04;1900 UTC;0;904,5;904,9;904,4;618,7;22,1;20,1;23,3;22,1;21,4;19;93;77;88;49;7,4;4,1;
2025/01/04;2000 UTC;0;904,6;904,8;903,9;307,6;22,4;20,5;22,6;22,1;20,5;20;90;86;89;245;7,4;2,4;
2025/01/04;2100 UTC;0;905,1;905,1;904,4;172,1;21,7;20,9;22,4;21,5;21;20,6;96;89;96;117;5,4;,4;
2025/01/04;2200 UTC;0;905,9;905,9;905,1;40,1;20,8;20,5;21,7;20,8;20,9;20,5;98;96;98;173;2,7;,7;
2025/01/04;2300 UTC;,2;907;907;905,9;;20,9;20,3;21;20,7;20,6;20,3;99;96;96;100;2,2;,1;
2025/01/05;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0200 UTC;0;908,4;908,6;908,2;;19,4;19,2;20,1;19,4;19,8;19,2;99;98;99;74;3;,2;
2025/01/05;0300 UTC;0;907,9;908,5;907,9;;19,3;19,2;19,5;19,2;19,3;19;99;99;99;22;4;2,4;
2025/01/05;0400 UTC;0;907,1;907,9;907,1;;19,1;19;19,4;19,1;19,3;19;100;99;99;35;4,5;2,4;
2025/01/05;0500 UTC;0;906,6;907,1;906,6;;19,1;19;19,1;19;19,1;18,9;100;99;100;66;3,2;,2;
2025/01/05;0600 UTC;0;905,9;906,6;905,9;;19,2;19,1;19,3;19,1;19,2;19;100;99;100;34;2,5;,4;
2025/01/05;0700 UTC;0;905,4;905,9;905,4;;18,7;18,6;19,2;18,6;19,1;18,5;100;99;100;350;2,3;0;
2025/01/05;0800 UTC;0;905,8;905,8;905,3;;19,2;19,1;19,2;18,4;19,1;18,3;100;100;100;357;3,5;2,5;
2025/01/05;0900 UTC;0;906,3;906,3;905,8;4,7;19,5;19,2;19,6;19,2;19,5;19,1;100;98;99;284;3,8;1;
2025/01/05;1000 UTC;0;906,9;907;906,3;183,8;20;19,9;20,1;19,5;19,9;19,3;99;98;99;327;3,1;1,4;
2025/01/05;1100 UTC;0;907,3;907,4;906,9;432,3;21,4;20,2;21,4;20;20,5;19,9;99;92;93;320;2,7;,5;
2025/01/05;1200 UTC;0;908;908;907,3;778,7;22,7;20,9;22,9;21,4;21,2;20,2;94;88;90;240;2,1;,9;
2025/01/05;1300 UTC;0;908,1;908,3;908;1324;24,2;21,7;24,3;22,7;22;20,8;93;84;86;255;3,5;1,5;
2025/01/05;1400 UTC;0;908,1;908,2;908,1;1187,8;25,1;21;25,2;24,1;22;20,1;87;75;78;252;4,4;1,3;
2025/01/05;1500 UTC;0;907,3;908,1;907,3;2360,4;27,5;21,6;27,5;25,1;23;20,4;83;70;71;243;5,8;3,3;
2025/01/05;1600 UTC;0;906,2;907,3;906,2;3782,8;28,2;21,6;28,5;27,3;22,2;19,8;71;62;67;265;7,8;3,3;
2025/01/05;1700 UTC;0;905,5;906,2;905,5;2858;27,7;20,6;28,9;27,7;22;18,4;68;55;65;228;6,7;3,3;
2025/01/05;1800 UTC;0;905,1;905,7;905,1;1667,8;23,4;19,3;29,2;23,4;22,5;18;79;60;78;360;8,5;3,3;
2025/01/05;1900 UTC;1,6;905,2;905,3;904,7;698,6;21,6;18,5;23,9;21,6;20,8;18,1;87;77;82;231;10,2;2,5;
2025/01/05;2000 UTC;1;904,7;905,3;904,6;548;22,1;21;22,5;21,4;21;18,2;94;80;94;58;7,1;,4;
2025/01/05;2100 UTC;0;905,3;905,3;904,6;364,8;21,9;21,2;22,3;21,8;21,3;20,5;96;90;96;103;2,9;0;
2025/01/05;2200 UTC;0;906,2;906,2;905,3;13,3;21,2;20,6;22,1;21,2;21,3;20,1;97;89;96;163;6,1;1,1;
2025/01/05;2300 UTC;7;907;907,1;906,2;;20,3;20,1;21,6;20,3;20,9;20,1;99;94;99;142;5,4;2,1;
2025/01/06;0000 UTC;9,4;908,4;908,4;907;;19,9;19,5;20,4;19,9;20,3;19,5;99;97;98;3;5;2,1;
2025/01/06;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;0200 UTC;0;908,5;908,8;908,5;;19,8;19,6;19,9;19,6;19,8;19,5;99;99;99;55;4,6;1;
2025/01/06;0300 UTC;,4;908,1;908,5;908,1;;20;19,9;20,1;19,8;19,9;19,6;99;99;99;345;3,9;0;
2025/01/06;0400 UTC;,6;907,3;908,1;907,3;;19,3;19;20;19,3;19,9;19;99;97;98;35;4,5;3,4;
2025/01/06;0500 UTC;,2;906,6;907,3;906,6;;19,5;19,1;19,5;19,3;19,1;19;99;98;98;11;7,1;4,8;
2025/01/06;0600 UTC;0;906,1;906,6;906,1;;19,4;19,2;19,6;19,4;19,2;19,1;98;97;98;332;7,1;2;
2025/01/06;0700 UTC;0;905,5;906,1;905,5;;19,4;19,2;19,5;19,3;19,3;19,1;99;98;99;132;3,1;0;
2025/01/06;0800 UTC;0;905,9;905,9;905,4;;19,5;19,4;19,5;19,3;19,4;19,2;99;99;99;298;2,6;1,7;
2025/01/06;0900 UTC;0;907;907;905,9;7,1;19,5;19,3;19,6;19,5;19,4;19,3;99;98;99;8;3,2;,5;
2025/01/06;1000 UTC;0;908;908;907;226,3;20,2;19,6;20,2;19,5;19,7;19,3;99;96;96;14;8,6;4,5;
2025/01/06;1100 UTC;0;908,2;908,2;908;334;20,3;19;20,3;19,9;19,6;18,6;96;92;92;11;9,1;4,3;
2025/01/06;1200 UTC;0;908,8;908,8;908,2;754,4;21,8;19,8;21,8;20,3;19,9;18,9;92;87;88;356;7;3,8;
2025/01/06;1300 UTC;0;908,8;908,9;908,7;1861,2;24;21,5;24;21,8;21,5;19,4;92;83;86;11;7;4,4;
2025/01/06;1400 UTC;0;908,5;908,9;908,5;2499,6;25;21,2;25;23,7;21,8;20,2;86;77;80;3;8,4;4,3;
2025/01/06;1500 UTC;0;908,7;908,7;908,2;1017,7;22,8;21;25,5;22,8;22;20,1;90;75;90;266;7,3;2,8;
2025/01/06;1600 UTC;0;907,7;908,7;907,7;224;22,3;21,5;22,8;22,2;21,5;20,5;96;89;95;236;5,6;,9;
2025/01/06;1700 UTC;,2;906,6;907,7;906,6;361,2;21,5;21,2;22,4;21,4;21,6;20,8;98;94;98;230;4,6;1,5;
2025/01/06;1800 UTC;0;906,3;906,6;906,2;967,2;23,2;21,5;23,2;21,5;21,9;21;98;89;90;249;3,1;,8;
2025/01/06;1900 UTC;,2;905,3;906,3;905,3;804,4;23,3;21,8;23,4;23;22;21,2;93;88;91;202;3,7;0;
2025/01/06;2000 UTC;0;905;905,4;904,9;789,5;24;21,7;24;23,3;22,1;21;92;84;87;230;2,2;0;
2025/01/06;2100 UTC;0;905,2;905,3;905;465,9;23,3;22;24;23,3;22,2;21;93;84;93;193;3,8;0;
2025/01/06;2200 UTC;0;905,7;905,8;905,2;91,7;21,7;21,2;23,3;21,7;22,2;21,2;97;93;97;125;1,9;0;
2025/01/06;2300 UTC;0;906,3;906,3;905,6;;20,7;20,4;21,7;20,7;21,3;20,4;99;97;98;188;1,6;,2;
2025/01/07;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;0100 UTC;0;907,5;907,6;906,9;;20,1;19,9;21,3;20,1;21,2;19,9;99;99;99;97;1,6;0;
