REGIAO:;CO
UF:;MS
ESTACAO:;MIRANDA
CODIGO (WMO):;A722
LATITUDE:;-20,39555555
LONGITUDE:;-56,43166666
ALTITUDE:;132,49
DATA DE FUNDACAO:;02/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;0;991,5;991,5;991,2;;26,6;21,3;27,5;25,8;21,6;20,3;76;67;73;62;0;0;
2025/01/01;0200 UTC;0;991,8;991,8;991,5;;25,6;21,2;27;25,6;21,5;21,1;76;70;76;176;0;0;
2025/01/01;0300 UTC;0;991,9;992,1;991,8;;25,3;20,6;25,6;24,1;21,3;20,3;82;75;76;261;0;0;
2025/01/01;0400 UTC;0;991,7;991,9;991,7;;24,5;21,1;25,3;23,4;21,4;20,2;85;76;82;245;0;0;
2025/01/01;0500 UTC;0;991,6;991,8;991,6;;23,3;20,8;24,5;22,7;21,2;20,1;87;82;86;227;0;0;
2025/01/01;0600 UTC;0;991,6;991,8;991,6;;23,1;21,2;23,3;22,3;21,2;20,2;89;86;89;35;0;0;
2025/01/01;0700 UTC;0;991,8;991,9;991,6;;22,7;20,5;23,1;22,3;21,1;20,3;89;87;87;142;0;0;
2025/01/01;0800 UTC;0;992;992;991,8;;22,6;20,4;23,2;22,6;21;20,4;89;86;88;262;0;0;
2025/01/01;0900 UTC;0;992,8;992,8;992;;22;20,2;22,6;21,9;20,5;20;90;87;90;207;0;0;
2025/01/01;1000 UTC;0;993,4;993,4;992,8;166,4;23,8;21,1;23,8;22;21,1;20,3;90;85;85;264;0;0;
2025/01/01;1100 UTC;0;994,4;994,4;993,4;561,1;25,9;21,6;25,9;23,8;22,1;21;85;77;77;151;0;0;
2025/01/01;1200 UTC;0;994,7;994,7;994,4;769,8;28,6;21;28,7;25,9;22,1;20,6;77;63;63;78;0;0;
2025/01/01;1300 UTC;0;995,4;995,4;994,7;1768,9;29,9;21,6;30,1;28,6;22,4;21;66;61;61;39;3;1,2;
2025/01/01;1400 UTC;0;995,3;995,5;995,3;3004,5;32,5;22,5;32,6;29,8;23,4;21,7;63;54;56;345;4,4;1,7;
2025/01/01;1500 UTC;0;994,5;995,3;994,5;3639,6;33,7;21,6;34;32,3;23,7;21,5;58;49;49;325;5,8;2;
2025/01/01;1600 UTC;0;993,8;994,5;993,8;3734,1;35;21,4;35;33,5;23,3;21,2;53;45;45;347;7,1;2,3;
2025/01/01;1700 UTC;0;992,9;993,8;992,9;2750,1;35,5;21,7;35,7;33,6;22,5;20,3;51;41;45;350;6,2;2,3;
2025/01/01;1800 UTC;0;992,3;992,9;992,2;3279,7;35,5;19,5;36,1;34,4;22;19,5;47;39;39;330;7,4;3,1;
2025/01/01;1900 UTC;0;991;992,3;991;2853,1;35,3;19,9;35,8;35,1;21,1;18,6;45;37;41;348;7,3;1,9;
2025/01/01;2000 UTC;0;990;991;989,9;2206;35,5;19,2;36,5;34,8;20,8;18,5;42;36;38;338;6;1,8;
2025/01/01;2100 UTC;0;989,2;990;989,2;849,2;34,7;21,3;36,1;33,8;21,4;19,4;48;38;46;324;6;1,7;
2025/01/01;2200 UTC;0;989,5;989,5;989,2;329;33,5;20,5;34,7;33,5;21,6;20,1;47;44;47;311;4,4;,3;
2025/01/01;2300 UTC;0;990,1;990,1;989,5;16,7;30,3;21,4;33,5;30,3;21,4;20,3;59;46;59;275;2,2;0;
2025/01/02;0000 UTC;0;991,3;991,3;990,1;;28,4;22;30,9;28,1;22,5;20,6;71;55;68;22;1,1;0;
2025/01/02;0100 UTC;0;992,4;992,4;991,3;;28,7;23,3;28,9;27,5;23,3;21,8;73;67;73;152;0;0;
2025/01/02;0200 UTC;0;993,1;993,1;992,4;;28;23,6;28,8;26,9;23,6;22,8;79;72;77;153;1,6;0;
2025/01/02;0300 UTC;0;993,3;993,3;993,1;;27,5;23,4;28;27;23,6;23,2;80;76;78;146;1,1;0;
2025/01/02;0400 UTC;0;993,2;993,5;993,2;;27,1;23,3;27,7;27;23,4;23;80;76;80;205;1,4;0;
2025/01/02;0500 UTC;0;992,8;993,2;992,8;;26,1;23,1;27,1;26,1;23,2;22,9;84;79;84;262;1,9;,5;
2025/01/02;0600 UTC;0;992,5;992,8;992,5;;26,3;23,1;26,3;26;23,2;23;84;82;83;262;2,7;,7;
2025/01/02;0700 UTC;0;992,5;992,7;992,5;;25,4;22,8;26,4;25,4;23,1;22,8;85;81;85;58;2,1;0;
2025/01/02;0800 UTC;0;992,2;992,6;992,2;;25,4;23;25,7;25;23,2;22,7;88;85;86;281;1,1;0;
2025/01/02;0900 UTC;0;992;992,3;991,9;;24,9;22,8;25,5;24,9;23,2;22,8;88;86;88;320;1,3;0;
2025/01/02;1000 UTC;0;993,4;993,5;992;135,7;26,6;22,7;26,8;24,7;23,4;22,7;89;79;79;18;3,4;1;
2025/01/02;1100 UTC;0;994,8;994,8;992,9;45,8;26,1;22,5;26,6;26;22,7;22,4;81;79;81;323;3,4;,2;
2025/01/02;1200 UTC;0;995,7;995,7;994,7;27;24,6;21,5;26,1;24,6;22,6;21,4;83;79;83;302;4,8;,8;
2025/01/02;1300 UTC;,2;995,9;996,1;995,5;114,6;24,1;21,4;24,6;24,1;21,8;21,3;85;83;85;54;4,4;,9;
2025/01/02;1400 UTC;0;996,1;996,2;995,9;566,4;24,9;21,7;24,9;24;22,1;21,3;87;83;83;41;3,8;2,1;
2025/01/02;1500 UTC;0;995,5;996,1;995,5;1908;27,1;22;27,1;24,9;22,3;21,3;83;73;74;126;3,8;0;
2025/01/02;1600 UTC;0;994,4;995,5;994,4;1731,6;28,6;21,6;28,7;27,1;22,6;21;74;64;66;183;2,8;,1;
2025/01/02;1700 UTC;0;994,1;994,4;993,9;1811,2;29;22,6;29,2;28,3;22,6;21;70;64;69;18;2,8;,8;
2025/01/02;1800 UTC;0;993,5;994,2;993,5;2553,9;31,6;22,2;31,6;28,8;22,8;21,4;69;57;57;306;4,6;1;
2025/01/02;1900 UTC;0;992,4;993,5;992,4;2335,9;32,7;19;33,6;31,4;22,3;18,4;58;42;44;280;4,8;,7;
2025/01/02;2000 UTC;0;991,6;992,4;991,6;1066,9;31,8;20,5;32,9;31,8;20,5;18,7;51;43;51;357;3,4;,2;
2025/01/02;2100 UTC;0;992,8;992,8;991,4;550,6;30,7;21,5;31,8;30,7;22;19,8;59;50;58;340;2,1;,2;
2025/01/02;2200 UTC;0;993,2;993,4;992,8;205;29;22,7;30,7;29;22,8;21,6;69;58;69;268;3,9;,1;
2025/01/02;2300 UTC;0;993,2;993,2;993,1;16,2;27,6;22,7;29;27,6;22,9;22,4;75;68;75;249;2,1;0;
2025/01/03;0000 UTC;0;993,3;993,3;993;;26,6;22,9;27,6;26,6;23;22,7;80;75;80;177;0;0;
2025/01/03;0100 UTC;0;993,8;993,9;993,3;;25,7;22,7;26,9;25,7;22,9;22,5;83;79;83;82;0;0;
2025/01/03;0200 UTC;0;994,6;994,6;993,8;;25,6;22,3;25,7;25,4;22,9;22,3;85;82;82;148;0;0;
2025/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0400 UTC;0;994,7;995;994,7;;24,8;21,6;24,8;24,5;22,5;21,6;88;82;82;162;0;0;
2025/01/03;0500 UTC;0;994,1;994,7;994,1;;24;21,5;24,9;24;21,6;21,1;86;80;86;23;0;0;
2025/01/03;0600 UTC;0;994,2;994,2;993,9;;23,7;21,6;24,4;23,7;21,7;21,3;88;83;88;41;0;0;
2025/01/03;0700 UTC;0;993,7;994,2;993,7;;24,4;22,1;24,4;23,7;22,1;21,6;88;85;87;257;0;0;
2025/01/03;0800 UTC;0;993,3;993,7;993,3;;23,5;21,7;24,4;23,5;22,2;21,7;90;87;90;39;0;0;
2025/01/03;0900 UTC;0;993,7;993,7;993,3;;23,8;21,9;23,9;23,4;22;21,6;90;89;89;180;0;0;
2025/01/03;1000 UTC;0;994,2;994,2;993,7;140,3;24;22;24;23,4;22;21,7;90;89;89;146;0;0;
