REGIAO:;CO
UF:;MS
ESTACAO:;JARDIM
CODIGO (WMO):;A758
LATITUDE:;-21,4786111
LONGITUDE:;-56,13777777
ALTITUDE:;252,47
DATA DE FUNDACAO:;04/08/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;;;;0;;;;;;;46;34;45;357;1,4;,5;
2025/01/01;0100 UTC;0;;;;0;;;;;;;55;45;55;337;1,1;,6;
2025/01/01;0200 UTC;0;;;;0;;;;;;;61;55;61;129;2;1;
2025/01/01;0300 UTC;0;;;;0;;;;;;;68;61;66;131;1,9;,6;
2025/01/01;0400 UTC;0;;;;0;;;;;;;70;64;69;162;2,4;,7;
2025/01/01;0500 UTC;0;;;;0;;;;;;;72;69;71;148;2;1;
2025/01/01;0600 UTC;0;;;;0;;;;;;;84;71;84;126;2,4;,8;
2025/01/01;0700 UTC;0;;;;0;;;;;;;86;81;85;141;2,2;,3;
2025/01/01;0800 UTC;0;;;;0;;;;;;;;;100;160;1,8;,5;
2025/01/01;0900 UTC;0;;;;0;;;;;;;;93;94;131;2;,4;
2025/01/01;1000 UTC;0;;;;73,9;;;;;;;94;82;83;114;2,2;1;
2025/01/01;1100 UTC;0;;;;851,4;;;;;;;83;69;71;71;2;,7;
2025/01/01;1200 UTC;0;;;;1700,2;;;;;;;71;58;59;34;2,3;,9;
2025/01/01;1300 UTC;0;;;;2536,7;;;;;;;60;45;46;349;5,7;2,9;
2025/01/01;1400 UTC;0;;;;3033,5;;;;;;;47;40;42;16;6,9;3,2;
2025/01/01;1500 UTC;0;;;;3308,7;;;;;;;45;39;41;335;7;3,5;
2025/01/01;1600 UTC;0;;;;3544,9;;;;;;;42;35;37;336;8,1;2,9;
2025/01/01;1700 UTC;0;;;;3723,8;;;;;;;41;32;35;307;7,8;2,1;
2025/01/01;1800 UTC;0;;;;3346,3;;;;;;;37;31;33;310;6,3;2,3;
2025/01/01;1900 UTC;0;;;;2969,2;;;;;;;35;28;29;292;5,9;2;
2025/01/01;2000 UTC;0;;;;2213,5;;;;;;;35;28;33;327;6,1;2,6;
2025/01/01;2100 UTC;0;;;;1453,5;;;;;;;35;32;35;287;6,4;2,3;
2025/01/01;2200 UTC;0;;;;591,8;;;;;;;40;34;39;294;4,5;1,2;
2025/01/01;2300 UTC;0;;;;24,2;;;;;;;49;39;49;36;2,7;,4;
2025/01/02;0000 UTC;0;;;;0;;;;;;;61;49;60;37;1,5;,7;
2025/01/02;0100 UTC;0;;;;0;;;;;;;61;55;57;150;1,7;,9;
2025/01/02;0200 UTC;0;;;;0;;;;;;;63;56;62;110;2,2;,7;
2025/01/02;0300 UTC;0;;;;0;;;;;;;66;62;66;109;2,2;,7;
2025/01/02;0400 UTC;0;;;;0;;;;;;;71;65;71;106;1,4;,6;
2025/01/02;0500 UTC;0;;;;0;;;;;;;76;71;75;66;1,8;,4;
2025/01/02;0600 UTC;0;;;;0;;;;;;;82;75;82;;1,2;,1;
2025/01/02;0700 UTC;0;;;;0;;;;;;;83;74;78;135;2,4;,8;
2025/01/02;0800 UTC;0;;;;0;;;;;;;79;75;76;188;3,9;,7;
2025/01/02;0900 UTC;0;;;;0;;;;;;;85;75;84;131;3,7;,8;
2025/01/02;1000 UTC;0;;;;88,2;;;;;;;86;80;81;71;1,7;,5;
2025/01/02;1100 UTC;0;;;;1007,2;;;;;;;81;68;68;66;2,4;1,1;
2025/01/02;1200 UTC;0;;;;1232,2;;;;;;;68;58;62;36;3,4;2;
2025/01/02;1300 UTC;0;;;;746,5;;;;;;;65;62;63;2;4,9;1,6;
2025/01/02;1400 UTC;0;;;;1972,9;;;;;;;64;59;60;346;6,3;2,6;
2025/01/02;1500 UTC;0;;;;1865,8;;;;;;;62;58;61;335;6,5;2,4;
2025/01/02;1600 UTC;0;;;;3377,7;;;;;;;63;52;53;304;8,1;3;
2025/01/02;1700 UTC;0;;;;2265;;;;;;;56;51;54;286;8,1;3;
2025/01/02;1800 UTC;0;;;;2302,1;;;;;;;55;48;50;249;7,1;3,6;
2025/01/02;1900 UTC;0;;;;1352,2;;;;;;;57;48;57;190;6,9;1,6;
2025/01/02;2000 UTC;0;;;;1921,6;;;;;;;60;52;60;141;6,3;2;
2025/01/02;2100 UTC;0;;;;749,3;;;;;;;61;59;60;123;5,5;1,6;
2025/01/02;2200 UTC;0;;;;411,8;;;;;;;62;59;60;78;4,3;2;
2025/01/02;2300 UTC;0;;;;29,9;;;;;;;69;60;69;4;4,8;1,6;
2025/01/03;0000 UTC;0;;;;0;;;;;;;72;68;72;133;2,7;,9;
2025/01/03;0100 UTC;0;;;;0;;;;;;;75;72;75;145;1,7;,4;
2025/01/03;0200 UTC;0;;;;0;;;;;;;78;75;78;92;1,3;,5;
2025/01/03;0300 UTC;0;;;;0;;;;;;;87;78;87;46;1,4;,8;
2025/01/03;0400 UTC;0;;;;0;;;;;;;;;;99;1,7;1;
2025/01/03;0500 UTC;0;;;;0;;;;;;;;;;130;1,9;,6;
2025/01/03;0600 UTC;0;;;;0;;;;;;;;;;142;1,7;,6;
2025/01/03;0700 UTC;0;;;;0;;;;;;;;;;83;1,4;,4;
2025/01/03;0800 UTC;0;;;;0;;;;;;;;95;95;271;2;,9;
2025/01/03;0900 UTC;0;;;;,8;;;;;;;;;;19;2;,9;
2025/01/03;1000 UTC;0;;;;126,5;;;;;;;;;;150;2;,6;
2025/01/03;1100 UTC;0;;;;618,9;;;;;;;;;85;171;2,1;,7;
2025/01/03;1200 UTC;0;;;;1362,7;;;;;;;86;70;71;146;2,2;,9;
