REGIAO:;CO
UF:;MT
ESTACAO:;ALTO ARAGUAIA
CODIGO (WMO):;A909
LATITUDE:;-17,33944444
LONGITUDE:;-53,22444443
ALTITUDE:;753,28
DATA DE FUNDACAO:;22/09/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;925,7;925,7;925,2;;25;20,3;25,7;24,9;20,4;20,1;76;72;75;48;3;1,8;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;0;926,8;926,8;926,3;;23,7;20,2;24,3;23,7;20,2;20;81;78;81;35;4,1;2;
2025/01/01;0300 UTC;0;926,8;926,9;926,7;;23,2;20,2;23,7;23;20,3;20,1;84;80;83;43;3,7;2,4;
2025/01/01;0400 UTC;0;926,8;926,9;926,6;;22,5;20;23,2;22,5;20,2;20;86;83;86;49;3,7;1,7;
2025/01/01;0500 UTC;0;926,3;926,8;926,3;;22,2;20;22,5;22,2;20,1;20;87;86;87;47;2,7;1,6;
2025/01/01;0600 UTC;0;926,3;926,4;926,2;;21,9;20,1;22,2;21,9;20,3;20;90;87;90;49;3,2;1,7;
2025/01/01;0700 UTC;0;926,2;926,4;926,2;;21,5;21,9;21,9;21,4;21,9;20,1;;90;;55;3,1;1,7;
2025/01/01;0800 UTC;0;926,5;926,5;926,2;;21,4;;21,6;21,4;;;;;;31;3,6;2,2;
2025/01/01;0900 UTC;0;927,2;927,2;926,5;;21,2;;21,4;21;;;;;;29;4,6;2,6;
2025/01/01;1000 UTC;0;927,9;927,9;927,2;91,2;21,8;;21,8;21,2;;;;;;34;5;2,6;
2025/01/01;1100 UTC;0;928,5;928,5;927,9;482,8;22,6;22;22,6;21,8;;;;;96;26;4,8;2,9;
2025/01/01;1200 UTC;0;929;929;928,5;1310,3;24,7;21,5;24,7;22,6;22,5;20,9;98;82;82;20;6,9;4;
2025/01/01;1300 UTC;0;929,2;929,3;929;2428,1;25,5;20,6;26;24;21,8;20,6;83;73;74;46;6,2;3;
2025/01/01;1400 UTC;0;928,9;929,2;928,8;3245;27,4;20,8;27,5;25,5;21,7;20;76;65;67;21;7,2;3,3;
2025/01/01;1500 UTC;0;928,2;928,9;928,2;3531,3;29,1;21;29,1;26,9;21,3;19,9;69;61;62;43;6,3;3,1;
2025/01/01;1600 UTC;0;927,6;928,2;927,6;2967,3;28,9;19,2;29,6;28,1;21,6;19,2;64;56;56;21;5,9;2,2;
2025/01/01;1700 UTC;0;926,4;927,6;926,4;3587,2;30,1;20,6;30,8;28,9;21,3;19,1;59;53;57;28;6,1;2,7;
2025/01/01;1800 UTC;0;925,5;926,4;925,5;3381,3;30,6;20,6;30,7;29,7;20,8;18,9;58;51;55;44;6,4;2,8;
2025/01/01;1900 UTC;0;924,5;925,5;924,5;2368;29,4;19,7;31,1;29,4;21,1;18,9;57;50;56;18;5,6;3,7;
2025/01/01;2000 UTC;0;923,9;924,5;923,9;1126,4;30;19,4;30,2;28,9;21,1;18,9;61;52;53;48;5,8;2,5;
2025/01/01;2100 UTC;0;924;924;923,9;1424,8;30,1;20,1;30,5;29,9;20,8;19;57;51;55;50;5,3;2,5;
2025/01/01;2200 UTC;0;924,6;924,7;924;359,2;28,5;20,1;30,2;28,5;20,5;19,4;61;54;60;58;3,9;1,2;
2025/01/01;2300 UTC;0;924,8;924,8;924,4;,1;24,1;18,5;28,5;24;20,1;18,3;71;60;71;230;6,3;2;
2025/01/02;0000 UTC;1,4;926,2;926,2;924,8;;22,8;19,9;24,1;22,6;19,9;18,4;84;71;84;135;3,9;2,3;
2025/01/02;0100 UTC;,2;927,4;927,4;926;1;22,4;20,2;23;22,3;20,2;19,4;88;81;88;250;7;2,6;
2025/01/02;0200 UTC;10;928,1;928,3;927,4;;21,5;;22,4;21,5;21,5;19,9;;87;;114;5,3;2,9;
2025/01/02;0300 UTC;1,6;928,5;928,6;928,1;;21;;21,8;21;;;;;;67;5,1;2,8;
2025/01/02;0400 UTC;,2;928,5;928,6;928,4;;20,8;;21,2;20,8;;;;;;6;5,1;2,1;
2025/01/02;0500 UTC;,6;928,2;928,7;927,9;;20,8;;20,8;20,6;;;;;;5;4,2;1,4;
2025/01/02;0600 UTC;,4;926,7;928,2;926,7;;20,6;;20,8;20,5;;;;;;274;4,1;,8;
2025/01/02;0700 UTC;0;926,9;926,9;926,5;;20,4;;20,7;20,4;;;;;;289;3;1,2;
2025/01/02;0800 UTC;0;927,1;927,1;926,8;;20,6;19,2;20,6;20,3;;;;;91;331;3,4;1,4;
2025/01/02;0900 UTC;0;927,2;927,3;926,8;;20,1;;20,6;20;20,5;18,5;;89;;93;2,9;1,2;
2025/01/02;1000 UTC;0;928,1;928,1;927,2;247,3;21,1;19,4;21,1;20;;;;;90;137;2,5;1,7;
2025/01/02;1100 UTC;0;928,3;928,5;928,1;1027,1;23,4;20,3;23,4;21,1;20,3;19,1;91;81;82;84;2,9;1,4;
