REGIAO:;CO
UF:;MT
ESTACAO:;CAMPO VERDE
CODIGO (WMO):;A912
LATITUDE:;-15,55888888
LONGITUDE:;-55,17944443
ALTITUDE:;747
DATA DE FUNDACAO:;21/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;927,2;927,2;926,6;0;24,3;20,2;24,8;24,3;20,4;20,2;78;76;78;57;1,4;,5;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;;928,5;928,5;928;0;23,9;19,6;24,3;23,7;20,3;19,3;81;75;77;27;3,1;1,8;
2025/01/01;0300 UTC;;928,5;928,7;928,5;0;23,5;19,4;23,9;23,5;19,7;19,4;79;77;78;36;4,1;2,1;
2025/01/01;0400 UTC;;928,3;928,5;928,3;0;22;19,2;23,6;22;19,5;19,2;84;78;84;344;4,1;1,4;
2025/01/01;0500 UTC;;927,8;928,3;927,8;0;22;19,5;22,1;21,9;19,5;19,2;86;84;86;18;3,6;1,9;
2025/01/01;0600 UTC;;927,7;927,8;927,7;0;21,4;19,4;22,1;21,4;19,5;19,3;88;85;88;356;4,1;1,9;
2025/01/01;0700 UTC;;927,5;927,7;927,4;0;21,8;19,5;21,8;21,4;19,6;19,4;89;86;86;17;4;2,1;
2025/01/01;0800 UTC;;927,9;927,9;927,5;0;21,3;19,2;21,8;21,3;19,4;19,2;88;86;88;7;3,5;,1;
2025/01/01;0900 UTC;;928,5;928,5;927,9;0;21,1;19,1;21,4;21,1;19,3;19,1;89;87;88;345;2,9;,6;
2025/01/01;1000 UTC;;929,2;929,2;928,5;158,3;21,5;19,3;21,5;20,8;19,3;18,8;89;87;87;2;2,4;,7;
2025/01/01;1100 UTC;;929,6;929,6;929,2;310,9;23,7;19,9;23,8;21,5;20,1;19,3;87;79;79;11;5,1;2,5;
2025/01/01;1200 UTC;;930,4;930,4;929,6;396,1;25;20,8;25;23,7;20,9;19,9;80;76;77;4;7,2;4,5;
2025/01/01;1300 UTC;;930,6;930,7;930,3;2742,5;26,6;21;26,9;24,8;21,6;20,5;78;70;71;24;7,2;4,1;
2025/01/01;1400 UTC;;930,8;930,8;930,6;2727,6;26,7;21,5;27,9;26,2;21,7;20,4;73;67;73;5;8,1;4,7;
2025/01/01;1500 UTC;;930,1;930,8;930,1;3659,5;28;21;28,7;26,8;22;20,6;74;63;65;348;8;4,1;
2025/01/01;1600 UTC;;929,5;930,2;929,5;2901,9;27,8;20,5;29,2;27,5;21,8;20,3;69;62;64;343;7,6;3;
2025/01/01;1700 UTC;;928,7;929,5;928,7;2906,9;28,7;21,1;29,6;27,5;22,7;20,5;71;62;64;324;7,7;3,9;
2025/01/01;1800 UTC;;927,5;928,7;927,5;3734,2;29,5;20,3;29,8;28,4;21,5;19,7;65;56;58;331;7,8;3,8;
