REGIAO:;CO
UF:;MT
ESTACAO:;COTRIGUACU
CODIGO (WMO):;A919
LATITUDE:;-9,90638888
LONGITUDE:;-58,57222221
ALTITUDE:;265
DATA DE FUNDACAO:;28/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;979,1;979,1;978,1;0;25,4;;26,7;25,4;;;;;;334;3,8;1,7;
2025/01/01;0100 UTC;0;979,8;979,8;979,1;0;25,1;;25,6;25,1;;;;;;314;3,8;,8;
2025/01/01;0200 UTC;0;980,6;980,6;979,8;0;25;;25,3;25;;;;;;11;2,1;,9;
2025/01/01;0300 UTC;0;981,1;981,1;980,6;0;25;;25,2;25;;;;;;48;3,1;1,1;
2025/01/01;0400 UTC;2,2;980,9;981,3;980,9;0;24,3;;25;24,3;;;;;;96;3,1;,7;
2025/01/01;0500 UTC;3;980,2;980,9;980,2;0;24;;24,3;24;;;;;;83;2,4;,9;
2025/01/01;0600 UTC;1,4;979,1;980,2;979,1;0;23,9;;24;23,9;;;;;;13;2,1;,8;
2025/01/01;0700 UTC;,4;979,1;979,3;979,1;0;23,8;;23,9;23,8;;;;;;32;2,1;,7;
2025/01/01;0800 UTC;,2;979,3;979,3;979,1;0;23,7;;23,9;23,6;;;;;;352;1,8;,8;
2025/01/01;0900 UTC;0;979,9;979,9;979,3;0;23,5;;23,7;23,4;;;;;;192;2,3;,4;
2025/01/01;1000 UTC;0;980,8;980,8;979,9;6,2;23,5;;23,5;23,4;;;;;;110;1;,5;
2025/01/01;1100 UTC;0;981,3;981,3;980,8;212,8;24,2;;24,2;23,5;;;;;;265;1,1;,2;
2025/01/01;1200 UTC;0;981,9;981,9;981,2;665,9;26;;26;24,2;;;;;;213;1,5;,5;
2025/01/01;1300 UTC;0;982,8;982,8;981,9;1472,8;27,8;;28,1;26;;;;;;103;1,7;1;
2025/01/01;1400 UTC;0;982,8;982,9;982,8;2120,4;28,6;;29,3;27,6;;;;;;355;2,7;,9;
2025/01/01;1500 UTC;0;982,3;982,8;982,3;2517;31;;31;28,4;;;;;;345;2,9;1,6;
