REGIAO:;CO
UF:;MT
ESTACAO:;SALTO DO CEU
CODIGO (WMO):;A936
LATITUDE:;-15,12472221
LONGITUDE:;-58,12722221
ALTITUDE:;300,83
DATA DE FUNDACAO:;24/01/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;973,4;973,4;972,6;;24,4;23,2;24,9;24,4;23,8;23,1;94;92;93;6;1,9;0;
2025/01/01;0100 UTC;;974,3;974,3;973,4;;24,3;23,3;24,5;24,1;23,4;23;94;93;94;8;,7;0;
2025/01/01;0200 UTC;;974,8;974,8;974,3;;24,1;22,9;24,5;24;23,5;22,9;94;93;93;6;2,4;0;
2025/01/01;0300 UTC;;974,8;974,9;974,8;;23,8;22,7;24,1;23,8;23,1;22,7;94;93;94;349;2,3;,3;
2025/01/01;0400 UTC;;974,8;974,9;974,8;;23,8;22,3;24,3;23,6;22,8;22,3;94;91;91;338;3,1;,6;
2025/01/01;0500 UTC;;974,1;974,8;974,1;;23,5;22,4;23,8;23,5;22,5;22,2;94;91;94;343;2,2;,4;
2025/01/01;0600 UTC;;973,9;974,1;973,9;;23,3;22,2;23,5;23,2;22,4;22;94;93;93;351;3,2;1,2;
2025/01/01;0700 UTC;;973,8;973,9;973,8;;23,2;22;23,4;23,1;22,2;21,9;93;92;93;360;3,2;,3;
2025/01/01;0800 UTC;;974,2;974,2;973,8;;23,3;22,1;23,3;23;22,1;21,8;93;93;93;342;3;1,1;
2025/01/01;0900 UTC;;974,9;974,9;974,2;;23,4;21,8;23,5;23,3;22,1;21,8;93;91;91;337;3,4;1,3;
2025/01/01;1000 UTC;;975,7;975,7;974,9;154,4;24,6;22,1;24,6;23,3;22,1;21,8;91;86;86;353;4,1;1,7;
2025/01/01;1100 UTC;;976,1;976,1;975,7;857,5;26,4;22,4;26,4;24,6;22,6;21,9;86;78;78;353;5;1,9;
2025/01/01;1200 UTC;;976,6;976,6;976,1;1582,4;28;22,9;28,1;26,4;23,3;22,4;80;73;74;3;5;1,7;
2025/01/01;1300 UTC;;976,8;976,8;976,6;2207,8;30,8;23,3;30,8;28;24,1;22,8;75;64;65;28;5,2;1,4;
2025/01/01;1400 UTC;;976,8;976,9;976,8;3086,3;32,8;22,3;32,8;30,8;24,1;21,9;66;54;54;351;4,3;1;
2025/01/01;1500 UTC;;976,6;976,8;976,5;2083,1;29,9;24,4;33,5;29,9;25,3;21,9;74;52;72;66;4,3;,7;
2025/01/01;1600 UTC;;975;976,6;975;2996,4;34,3;21,9;34,3;28,7;25;20,3;78;44;48;4;4,5;,9;
2025/01/01;1700 UTC;;974,5;975;974,5;2116;30,6;23;35,4;30,5;23,2;20,1;65;41;64;146;5,2;1;
2025/01/01;1800 UTC;;973,5;974,6;973,5;1100;30,6;23,7;30,8;30,3;23,7;22,3;67;61;67;159;3,4;1;
2025/01/01;1900 UTC;;973,7;973,7;973,3;440,1;27,4;22,7;30,8;27,4;24,7;22,2;78;61;75;349;8,7;2,7;
2025/01/01;2000 UTC;;972,6;973,7;972,6;591,1;28,3;22,7;28,3;27,2;23,4;22,1;78;72;72;5;8,7;,9;
2025/01/01;2100 UTC;;972,1;972,6;971,8;1086,8;29,5;23;29,8;28,2;23,3;22,1;72;67;68;339;3,7;,9;
2025/01/01;2200 UTC;;972,3;972,3;972;349,9;27,3;23,5;29,6;27,3;23,7;22,5;80;67;80;343;3,2;1,4;
