REGIAO:;NE
UF:;AL
ESTACAO:;PIRANHAS
CODIGO (WMO):;A371
LATITUDE:;-9,62222221
LONGITUDE:;-37,76722221
ALTITUDE:;187
DATA DE FUNDACAO:;20/09/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;0;991,9;992;991,8;;25,9;20,9;26,3;25,9;21,3;20,8;74;73;74;89;11,6;5,2;
2025/01/01;0300 UTC;0;991,8;991,9;991,8;;25,8;21,1;25,9;25,7;21,1;20,9;75;74;75;93;10,3;3,9;
2025/01/01;0400 UTC;0;991,2;991,8;991,1;;25,7;21,2;25,8;25,7;21,3;21,1;76;75;76;94;7,5;3,8;
2025/01/01;0500 UTC;0;990,9;991,2;990,9;;25,5;21,2;25,7;25,5;21,3;21,1;77;76;77;94;7,1;3,9;
2025/01/01;0600 UTC;0;990,9;991;990,8;;25,5;21,1;25,5;25,4;21,3;21,1;78;76;77;99;7,9;3,7;
2025/01/01;0700 UTC;0;990,9;991;990,8;;25,5;20,9;25,6;25,5;21,2;20,9;77;76;76;95;7,9;3,2;
2025/01/01;0800 UTC;0;991,2;991,2;990,9;;25,3;21,2;25,5;25,3;21,2;20,9;78;76;78;90;7,5;3,8;
2025/01/01;0900 UTC;0;991,9;991,9;991,2;70,7;25,2;21,2;25,3;25,2;21,2;21,1;79;78;79;93;7,8;3,8;
2025/01/01;1000 UTC;0;992,4;992,4;991,9;621,5;26,7;21,1;26,7;25,2;21,4;20,9;79;71;71;87;6,7;4;
2025/01/01;1100 UTC;0;992,7;992,7;992,4;1422,4;28,8;20,2;28,8;26,6;21,3;20,2;72;60;60;83;6,7;3,3;
2025/01/01;1200 UTC;0;992,9;993;992,7;1462,6;29,8;19,1;29,8;28,3;20,3;18,9;60;53;53;87;8,5;4,1;
2025/01/01;1300 UTC;0;992,5;993;992,5;2952,3;31,5;18,2;32,3;29,8;19,1;17,9;53;43;45;98;10,4;3,8;
2025/01/01;1400 UTC;0;991,8;992,5;991,8;2848,6;32,8;17,9;32,8;31;18,6;17,6;47;41;41;91;7,4;2,8;
2025/01/01;1500 UTC;0;990,9;991,8;990,8;3752,7;34,4;17,1;34,7;32,4;18,5;16,7;42;35;36;51;7,9;3,4;
2025/01/01;1600 UTC;0;989,8;990,9;989,8;3447,4;34,2;16,7;36,1;34;17,3;16;36;32;35;118;9,1;1,8;
2025/01/01;1700 UTC;0;988,6;989,8;988,6;2951,4;36,3;16,8;36,7;34,2;17,1;15,8;35;30;32;97;8,2;2,7;
2025/01/01;1800 UTC;0;987,8;988,7;987,7;2021,4;35,6;16,2;36,9;35,6;16,8;15,8;32;30;32;99;9,8;3,6;
2025/01/01;1900 UTC;0;987,5;987,8;987,4;1526,2;35,8;16,1;36,5;35,3;16,5;15,7;32;30;31;105;8,8;2,5;
2025/01/01;2000 UTC;0;987,6;987,6;987,4;825,1;35,1;16,1;35,9;35;16,5;15,7;32;30;32;91;7,5;3,4;
2025/01/01;2100 UTC;0;988;988;987,5;194,8;33,5;17,6;35,2;33,5;17,6;16;39;32;39;99;9,6;4,2;
