REGIAO:;NE
UF:;BA
ESTACAO:;SENHOR DO BONFIM
CODIGO (WMO):;A428
LATITUDE:;-10,44305555
LONGITUDE:;-40,14833333
ALTITUDE:;532,09
DATA DE FUNDACAO:;27/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;950,8;950,8;950,6;;28,1;11,8;29,8;28,1;12,5;11,7;36;33;36;155;4,9;1,7;
2025/01/01;0100 UTC;0;951,4;951,4;950,8;;28,9;14,4;29,1;27,6;14,4;12;41;36;41;106;7,2;4,3;
2025/01/01;0200 UTC;0;952;952;951,4;;26,2;17,7;28,9;26,2;17,7;14,4;60;41;60;122;12,2;5,3;
2025/01/01;0300 UTC;0;952,2;952,3;952;;24,4;17,6;26,1;24,4;18;17,6;66;60;66;134;9,1;2,9;
2025/01/01;0400 UTC;0;952,1;952,4;952;;23,6;17,5;24,3;23,5;17,7;17,4;69;66;69;151;5,9;2,7;
2025/01/01;0500 UTC;0;952;952,1;951,9;;22,7;16,9;23,6;22,7;17,5;16,9;71;69;70;137;6,1;2,7;
2025/01/01;0600 UTC;0;952;952,1;951,9;;21,5;16,8;22,7;21,4;16,9;16,5;75;70;75;137;4,7;2,1;
2025/01/01;0700 UTC;0;952;952;951,9;;22,1;17,5;22,1;21,3;17,5;16,7;75;75;75;155;4,6;2,3;
2025/01/01;0800 UTC;0;952,4;952,4;952;;22,6;17,8;22,6;22,1;17,9;17,5;75;74;74;137;4,8;2,7;
2025/01/01;0900 UTC;0;952,9;952,9;952,4;24,1;22,8;17,7;22,8;22,5;17,8;17,6;74;73;73;119;5,7;3;
2025/01/01;1000 UTC;0;953,6;953,6;952,9;196,5;23,2;17,9;23,3;22,8;18,1;17,7;73;72;72;120;5,1;2;
