REGIAO:;NE
UF:;BA
ESTACAO:;BARRA
CODIGO (WMO):;A429
LATITUDE:;-11,08472221
LONGITUDE:;-43,13888888
ALTITUDE:;407,5
DATA DE FUNDACAO:;12/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;964;964;963,8;;26,2;21,6;26,9;26,1;22,5;21,5;79;76;76;190;4,5;1;
2025/01/01;0100 UTC;0;964,6;964,9;964;;25,8;21,7;26,2;25,3;21,8;21,3;80;75;78;209;4,6;,9;
2025/01/01;0200 UTC;0;964,5;964,7;964,5;;25,5;22;26;25,5;22,1;21,4;81;77;81;196;4,2;,9;
2025/01/01;0300 UTC;0;964,1;964,5;964,1;;25,3;22,6;25,6;25,3;22,6;22;85;81;85;160;4;,8;
2025/01/01;0400 UTC;0;963,5;964,1;963,5;;24,9;22,6;25,4;24,9;22,7;22,5;87;84;87;165;4;,7;
2025/01/01;0500 UTC;0;963,2;963,5;963,2;;25,1;22,9;25,2;24,9;23,1;22,6;89;87;88;207;2,9;,7;
2025/01/01;0600 UTC;0;962,9;963,2;962,9;;24,6;22,6;25,1;24,6;22,9;22,6;89;87;89;188;3,9;,6;
2025/01/01;0700 UTC;0;963,4;963,4;962,9;;24;22,3;24,7;23,8;22,7;22,2;92;89;90;148;2,4;,3;
2025/01/01;0800 UTC;0;964,2;964,2;963,3;;22,6;21,7;24;22,6;22,3;21,7;95;90;95;331;1,8;,2;
2025/01/01;0900 UTC;0;965,3;965,3;964,2;35,7;22,6;21,7;22,6;22,2;21,8;21,5;96;95;95;312;2,4;,3;
2025/01/01;1000 UTC;0;966,1;966,1;965,3;578;25,3;20,6;25,3;22,6;22,2;20,5;95;76;76;360;3,2;1,3;
2025/01/01;1100 UTC;0;966,6;966,6;966,1;1706,5;28,3;20,2;28,3;25,3;21;20;75;62;62;33;5,9;2,9;
2025/01/01;1200 UTC;0;966,9;966,9;966,6;2369,9;30,6;20,1;30,9;28,3;20,6;19,9;62;53;54;48;6,8;2,6;
2025/01/01;1300 UTC;0;966,8;967;966,8;3130,8;31,9;19,8;32,1;30,5;20,5;19,6;54;48;49;57;7,7;3,1;
2025/01/01;1400 UTC;0;966,2;966,8;966,2;3343,2;34,1;20;34,1;31,7;20,4;19,4;50;43;44;49;8,2;3,3;
2025/01/01;1500 UTC;0;965,7;966,2;965,6;3465,5;34,8;19,2;34,8;33,4;20;18,7;44;40;40;35;10,5;4,3;
2025/01/01;1600 UTC;0;964,7;965,7;964,7;3687,4;35,3;19,3;36,1;34,2;19,8;18,6;41;38;39;44;8,8;3,4;
2025/01/01;1700 UTC;0;963,6;964,7;963,6;3821,6;36,5;19,1;36,7;35,2;20;18,8;39;36;36;52;8,8;2,5;
2025/01/01;1800 UTC;0;962,2;963,6;962,2;2768,5;36,7;18,4;37,6;35,8;19,6;18,2;37;34;34;42;10,6;2,6;
2025/01/01;1900 UTC;0;961,6;962,2;961,5;1912,7;36,6;18,1;37,6;36,5;18,8;17,3;34;31;34;27;7;3,2;
2025/01/01;2000 UTC;0;961,3;961,6;961,3;1034,9;36,2;16,4;37;36,2;18;16,4;34;31;31;78;6,8;3,4;
2025/01/01;2100 UTC;0;961,7;961,7;961,3;183,8;34,4;17,5;36,3;34,4;17,6;16,5;37;31;37;59;6,2;1,4;
2025/01/01;2200 UTC;0;962,1;962,1;961,7;2,4;32,8;17,2;34,4;32,8;18,2;17,2;41;37;39;67;3,5;,8;
2025/01/01;2300 UTC;0;963;963;962,1;;31,4;18,9;32,8;31,4;18,9;17;47;39;47;150;5,1;1,2;
2025/01/02;0000 UTC;0;964;964;963;;30,6;19,7;31,4;30,6;19,9;18,9;52;48;52;167;2,9;,7;
2025/01/02;0100 UTC;0;964,7;964,7;964;;29,9;20;30,7;29,8;20,2;19,7;56;52;55;116;2,3;1,4;
2025/01/02;0200 UTC;0;964,6;964,9;964,6;;28,8;19,9;29,9;28,8;20,6;19,9;59;55;59;146;2;0;
2025/01/02;0300 UTC;0;964,6;964,6;964,5;;28,4;20,6;29,4;28,3;21,5;19,9;64;57;63;86;1,9;,3;
2025/01/02;0400 UTC;0;964,1;964,6;964,1;;26,8;21,8;28,4;26,8;21,9;20,1;74;62;74;257;2,5;,2;
2025/01/02;0500 UTC;0;963,5;964,1;963,5;;25,7;21,7;26,8;25,5;21,9;21,5;79;74;79;234;1,6;,9;
2025/01/02;0600 UTC;0;963,5;963,5;963,4;;25,2;21,1;26,1;25,2;21,9;20,9;79;74;78;276;2,6;,3;
