REGIAO:;NE
UF:;BA
ESTACAO:;IBOTIRAMA
CODIGO (WMO):;A439
LATITUDE:;-12,19305555
LONGITUDE:;-43,21333333
ALTITUDE:;425,12
DATA DE FUNDACAO:;28/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;962,9;962,9;962,4;;24,8;22,5;25,5;24,8;22,6;22,3;87;83;87;236;3,7;1,7;
2025/01/01;0100 UTC;0;963,2;963,2;962,8;;24;22,6;24,8;24;22,6;22,5;92;87;92;236;2,9;1,7;
2025/01/01;0200 UTC;0;963,1;963,3;963;;23,9;22,8;24;23,8;22,9;22,5;94;92;94;236;2,8;1,1;
2025/01/01;0300 UTC;0;963;963,2;963;;23,3;22,7;23,9;23,1;22,8;22,3;96;94;96;236;2,2;1,4;
2025/01/01;0400 UTC;0;962,3;963;962,3;;23,3;22,7;23,4;23,2;22,8;22,6;97;96;97;236;2,1;,1;
2025/01/01;0500 UTC;0;962,1;962,3;962;;23;22,5;23,3;22,9;22,7;22,3;97;97;97;236;,8;0;
2025/01/01;0600 UTC;0;961,8;962,1;961,7;;22,6;22,1;23;22,5;22,5;22;97;97;97;236;1,8;,7;
2025/01/01;0700 UTC;0;961,6;961,8;961,6;;22,4;22;22,6;22,2;22,1;21,8;97;97;97;236;2,4;1,6;
2025/01/01;0800 UTC;0;961,9;961,9;961,6;;22,8;21,9;23,1;22,4;22,5;21,9;97;95;95;236;3,9;1,7;
2025/01/01;0900 UTC;0;962,7;962,7;961,9;24,3;23,2;22,1;23,2;22,8;22,1;21,9;95;94;94;236;3,7;1,9;
2025/01/01;1000 UTC;0;963,5;963,5;962,7;578,7;25,4;23;25,4;23,2;23,3;22,1;94;87;87;236;4,5;1,3;
2025/01/01;1100 UTC;0;964,2;964,2;963,5;1359,1;28,3;21,7;28,3;25,4;23,6;19,9;87;60;68;177;2,8;,5;
2025/01/01;1200 UTC;0;964,8;964,8;964,2;2146,4;30,7;19,6;30,7;27,4;23,3;18,9;77;50;51;88;3,8;1,7;
2025/01/01;1300 UTC;0;964,9;965;964,7;2917,2;31,3;19,1;31,3;30,3;20,4;18,2;55;46;48;101;3,6;1,2;
2025/01/01;1400 UTC;0;964,7;965;964,7;3403,3;31,6;20,8;31,8;30,8;21,6;18,7;58;47;53;24;4,8;2,1;
2025/01/01;1500 UTC;0;964;964,7;964;3610,9;32,8;21,2;32,9;31,3;22,3;20,2;56;49;51;64;4,8;2,2;
2025/01/01;1600 UTC;0;963,2;964;963,1;3665,7;33,4;20,8;33,6;32,3;21,8;19,4;53;43;48;280;4,6;2,1;
2025/01/01;1700 UTC;0;962,1;963,2;962,1;3336,6;34,1;20,2;34,2;33,3;21,6;18,3;49;40;44;342;5,1;1,8;
2025/01/01;1800 UTC;0;961;962,1;961;1893,2;33,2;18,4;34,8;33;20,7;17,6;48;37;42;337;4,4;,8;
2025/01/01;1900 UTC;0;960,4;961;960,4;2372,4;35,3;18;35,4;33,2;20,2;17,1;43;34;36;286;3,2;,8;
2025/01/01;2000 UTC;0;960,6;960,6;960,3;1362,9;33,8;19,4;35,3;33,8;19,8;17,1;43;33;43;145;2,8;,2;
2025/01/01;2100 UTC;0;960,3;960,8;960,3;113,2;28,3;18;33,8;28,2;19,4;15,7;56;41;54;65;12;,4;
2025/01/01;2200 UTC;0;961;961;960,3;10,5;25,3;18,7;28,7;25,2;19,9;16,6;70;48;67;210;4,3;1,1;
2025/01/01;2300 UTC;0;961,8;961,8;960,9;;25,8;18,9;26,1;25;19,4;18,4;69;65;66;135;5;1,4;
2025/01/02;0000 UTC;0;962,5;962,5;961,8;;23;20,4;26;23;20,5;18,8;86;65;86;236;2,5;1,4;
2025/01/02;0100 UTC;0;963,1;963,1;962,5;;22,6;20,8;23,4;22,6;20,9;20,2;90;84;90;236;2;1,2;
2025/01/02;0200 UTC;0;963,4;963,5;963,1;;23,5;19,8;23,6;22,5;20,9;19,6;90;79;79;236;2,6;1;
2025/01/02;0300 UTC;0;963,1;963,4;963,1;;23;19,9;23,6;22,4;20,2;19,7;86;79;82;236;2,2;1,2;
2025/01/02;0400 UTC;0;962,9;963,1;962,9;;22,5;20,7;23,2;22,3;20,8;19,8;89;81;89;236;2,4;,7;
2025/01/02;0500 UTC;0;962,5;962,9;962,4;;22,6;20,3;22,9;22,5;20,8;20,2;89;85;87;236;1,4;,2;
2025/01/02;0600 UTC;0;962;962,5;962;;22,3;20,4;22,7;22,3;20,7;20,2;90;86;89;236;1,3;,2;
2025/01/02;0700 UTC;0;961,9;962;961,8;;21,3;20,2;22,3;21,2;20,8;20;94;89;94;236;,9;0;
2025/01/02;0800 UTC;0;962,2;962,2;961,9;;22,1;20,7;22,1;21,3;20,7;20,2;94;91;92;236;2,8;1,6;
2025/01/02;0900 UTC;0;963,4;963,4;962,2;20,2;21,9;21;22,2;21,7;21;20,6;94;92;94;236;2,8;1,3;
2025/01/02;1000 UTC;0;964,2;964,2;963,4;507,3;24,7;22,9;24,7;21,9;22,9;21;94;89;89;236;3,9;1,9;
2025/01/02;1100 UTC;0;964,5;964,6;964,2;1364,5;27;22,6;27;24,7;23;22,3;89;77;77;169;4,2;2,5;
2025/01/02;1200 UTC;0;964,8;964,9;964,5;2293,1;29;22;29,2;27;23,1;21,9;78;66;66;236;4;1,8;
2025/01/02;1300 UTC;0;964,6;964,9;964,6;2932,4;30,7;22,2;31,2;29;23,5;21,5;69;57;61;252;4,3;2,3;
2025/01/02;1400 UTC;0;964,5;964,6;964,5;2325,9;31,2;21,7;31,8;29,7;23,3;21,1;66;55;57;236;4,7;2,7;
2025/01/02;1500 UTC;0;964;964,5;964;3037,1;32,7;20,1;32,8;31;22,2;19,6;59;47;48;240;5,1;2,1;
2025/01/02;1600 UTC;0;963,3;964;963,3;3123,5;33,4;19,5;33,8;32,6;21,3;19;51;43;44;208;4,6;1,9;
2025/01/02;1700 UTC;0;962;963,3;962;3154,7;34,5;19,8;35;32,7;21,6;18,5;52;39;42;246;4,2;,9;
2025/01/02;1800 UTC;0;960,7;962;960,7;2751,5;35;18,4;35,6;34;20,4;17,9;44;37;38;225;4,1;1,6;
2025/01/02;1900 UTC;0;960,2;960,7;960,2;2328,2;35,4;18,2;35,4;34,5;19,4;16,5;40;33;36;119;4,1;1,4;
2025/01/02;2000 UTC;0;960,3;960,3;960,1;1308,4;34,5;18,1;35,5;34,3;18,8;15,8;40;32;38;236;3,4;1,9;
2025/01/02;2100 UTC;0;960,2;960,3;960,2;330,1;31,6;21,1;34,5;31,6;21,2;18,1;54;38;54;145;3,4;,8;
2025/01/02;2200 UTC;0;960,8;960,8;960,2;15,2;28,7;21,1;31,5;28,7;21,9;21;64;54;64;143;6,1;1,9;
2025/01/02;2300 UTC;0;961,4;961,4;960,8;;27,6;20,5;28,7;27,6;21,1;20,4;65;62;65;142;4,2;1,6;
2025/01/03;0000 UTC;0;962,2;962,2;961,4;;25,2;20,9;27,6;25,1;21,2;20,4;78;65;77;129;3,1;,6;
2025/01/03;0100 UTC;0;963,1;963,1;962,2;;25,5;21,9;25,5;24,8;21,9;20,9;82;77;80;140;2,6;1,1;
2025/01/03;0200 UTC;0;963,3;963,3;963,1;;24,4;21,9;25,6;24;22;21,8;88;80;86;140;2,1;1,2;
2025/01/03;0300 UTC;0;963,3;963,5;963,3;;23,8;22,3;24,4;23,4;22,9;21,7;92;86;92;108;2,7;,5;
2025/01/03;0400 UTC;0;962,7;963,3;962,7;;23,5;22,1;24;23,5;22,6;22,1;93;91;92;236;1,8;,3;
2025/01/03;0500 UTC;0;962,2;962,7;962,2;;22,7;21,6;23,5;22,6;22,2;21,4;94;92;94;236;1,1;,2;
2025/01/03;0600 UTC;0;962,1;962,3;962;;23,3;21,9;23,4;22,6;22,1;21,6;95;92;92;236;2,1;1;
2025/01/03;0700 UTC;0;962,1;962,1;961,8;;21,5;20,5;23,3;21,5;21,9;20,5;95;90;94;236;2,6;,1;
2025/01/03;0800 UTC;0;962,4;962,4;962;;20,4;19,9;21,7;20,4;21,1;19,7;97;94;97;236;1,5;,4;
2025/01/03;0900 UTC;0;963,2;963,2;962,4;21,9;21;20,5;21,2;20,4;20,8;19,9;97;97;97;236;1,2;0;
2025/01/03;1000 UTC;0;964;964;963,2;495,3;24,7;22;25,6;21;22,7;20,5;97;82;85;236;1,6;,9;
2025/01/03;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1200 UTC;0;964,7;964,7;964,4;2172,7;31,2;21,4;31,2;28;23,4;20;74;53;56;126;3,5;1,4;
2025/01/03;1300 UTC;0;964,4;964,7;964,4;2938,1;32,5;19,4;32,6;30,8;21,1;19,2;56;46;46;57;4,1;2,2;
2025/01/03;1400 UTC;0;963,9;964,4;963,9;3385,1;34,2;17,3;34,2;32,5;20,6;15,4;50;33;37;81;4,6;2,2;
2025/01/03;1500 UTC;0;963,3;963,9;963,3;3673,4;35;16,1;35,2;34;18,2;16,1;38;32;33;77;5,1;2,6;
2025/01/03;1600 UTC;0;962;963,3;962;3710,3;35,6;17;36,5;35;17,5;15,6;35;30;33;52;5,2;2,7;
2025/01/03;1700 UTC;0;961,2;962;961,2;3501,8;36,9;14;37,2;35,6;16,9;14;33;26;26;81;5,3;2,7;
2025/01/03;1800 UTC;0;959,9;961,2;959,9;2569,7;37,3;15,3;37,6;36,7;15,6;12,8;28;23;27;57;4,8;2,1;
2025/01/03;1900 UTC;0;959,7;960;959,6;1696,5;33,6;19,9;37,5;33,6;20,2;14,9;45;26;45;114;8;4,2;
2025/01/03;2000 UTC;0;960,2;960,5;959,7;806;31,4;21,1;33,6;31,4;21,2;19,6;54;45;54;137;8,1;4,1;
2025/01/03;2100 UTC;0;961,1;961,1;960,2;230,5;29,1;20,5;31,4;29,1;21,6;20,5;60;54;60;145;8,1;2,9;
2025/01/03;2200 UTC;0;961,6;961,6;961,1;15,7;27,7;20,4;29,1;27,7;20,4;19,7;64;58;64;144;6,2;1,8;
2025/01/03;2300 UTC;0;962,1;962,1;961,6;;26,7;19,7;27,7;26,7;20,4;19,7;66;64;65;143;5,3;2,4;
2025/01/04;0000 UTC;0;962,3;962,4;962,1;;26,2;19,4;27;26,2;19,7;19;66;62;66;236;5,9;1,7;
2025/01/04;0100 UTC;0;962,7;962,7;962,3;;25;20,2;26,2;24,8;20,2;19,4;76;66;75;236;3,8;1,6;
2025/01/04;0200 UTC;0;963,1;963,1;962,7;;23,6;20,4;25;23,5;20,4;20,2;82;75;82;236;3,5;,6;
2025/01/04;0300 UTC;0;963,1;963,1;962,8;;23,5;20,4;23,7;22,8;20,5;20,4;86;82;83;236;2;1,1;
2025/01/04;0400 UTC;0;962,6;963,1;962,6;;23,2;20,4;23,5;23,1;20,5;20,4;85;83;85;236;2,2;,1;
2025/01/04;0500 UTC;0;962,1;962,6;962,1;;22,2;20,3;23,2;22,2;20,5;20,3;89;85;89;236;1,6;,8;
2025/01/04;0600 UTC;0;961,8;962,1;961,8;;22,1;20,3;22,3;21,8;20,4;20,3;91;89;90;236;2,1;,5;
2025/01/04;0700 UTC;0;961,8;962,1;961,8;;22;20,3;22,1;20,9;20,3;19,7;94;90;90;236;2,2;1,1;
2025/01/04;0800 UTC;0;962,2;962,2;961,8;;21;19,9;22,1;21;20,3;19,6;93;89;93;236;3,3;1,9;
2025/01/04;0900 UTC;0;962,8;962,9;962,2;18;20,7;19,8;21,1;20,5;20;19,5;95;92;95;236;3,6;1;
2025/01/04;1000 UTC;0;963,4;963,4;962,8;475,3;24;20,6;24;20,7;20,8;19,9;95;81;81;236;1,6;0;
2025/01/04;1100 UTC;0;963,7;963,7;963,4;1026,7;26,8;21,9;26,8;24;21,9;20,7;82;74;75;236;2,3;1,2;
2025/01/04;1200 UTC;0;964;964,1;963,7;2204,7;30,4;22,1;30,4;26,8;22,1;20;75;55;61;113;2,8;1,2;
2025/01/04;1300 UTC;0;963,4;964;963,4;2898,3;32,2;19,3;32,4;30,4;22,3;18,3;62;43;47;97;3,8;,8;
2025/01/04;1400 UTC;0;962,8;963,4;962,8;3415,7;34,7;18,6;34,9;32,2;19,8;18;47;37;39;61;5,4;2,7;
2025/01/04;1500 UTC;0;962;962,8;962;3600,2;36,4;17,5;36,4;34,7;18,9;16,6;39;32;33;68;5,7;2,9;
2025/01/04;1600 UTC;0;961,2;962,1;961,2;3725,8;37,3;15,8;37,4;36;17,8;15,6;34;28;28;61;5,6;3,2;
2025/01/04;1700 UTC;0;960;961,2;960;3248,2;37,5;14,2;38,2;37,3;16,4;14;29;25;25;69;5,5;1,7;
2025/01/04;1800 UTC;0;959,2;960;959,2;2642,8;38;14,3;38,5;37,1;15,8;13,9;28;24;25;10;4,8;1;
2025/01/04;1900 UTC;0;959,1;959,3;959;681,4;32,3;15,6;38,3;32,3;16,2;13,9;37;24;37;112;10,6;5,3;
2025/01/04;2000 UTC;0;959,8;960;959;134,9;28,1;18,5;32,3;28,1;18,5;13,3;56;32;56;213;10,6;5,5;
