REGIAO:;NE
UF:;BA
ESTACAO:;BELMONTE
CODIGO (WMO):;A447
LATITUDE:;-16,08805555
LONGITUDE:;-39,21527777
ALTITUDE:;89,67
DATA DE FUNDACAO:;02/07/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;1003,6;1003,7;1003,2;;23,2;21,5;24,4;23,2;21,6;21,2;90;85;90;124;1;,6;
2025/01/01;0100 UTC;;1004,1;1004,1;1003,6;;22,6;21,1;23,3;22,6;21,7;21,1;92;90;92;231;1,1;,6;
2025/01/01;0200 UTC;;1003,7;1004,1;1003,7;;22,1;21;22,7;22,1;21,4;20,9;93;92;93;;1;,1;
2025/01/01;0300 UTC;;1003,1;1003,7;1003,1;;21,4;20,3;22,1;21,3;20,9;20,3;94;93;94;14;,7;,5;
2025/01/01;0400 UTC;;1002,7;1003,1;1002,5;;21,1;20,2;21,5;21;20,6;20;95;94;94;280;,9;,3;
2025/01/01;0500 UTC;;1002,4;1002,7;1002,4;;20,5;19,6;21,2;20,5;20,3;19,6;95;94;94;226;,6;,2;
2025/01/01;0600 UTC;;1002,1;1002,4;1002,1;;20,5;19,7;20,7;20,2;19,9;19,4;95;95;95;305;,6;,3;
2025/01/01;0700 UTC;;1002,3;1002,3;1002;;20;19,2;20,5;19,9;19,7;19,1;96;95;95;223;,8;,3;
2025/01/01;0800 UTC;;1002,8;1002,8;1002,3;;19,9;19,2;20,2;19,5;19,5;18,8;96;95;96;209;,9;,4;
2025/01/01;0900 UTC;;1003,4;1003,4;1002,8;82,2;20,7;20;20,8;19,9;20,1;19,2;96;96;96;73;,7;,3;
2025/01/01;1000 UTC;;1003,8;1003,8;1003,4;804,9;25,8;24,1;25,8;20,7;24,5;20;96;90;90;341;3,3;1,5;
2025/01/01;1100 UTC;;1004,2;1004,3;1003,8;1723,8;27,9;22,9;28,1;25,8;24,2;22,6;90;74;74;3;6,3;3,1;
2025/01/01;1200 UTC;;1004,4;1004,4;1004,1;1915,4;28,9;21,4;29,3;27,5;23,4;21,3;76;64;64;21;7;2,9;
2025/01/01;1300 UTC;;1004,2;1004,5;1004,2;2321;31,2;21,9;31,2;28,9;22,1;20,3;66;55;58;43;5,7;2;
2025/01/01;1400 UTC;;1003,9;1004,3;1003,9;2384,8;31,1;19,8;32,1;29,6;21,7;19,5;59;49;51;48;6,3;2,5;
2025/01/01;1500 UTC;;1003,5;1004;1003,5;3376,3;31,9;19,6;33,4;31,1;21;18,5;51;45;48;44;6,2;2,6;
