REGIAO:;NE
UF:;CE
ESTACAO:;CRATEUS
CODIGO (WMO):;A342
LATITUDE:;-5,18666666
LONGITUDE:;-40,67222221
ALTITUDE:;298,19
DATA DE FUNDACAO:;11/12/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;975,7;975,7;975,4;0;30,7;14,7;31,6;30,7;14,7;14,1;38;35;38;;;;
2025/01/01;0100 UTC;0;976;976;975,7;0;30,1;14,7;30,7;30;14,8;14,7;39;38;39;;;;
2025/01/01;0200 UTC;0;976,9;976,9;976;0;29,1;15,2;30,2;29,1;15,2;14,4;43;39;43;;;;
2025/01/01;0300 UTC;0;976,7;976,9;976,7;0;28,6;18,6;29,1;28,6;18,6;15,3;55;43;55;;;;
2025/01/01;0400 UTC;0;976,5;976,8;976,5;0;27,8;19,7;28,6;27,8;19,7;18,6;61;55;61;;;;
2025/01/01;0500 UTC;0;976,5;976,6;976,5;0;26,9;19,7;27,8;26,9;19,8;19,7;65;61;65;;;;
2025/01/01;0600 UTC;0;976,5;976,5;976,4;0;26,3;19,6;26,9;26,3;19,8;19,5;67;65;66;;;;
2025/01/01;0700 UTC;0;976,8;976,8;976,5;0;25,9;19,4;26,4;25,9;19,5;19,4;68;66;68;;;;
2025/01/01;0800 UTC;0;977,7;977,7;976,8;0;25,5;19,5;25,9;25,4;19,6;19,4;70;68;70;;;;
2025/01/01;0900 UTC;0;978,3;978,3;977,7;6,5;25;19,9;25,5;24,9;19,9;19,5;73;70;73;;;;
2025/01/01;1000 UTC;0;978,7;978,7;978,3;123,3;25,7;20,1;25,9;25;20,3;19,9;73;71;71;;;;
2025/01/01;1100 UTC;0;979,3;979,3;978,7;292,2;26,6;20,1;26,9;25,7;20,4;20;71;67;67;;;;
2025/01/01;1200 UTC;0;979,1;979,3;979,1;475,6;28,1;20,2;28,1;26,4;20,4;19,9;68;62;62;;;;
2025/01/01;1300 UTC;0;978,7;979,1;978,7;942,3;31,1;19,3;31,1;28,1;20,7;19,1;62;49;50;;;;
2025/01/01;1400 UTC;0;978,2;978,7;978,1;1111,2;31,4;18,7;32,5;30,5;19,6;18,7;50;45;47;;;;
2025/01/01;1500 UTC;0;977;978,2;977;1447,2;34,5;18,6;34,9;31;19,9;18;49;37;39;;;;
2025/01/01;1600 UTC;0;975,9;977;975,9;1479,2;35;17,6;36;33;18,7;17,5;41;35;36;;;;
2025/01/01;1700 UTC;0;974,7;975,9;974,7;1546,7;36,8;15;36,9;34,6;17,6;14,7;36;27;27;;;;
2025/01/01;1800 UTC;0;974;974,7;974;1480;36,8;15,1;37,7;36,4;15,4;14,3;28;26;28;;;;
2025/01/01;1900 UTC;0;973,4;974;973,4;716,8;36,5;14,2;36,9;35,4;15,1;14,2;29;26;27;;;;
2025/01/01;2000 UTC;0;973,6;973,6;973,3;496,8;35,6;14,3;36,6;35,4;14,8;14,1;29;27;28;;;;
2025/01/01;2100 UTC;0;974;974;973,6;82,9;34,5;14,2;35,6;34,5;14,6;14,1;30;28;30;;;;
2025/01/01;2200 UTC;0;974,5;974,5;974;0;33;14,5;34,5;33;14,5;14,1;33;30;33;;;;
2025/01/01;2300 UTC;0;975,1;975,1;974,5;0;31,9;14,6;33;31,9;14,6;14,5;35;33;35;;;;
2025/01/02;0000 UTC;0;975,9;975,9;975,1;0;30,6;14,6;31,9;30,6;14,7;14,6;38;35;38;;;;
2025/01/02;0100 UTC;0;976,3;976,3;975,9;0;30,3;15,4;30,6;30;15,4;14,6;40;38;40;;;;
2025/01/02;0200 UTC;0;977;977;976,3;0;29,6;17,2;30,3;29,6;17,2;15,3;47;40;47;;;;
2025/01/02;0300 UTC;0;976,8;977;976,7;0;28,6;18,1;29,6;28,6;18,1;17,2;53;47;53;;;;
2025/01/02;0400 UTC;0;976,7;977;976,7;0;27,9;18,6;28,6;27,9;18,6;18,1;57;53;57;;;;
2025/01/02;0500 UTC;0;976,5;976,7;976,5;0;27,3;18,9;27,9;27,3;18,9;18,6;60;57;60;;;;
2025/01/02;0600 UTC;0;976,8;976,8;976,5;0;26,7;19,1;27,3;26,7;19,1;18,8;63;60;63;;;;
2025/01/02;0700 UTC;0;976,9;976,9;976,7;0;26,1;19,2;26,7;26,1;19,3;19,1;66;63;66;;;;
2025/01/02;0800 UTC;0;977,3;977,3;976,9;0;25,7;19,4;26,2;25,7;19,4;19;68;65;68;;;;
2025/01/02;0900 UTC;0;978,1;978,1;977,3;9,9;25,3;19,1;25,7;25,2;19,5;19,1;69;68;68;;;;
2025/01/02;1000 UTC;0;978,7;978,7;978,1;202;26,8;19,9;27,1;25,3;19,9;18,9;68;65;66;;;;
2025/01/02;1100 UTC;0;979,2;979,2;978,7;284,1;27,6;20;27,6;26,7;20,2;19,8;67;63;64;;;;
2025/01/02;1200 UTC;0;979,3;979,3;979,1;209,7;27,9;20;28;27,3;20,2;19,9;65;62;62;;;;
2025/01/02;1300 UTC;0;978,7;979,3;978,7;491,2;30,9;19,8;30,9;28;20,2;19,4;62;52;52;;;;
2025/01/02;1400 UTC;0;977,9;978,7;977,9;1111,6;32,4;18,5;32,7;30,9;19,8;18,4;52;43;44;;;;
2025/01/02;1500 UTC;0;977,1;977,9;977;1337,7;34,9;17,7;35,1;32;19;17,1;46;36;36;;;;
2025/01/02;1600 UTC;0;976,1;977,1;976,1;1745,7;35,4;16,3;36,4;34,6;17,3;15,6;36;30;32;;;;
2025/01/02;1700 UTC;0;975,1;976,1;975,1;1436;37,5;15;38;35,1;16,7;14,7;33;25;26;;;;
2025/01/02;1800 UTC;0;974;975,1;974;1184,9;37;14,6;38;35,7;15,4;14;28;25;27;;;;
2025/01/02;1900 UTC;0;973,5;974,1;973,5;827,4;37,3;14;37,4;35,9;14,8;13,2;28;24;25;;;;
2025/01/02;2000 UTC;0;973,3;973,5;973,2;433,4;35,8;13,8;37,3;35,8;14,5;13,5;27;25;27;;;;
2025/01/02;2100 UTC;0;973,5;973,5;973,2;83,1;34,9;14,1;36,1;34,9;14,2;13,6;29;26;29;;;;
2025/01/02;2200 UTC;0;974,2;974,2;973,5;0;33,3;14,3;34,9;33,3;14,4;13,8;32;28;32;;;;
2025/01/02;2300 UTC;0;975,1;975,1;974,2;,4;32,8;15,7;33,3;32,8;15,7;14,3;36;32;36;;;;
2025/01/03;0000 UTC;0;975,9;975,9;975,1;0;31,7;17,4;32,8;31,7;17,4;15,8;43;36;42;;;;
2025/01/03;0100 UTC;0;976,6;976,6;975,9;0;30,3;18,1;31,7;30,3;18,1;17,4;48;42;48;;;;
2025/01/03;0200 UTC;0;976,7;976,8;976,6;0;28,9;18,9;30,3;28,9;18,9;18,1;55;48;55;;;;
2025/01/03;0300 UTC;0;976,6;976,8;976,6;0;28,1;19,8;28,9;28,1;19,9;18,9;61;55;61;;;;
2025/01/03;0400 UTC;0;976,5;976,6;976,4;0;27,4;20,1;28,1;27,4;20,1;19,8;64;61;64;;;;
2025/01/03;0500 UTC;0;976,2;976,5;976,2;0;26,9;20,3;27,5;26,9;20,3;20,1;67;64;67;;;;
2025/01/03;0600 UTC;0;976,4;976,5;976,1;0;26,2;20,5;26,9;26,2;20,5;20,3;71;67;71;;;;
2025/01/03;0700 UTC;0;976,4;976,5;976,4;0;25,7;20,6;26,2;25,7;20,6;20,5;73;71;73;;;;
2025/01/03;0800 UTC;0;976,7;976,7;976,4;0;25,3;20,6;25,7;25,3;20,6;20,5;75;73;75;;;;
2025/01/03;0900 UTC;0;977,6;977,6;976,7;7,5;25,1;20,7;25,3;25,1;20,7;20,6;77;75;76;;;;
2025/01/03;1000 UTC;0;978,1;978,1;977,6;175,7;25,8;21,1;25,9;25,1;21,2;20,7;77;75;75;;;;
2025/01/03;1100 UTC;0;978,6;978,6;978,1;678,5;28,4;20,9;28,7;25,8;21,4;20,7;75;63;64;;;;
2025/01/03;1200 UTC;0;978,7;978,7;978,6;705,5;30,1;20,7;30,1;27,7;20,9;20,4;66;57;57;;;;
2025/01/03;1300 UTC;0;978,6;978,8;978,5;1109,1;30,7;20,2;31,4;29,9;21,1;20;58;53;54;;;;
2025/01/03;1400 UTC;0;978,1;978,6;978,1;1426,9;33,6;19,7;33,6;30,7;20,5;19,4;54;43;44;;;;
2025/01/03;1500 UTC;0;977,5;978,2;977,5;1329,9;33,7;19,1;34,3;32,8;19,9;18,8;45;41;42;;;;
