REGIAO:;NE
UF:;MA
ESTACAO:;CHAPADINHA
CODIGO (WMO):;A206
LATITUDE:;-3,74277777
LONGITUDE:;-43,35222222
ALTITUDE:;104
DATA DE FUNDACAO:;17/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;997,9;997,9;996,9;;26,9;22,4;27;26,8;22,4;22,2;76;75;76;342;4,7;2,1;
2025/01/01;0100 UTC;0;998,1;998,1;997,9;;26,4;22,7;26,9;26,4;22,7;22,4;80;76;80;353;3,8;1,6;
2025/01/01;0200 UTC;0;998,2;998,3;998,1;;26;22,9;26,4;26;22,9;22,7;83;80;83;345;3,6;1,8;
2025/01/01;0300 UTC;0;998,1;998,4;998,1;;25,7;23,1;26;25,7;23,2;22,9;85;83;85;354;3,8;1,4;
2025/01/01;0400 UTC;0;998;998,2;998;;26;23,5;26;25,6;23,5;23,1;87;85;86;327;3,8;2,1;
2025/01/01;0500 UTC;0;997,7;998;997,6;;25,7;23,4;26,1;25,7;23,5;23,4;88;86;88;329;4;1,6;
2025/01/01;0600 UTC;0;997,5;997,7;997,5;;25,4;23,3;25,7;25,4;23,5;23,3;88;88;88;341;3;1,6;
2025/01/01;0700 UTC;0;997,5;997,6;997,5;;25,3;23,3;25,5;25,3;23,4;23,3;89;88;89;343;2,9;1,6;
2025/01/01;0800 UTC;0;997,4;997,5;997,2;;24,8;23,1;25,3;24,8;23,3;23,1;90;89;90;3;3,5;1,5;
2025/01/01;0900 UTC;0;997,8;997,8;997,4;2,3;25;23,1;25;24,8;23,2;23;90;90;90;30;5,3;2;
2025/01/01;1000 UTC;0;998,6;998,6;997,8;291,7;26,7;22,3;26,7;24,9;23,2;22,3;90;77;77;49;8,7;4;
2025/01/01;1100 UTC;0;999,1;999,1;998,6;1158,3;28,5;22;28,6;26,7;22,5;21,9;77;68;68;60;9,6;4,6;
2025/01/01;1200 UTC;0;999,4;999,4;999,1;2037,7;30,8;21,6;31,1;28,5;22,4;21,6;68;58;58;71;8,5;2,9;
2025/01/01;1300 UTC;0;999,4;999,6;999,4;2375,9;31,9;21;32,4;30,4;22,1;20,5;59;51;53;102;7,2;3,7;
2025/01/01;1400 UTC;0;998,9;999,4;998,9;3125,7;33,8;20,5;33,9;31,7;21,6;20,3;53;45;46;94;7,8;2,7;
2025/01/01;1500 UTC;0;998,1;998,9;998,1;3049,7;34,5;19,4;35,2;32,8;20,6;18,5;47;39;41;103;8;2,9;
2025/01/01;1600 UTC;0;997,3;998,1;997,3;2241,3;35;20;35,4;33,5;20,3;18,9;43;39;42;93;7,1;2,9;
2025/01/01;1700 UTC;0;996,3;997,3;996,3;3091,3;36;19,7;36,7;34,2;20,1;18,1;42;36;38;95;5,9;2,7;
2025/01/01;1800 UTC;0;995,1;996,4;995,1;1765,3;36;19,5;36,2;34,3;20,4;18,5;41;37;38;52;6,2;1,4;
2025/01/01;1900 UTC;0;994,4;995,1;994,4;1326,8;36,3;18,4;36,4;35,1;19,7;17,8;40;35;35;48;3,9;1,6;
2025/01/01;2000 UTC;0;994,6;994,7;994,4;1123,2;34,8;19,8;36,4;34,7;19,9;18,6;42;35;42;335;4,6;1,8;
2025/01/01;2100 UTC;0;995,1;995,2;994,6;239,3;31,8;21,2;34,8;31,8;21,2;19,3;54;41;54;358;7,4;3,3;
2025/01/01;2200 UTC;0;996;996,1;995,1;,6;30;22,2;31,8;30;22,2;21,3;63;54;63;11;7,4;2,1;
2025/01/01;2300 UTC;0;996,7;996,7;996;;29,2;22,1;30;29,2;22,2;22;66;63;66;15;8,4;2,5;
2025/01/02;0000 UTC;0;997,8;997,8;996,7;;28,4;22,4;29,2;28,4;22,4;22,1;70;66;70;17;8,4;2,1;
2025/01/02;0100 UTC;0;998,1;998,1;997,8;;27,7;22,8;28,4;27,7;22,8;22,4;75;70;75;29;7,3;2,4;
2025/01/02;0200 UTC;0;998,3;998,5;998,1;;27,1;23,1;27,7;27,1;23,1;22,8;79;75;79;17;5,5;1,9;
2025/01/02;0300 UTC;0;997,9;998,3;997,9;;26,9;23,3;27,1;26,9;23,3;23,1;81;79;81;32;5,3;1,7;
2025/01/02;0400 UTC;0;997,8;997,9;997,7;;26,8;23,4;26,9;26,8;23,4;23,3;82;81;82;29;6,1;1,8;
2025/01/02;0500 UTC;0;997,5;997,8;997,5;;26,4;23,4;26,8;26,4;23,4;23,4;84;82;84;24;5,8;1,2;
2025/01/02;0600 UTC;0;997,3;997,5;997,2;;25,9;23,4;26,4;25,9;23,4;23,3;86;84;86;25;4,1;1,4;
2025/01/02;0700 UTC;0;997,1;997,3;997;;25,5;23,3;25,9;25,5;23,4;23,3;88;86;88;11;3,7;1,5;
2025/01/02;0800 UTC;0;997,4;997,4;997,1;;25,2;23,3;25,5;25,2;23,4;23,3;89;88;89;9;3,3;,9;
2025/01/02;0900 UTC;0;998,2;998,2;997,4;3,4;25;23,3;25,2;25;23,3;23,2;90;89;90;25;2,3;,8;
2025/01/02;1000 UTC;0;998,8;998,8;998,2;296,7;26,4;24,1;26,4;25;24,1;23,3;90;87;87;33;3,3;1,4;
2025/01/02;1100 UTC;0;999,4;999,4;998,8;1100,2;28,7;23,3;28,7;26,4;24;23,2;87;73;73;53;6,8;3,3;
2025/01/02;1200 UTC;0;999,7;999,7;999,4;1970,4;30,5;22,2;30,5;28,7;23,4;22,1;73;61;61;77;8,8;5,4;
2025/01/02;1300 UTC;0;999,4;999,7;999,4;2439,5;31,8;22;32;30,5;22,6;21,6;61;55;56;64;9,9;4,4;
2025/01/02;1400 UTC;0;999;999,5;999;2826,5;33,5;21,4;33,5;31,6;22,3;21,3;56;49;49;65;8,6;3,6;
2025/01/02;1500 UTC;0;998,3;999;998,2;2445,9;34;20,4;34,8;32,9;21,8;20,3;51;44;45;72;7,5;3,7;
2025/01/02;1600 UTC;0;997,4;998,3;997,4;3081,9;35,6;20,1;36,3;34;21,2;19,5;45;39;41;55;7;3;
2025/01/02;1700 UTC;0;996,2;997,4;996,2;2468,3;36,1;19,1;36,3;34,8;20,3;18,8;42;37;37;118;6,9;2,3;
2025/01/02;1800 UTC;0;995,1;996,2;995,1;2501,1;36,7;18,6;37,2;35,7;19,5;18;37;34;35;93;6,9;1,8;
2025/01/02;1900 UTC;0;994,5;995,1;994,5;1509,9;36,7;17,8;37,2;35,7;19,4;17,6;37;32;33;104;5,5;2,2;
2025/01/02;2000 UTC;0;994,1;994,5;994,1;1075,3;36,4;18;37,2;36,4;18,4;17,7;34;32;34;75;4,6;2,5;
2025/01/02;2100 UTC;0;995,1;995,1;994,1;274,9;31,7;22,1;36,4;31,7;22,3;17,9;57;34;57;5;8,4;2,6;
2025/01/02;2200 UTC;0;995,7;995,7;995,1;;30,5;22,3;31,7;30,5;22,6;22,1;62;57;62;10;6,9;2,5;
2025/01/02;2300 UTC;0;996,6;996,6;995,7;;29,3;22,6;30,5;29,3;22,6;22,2;67;62;67;9;7,9;1,6;
2025/01/03;0000 UTC;0;997,2;997,3;996,6;;28,5;22,8;29,3;28,5;22,8;22,6;71;67;71;19;8;2,3;
2025/01/03;0100 UTC;0;998;998;997,2;;27,7;23,3;28,5;27,7;23,3;22,8;77;71;77;26;7,8;2,3;
2025/01/03;0200 UTC;0;997,9;998,1;997,9;;27,1;23,5;27,7;27,1;23,5;23,3;81;77;81;23;6,3;2;
2025/01/03;0300 UTC;0;997,8;998;997,7;;26,7;23,6;27,1;26,7;23,6;23,5;83;81;83;26;5;1,4;
2025/01/03;0400 UTC;0;997,7;997,8;997,7;;26,5;23,7;26,8;26,5;23,7;23,6;85;83;85;348;3,5;1,6;
2025/01/03;0500 UTC;0;997,1;997,7;997;;26,2;23,8;26,5;26,2;23,8;23,7;87;85;87;350;3,5;1,4;
2025/01/03;0600 UTC;0;996,9;997,2;996,9;;26,1;23,9;26,2;26;23,9;23,7;88;87;88;2;3,2;1;
2025/01/03;0700 UTC;0;997,1;997,1;996,9;;25,8;23,8;26,1;25,8;23,9;23,7;89;88;89;345;2,7;1,2;
2025/01/03;0800 UTC;0;997,1;997,1;997;;26;23,9;26;25,8;23,9;23,8;89;88;88;350;2,7;,7;
2025/01/03;0900 UTC;0;997,6;997,6;997,1;2,1;25,7;23,8;26;25,7;23,9;23,8;89;88;89;338;2,3;1,2;
2025/01/03;1000 UTC;0;998,3;998,3;997,6;297,5;27,2;24,5;27,3;25,7;24,7;23,8;89;85;85;27;2,2;1;
2025/01/03;1100 UTC;0;999,1;999,1;998,3;1008,3;29,1;23,9;29,2;27;24,6;23,9;85;74;74;62;5,9;2,7;
2025/01/03;1200 UTC;0;999,5;999,5;999,1;1347,2;29,1;23;29,4;28,5;23,8;22,8;74;69;70;53;8,5;3,6;
2025/01/03;1300 UTC;0;999,7;999,7;999,5;2401,4;32,4;22,6;32,4;29,1;23,4;22,4;70;56;57;39;7,4;2,8;
2025/01/03;1400 UTC;0;999,3;999,8;999,3;2345,7;32,7;21,5;33,5;32,3;22,8;21,3;57;51;52;64;7,1;3,6;
2025/01/03;1500 UTC;0;998,8;999,4;998,8;2646,9;33,8;20,6;34,6;32,8;21,8;20,4;52;45;46;78;8,8;3,1;
2025/01/03;1600 UTC;0;997,7;998,8;997,7;2531,2;34,1;20,2;35,6;33,7;21,3;19,7;47;41;44;66;6,5;2,7;
2025/01/03;1700 UTC;0;996,5;997,7;996,5;2193,3;35,5;19,9;35,9;34,1;21,6;19,5;45;40;40;118;6,1;1,5;
2025/01/03;1800 UTC;0;995;996,5;995;2615,3;35,8;18,4;36,7;35,4;20,1;18,4;40;35;36;116;4,5;2;
2025/01/03;1900 UTC;0;994,7;995,1;994,6;1770,8;36,3;18,6;37;35,5;19,4;18,1;38;34;36;320;4,6;1,2;
2025/01/03;2000 UTC;3,6;996,2;996,2;994,7;593,3;28,6;22,4;36,4;28,6;23,3;18,2;69;35;69;62;13,8;3,9;
2025/01/03;2100 UTC;13,8;995,8;997,9;995,6;32,4;23,4;21;28,6;23,2;23;20,3;88;69;86;3;13,8;1,1;
2025/01/03;2200 UTC;,2;997,3;997,3;995,3;;24,5;22,6;24,6;23,4;22,8;21;90;86;89;329;5,4;1,1;
2025/01/03;2300 UTC;0;998,5;998,5;997,3;2;25,5;22,6;25,5;24,5;23,1;22,4;89;84;84;302;2,8;,8;
2025/01/04;0000 UTC;0;999,3;999,3;998,5;1,2;25,7;22,8;25,9;25,5;22,9;22,6;84;83;84;22;2,1;,7;
2025/01/04;0100 UTC;0;999;999,3;999;;25,6;23,1;25,8;25,6;23,2;22,8;86;84;86;34;3,1;1;
2025/01/04;0200 UTC;0;998,6;999;998,5;;25,3;23,3;25,6;25,3;23,3;23;89;86;89;359;2,8;1,1;
2025/01/04;0300 UTC;0;998,3;998,6;998,2;;25,1;23,3;25,3;25,1;23,4;23,2;90;88;90;19;3;,7;
2025/01/04;0400 UTC;0;998,5;998,6;998,2;;25,3;23,5;25,3;25;23,6;23,2;90;90;90;313;2;,9;
2025/01/04;0500 UTC;0;997,9;998,5;997,9;;25,1;23,5;25,3;25,1;23,6;23,4;91;90;91;66;2,1;,7;
2025/01/04;0600 UTC;0;997,7;997,9;997,7;;25,2;23,7;25,3;25,1;23,8;23,5;91;91;91;322;1,7;1,1;
2025/01/04;0700 UTC;0;997,7;997,7;997,5;;25,1;23,6;25,3;25,1;23,8;23,6;92;91;91;346;1,9;,9;
2025/01/04;0800 UTC;0;997,8;997,9;997,7;;25,2;23,7;25,2;25;23,8;23,6;92;91;92;352;2;1;
2025/01/04;0900 UTC;0;998,4;998,4;997,7;1,5;25,1;23,8;25,2;25;23,8;23,6;92;92;92;32;2;,6;
2025/01/04;1000 UTC;0;998,9;998,9;998,4;301,6;26,3;24,6;26,3;25,1;24,8;23,8;93;91;91;43;3;1,4;
2025/01/04;1100 UTC;0;999,5;999,5;998,9;1081;28;24,5;28,1;26,3;25;24,4;91;81;82;56;6,8;3,2;
2025/01/04;1200 UTC;0;999,9;999,9;999,5;1923,8;29,6;23,7;29,7;28;24,6;23,1;82;69;71;70;9,2;4,3;
2025/01/04;1300 UTC;0;999,5;999,9;999,4;2305,8;30,7;22,2;31,2;29,5;23,7;22,2;71;60;61;67;9,6;4,7;
2025/01/04;1400 UTC;0;999,1;999,5;999,1;1934,3;31,7;22,7;31,8;30,7;23;22,3;62;57;59;64;9;3,8;
2025/01/04;1500 UTC;0;998,3;999,1;998,3;2740,1;33,6;22,1;33,6;31,7;23,1;21,6;59;50;51;94;7,6;3,4;
2025/01/04;1600 UTC;0;997,2;998,3;997,2;2830,2;35,1;21,7;35,1;32,9;22,8;21,1;53;46;46;73;7,2;3,5;
2025/01/04;1700 UTC;0;995,9;997,2;995,9;2425,5;35,1;21,2;35,3;33,7;22,4;20,9;49;44;45;90;7,2;3,4;
2025/01/04;1800 UTC;0;995,1;995,9;995,1;2275,1;35,9;19,9;36,4;34,3;21,8;19,9;47;39;39;61;7,5;3,5;
2025/01/04;1900 UTC;0;994,5;995,1;994,5;1581,3;34;22,8;35,9;34;23,1;19,6;52;38;52;353;8;3,7;
2025/01/04;2000 UTC;0;994,6;994,7;994,4;905,7;31,5;23,4;34,2;31,3;23,4;21,5;62;52;62;14;8;3,4;
2025/01/04;2100 UTC;0;995,6;996,2;994,5;144,7;27,5;20,1;31,5;27,5;23,4;20,1;72;62;64;34;11,2;2,6;
2025/01/04;2200 UTC;0;995,7;995,8;995,4;;26,4;20,1;27,5;26,4;20,6;19,8;69;64;68;15;6,8;2;
2025/01/04;2300 UTC;0;997,2;997,3;995,7;;26,2;21,7;26,4;26,1;21,7;20,1;76;68;76;9;6,3;1,5;
2025/01/05;0000 UTC;0;997,7;997,7;997;;26,2;22,6;26,3;26,1;22,6;21,8;81;76;81;29;4,6;1,4;
2025/01/05;0100 UTC;0;997,9;997,9;997,7;;26,2;23;26,2;26,1;23;22,5;83;80;83;29;4,6;1,6;
2025/01/05;0200 UTC;0;998,1;998,1;997,8;;26,3;23,4;26,3;26,2;23,4;23,1;84;83;84;19;3,9;1,2;
2025/01/05;0300 UTC;0;998,3;998,3;998,1;;26,5;23,5;26,5;26,3;23,6;23,4;85;84;84;47;4,2;2,1;
2025/01/05;0400 UTC;0;997,7;998,3;997,7;;26,5;23,3;26,6;26,5;23,5;23,3;84;82;83;53;4,9;1,8;
2025/01/05;0500 UTC;0;997,4;997,8;997,4;;26,4;23,3;26,6;26,4;23,4;23,3;84;83;84;47;4,4;1,7;
2025/01/05;0600 UTC;0;997,3;997,4;997,1;;26;23,4;26,4;26;23,4;23,3;86;84;86;57;3,8;1,2;
2025/01/05;0700 UTC;0;997,4;997,4;997,3;;25,8;23,2;26;25,8;23,5;23,2;86;86;86;48;3,6;1,4;
2025/01/05;0800 UTC;0;997,5;997,5;997,4;;25,4;23,1;25,8;25,4;23,2;23,1;87;86;87;48;2,8;1,6;
2025/01/05;0900 UTC;0;997,6;997,7;997,4;,8;25,1;23,1;25,4;25,1;23,1;23;88;87;88;55;3,6;1,8;
2025/01/05;1000 UTC;0;998;998;997,6;287,7;26,1;23,5;26,1;25,1;23,5;23,1;89;86;86;47;3,8;1,8;
2025/01/05;1100 UTC;0;998,3;998,4;997,9;1058,6;28,1;22,9;28,1;26,1;23,8;22,8;86;73;73;61;8,9;3,9;
2025/01/05;1200 UTC;0;998,6;998,7;998,3;1947,1;30;22,3;30,2;28,1;23,2;22;73;63;63;68;8,6;4,5;
2025/01/05;1300 UTC;0;998,5;998,6;998,4;2587,9;31;21,7;31,8;30;22,5;21,6;63;56;58;69;9,6;4,9;
2025/01/05;1400 UTC;0;998,1;998,5;998,1;2113,9;31,8;21,7;32,4;30,9;22,8;21,5;59;53;55;53;8,3;3,8;
2025/01/05;1500 UTC;0;997,5;998,1;997,5;3179,7;34,1;21,3;34,7;31,8;22,3;21;55;47;47;39;7,8;2,8;
2025/01/05;1600 UTC;0;996,7;997,5;996,7;2561,7;34,8;21;35;33,4;22;20,6;50;44;45;72;7,1;3,4;
2025/01/05;1700 UTC;0;995,8;996,7;995,7;3087,5;35,4;20,3;36,1;34,7;21,4;20;45;41;42;52;7,1;2;
2025/01/05;1800 UTC;0;994,7;995,8;994,7;2412,4;35,8;19,7;36,3;35,3;21,2;19,7;42;39;39;60;6,3;2,6;
2025/01/05;1900 UTC;0;994,1;994,7;994,1;1706,8;36;18,5;36,3;35,3;19,9;18,2;40;35;36;69;5,9;2,8;
2025/01/05;2000 UTC;1,4;994,7;994,7;994,1;544,3;30,6;22,5;36;30,6;22,8;18,3;62;35;62;360;8,6;3,1;
2025/01/05;2100 UTC;13,4;995,9;997,4;994,6;31,9;25,3;21,8;30,5;22,3;24;19,7;90;62;81;316;12,8;2,5;
2025/01/05;2200 UTC;,2;996,4;996,4;995,9;;25,1;22,9;25,3;24,5;22,9;21,1;88;79;87;357;4,5;1,3;
2025/01/05;2300 UTC;0;997,3;997,3;996,4;1;27,2;23,6;27,2;25,1;24;22,9;88;81;81;358;3,7;1,6;
2025/01/06;0000 UTC;0;998;998;997,2;;27;23,4;27,2;27;23,6;23,3;81;80;81;5;5,7;1,7;
2025/01/06;0100 UTC;0;998,2;998,3;998;;26,5;23,5;27;26,5;23,5;23,4;83;81;83;7;4,7;1,6;
2025/01/06;0200 UTC;0;998,5;998,7;998,2;;26,2;23,6;26,5;26,2;23,7;23,5;86;83;86;11;4;1;
2025/01/06;0300 UTC;0;998,7;999;998,5;;26;23,8;26,4;26;23,9;23,6;88;86;88;168;2,7;1,4;
2025/01/06;0400 UTC;0;997,6;998,7;997,5;;26,3;24,1;26,3;26;24,1;23,8;89;88;88;275;2,2;,6;
2025/01/06;0500 UTC;0;997,3;997,6;997,3;;26,3;24;26,4;26,2;24,1;23,9;88;87;87;306;2,2;,9;
2025/01/06;0600 UTC;0;997;997,3;997;;26;23,9;26,3;26;24,1;23,9;89;87;88;297;2,3;,9;
2025/01/06;0700 UTC;0;996,9;997,1;996,8;;25,8;23,9;26;25,7;24;23,8;89;88;89;323;2,1;,7;
2025/01/06;0800 UTC;0;997,1;997,1;996,7;;25,6;23,9;25,8;25,6;23,9;23,8;90;89;90;317;2;,9;
2025/01/06;0900 UTC;0;998;998;997,1;,9;25,6;23,9;25,7;25,5;24;23,8;90;90;90;298;1,9;,9;
2025/01/06;1000 UTC;0;999;999;998;153,7;26,1;24,4;26,1;25,5;24,4;23,8;91;90;90;32;1,5;,5;
2025/01/06;1100 UTC;0;999,5;999,5;998,9;772,6;27,8;23,9;27,8;26,1;24,6;23,8;90;79;80;46;5,6;2,3;
2025/01/06;1200 UTC;0;999,8;999,8;999,4;1413,3;29,5;22,7;29,6;27,7;23,9;22,5;80;66;67;72;6,8;3,2;
2025/01/06;1300 UTC;0;999,7;999,9;999,7;2459,2;30,7;21,9;31;29,4;22,8;21,6;67;58;59;49;8,6;4;
2025/01/06;1400 UTC;0;999,5;999,9;999,5;2057,5;31,6;21,7;31,9;30,7;22,6;21,3;61;54;56;59;8,4;2,4;
2025/01/06;1500 UTC;0;998,8;999,5;998,8;2459,1;33,1;21,4;33,3;31,4;22;20,7;57;49;50;85;5,8;1,9;
2025/01/06;1600 UTC;0;997,8;998,8;997,8;2782,5;33,7;21;33,9;33;21,6;20,2;51;46;48;58;6,4;2,6;
2025/01/06;1700 UTC;0;996,5;997,8;996,5;2732,2;34,1;20,7;34,4;33,3;21,8;20,2;49;44;46;114;5,2;1,8;
2025/01/06;1800 UTC;0;995,3;996,5;995,3;1960,7;34,4;20,7;34,8;33,5;21,5;20,2;48;44;45;57;4,8;1,6;
2025/01/06;1900 UTC;0;995,1;995,3;995,1;1314,7;33,9;20,3;34,5;33,4;21,4;20,1;48;44;45;100;4;1,2;
2025/01/06;2000 UTC;0;995,2;995,2;995;869,4;33,7;20,1;34,9;33,5;21;19,6;48;43;45;84;2,8;1;
2025/01/06;2100 UTC;0;995,7;995,7;995,2;212,2;31,9;21,9;33,7;31,9;22;19,9;56;45;56;338;5,9;2,2;
2025/01/06;2200 UTC;0;997,2;997,2;995,7;;30;23;31,9;30;23;21,9;66;56;66;331;6,2;3,1;
2025/01/06;2300 UTC;0;999;999;997;;26,7;22,2;30;26,7;23,2;21,7;77;66;77;317;9,9;2,1;
2025/01/07;0000 UTC;,2;999,5;999,5;998,7;;25,4;21,5;26,7;25,3;22,4;21,5;80;77;79;356;4,8;1,5;
2025/01/07;0100 UTC;0;1000;1000,1;999,4;;25,5;21,4;25,5;25,2;21,4;21,2;79;78;78;56;3,9;1;
2025/01/07;0200 UTC;0;1000;1000,1;1000;;25,1;21,8;25,5;24,8;21,8;21,2;83;77;82;176;2,2;,8;
2025/01/07;0300 UTC;0;999,2;1000,1;999,2;;25,1;22;25,1;25;22,1;21,8;83;82;83;231;1,4;,7;
2025/01/07;0400 UTC;0;998,5;999,2;998,5;;25,4;22,3;25,7;25,1;22,4;22,1;84;82;83;219;1,9;,9;
2025/01/07;0500 UTC;0;998,3;998,6;998,3;;25,3;22,7;25,4;25,2;22,7;22,2;86;83;86;266;2;,7;
2025/01/07;0600 UTC;0;997,7;998,3;997,6;;25,1;23,1;25,4;25,1;23,2;22,7;88;86;88;269;2,5;,9;
2025/01/07;0700 UTC;0;997,7;997,8;997,6;;24,9;23,1;25,2;24,9;23,3;23;90;88;90;184;2;,7;
2025/01/07;0800 UTC;0;997,9;997,9;997,5;;24,7;23,2;24,9;24,6;23,3;23;91;90;91;218;1,7;,7;
2025/01/07;0900 UTC;0;998,7;998,7;997,9;,1;25;23,3;25;24,7;23,4;23,1;91;91;91;280;2,2;1,3;
2025/01/07;1000 UTC;0;999,4;999,4;998,7;85,6;25,1;23,5;25,1;24,9;23,6;23,2;91;91;91;218;2,2;1;
2025/01/07;1100 UTC;0;1000;1000;999,4;458,9;25,9;24,1;25,9;24,9;24,2;23,3;92;90;90;237;2,5;1,4;
2025/01/07;1200 UTC;0;1000,4;1000,4;1000;956,2;27,4;24,4;27,5;25,9;24,8;24;90;83;84;360;2,7;1;
2025/01/07;1300 UTC;,2;1000,4;1000,6;1000,3;1679,3;29,5;24,2;29,5;27,1;25,6;23,8;85;73;73;50;4,3;2,1;
2025/01/07;1400 UTC;0;999,9;1000,4;999,9;2878,8;30,1;23,1;31,4;29,5;24,6;23,1;73;63;67;76;5,2;2,5;
2025/01/07;1500 UTC;0;999;999,9;999;2886;32,8;23,1;33;30,1;24,3;22,8;67;56;57;38;5,5;1,8;
2025/01/07;1600 UTC;0;998;999;998;2869,9;33,2;23;34,1;32;23,5;22;58;51;55;9;6,5;2,6;
2025/01/07;1700 UTC;0;996,5;998;996,5;2804,8;34,7;21,2;35,1;33,1;23,1;20,6;56;44;46;27;5,5;1,9;
2025/01/07;1800 UTC;0;996,1;996,5;996;1603,6;32,7;23,2;35,1;32;23,5;20,3;60;44;57;353;9,5;3,6;
2025/01/07;1900 UTC;0;995,8;996,1;995,6;1664;32,4;22,3;33,4;31,6;23,6;21,7;60;52;55;359;9,5;3;
