REGIAO:;NE
UF:;PE
ESTACAO:;GARANHUNS
CODIGO (WMO):;A322
LATITUDE:;-8,91083333
LONGITUDE:;-36,49333333
ALTITUDE:;827,78
DATA DE FUNDACAO:;08/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;922,4;922,4;921,8;;22,1;19,6;22,9;22,1;20,1;19,6;86;84;86;97;7,6;3,9;
2025/01/01;0100 UTC;;922,6;922,7;922,4;;21,4;19,5;22,1;21,3;19,6;19,4;89;86;89;91;7,8;3,3;
2025/01/01;0200 UTC;;922,5;922,6;922,4;;21,4;18,9;21,5;21,3;19,6;18,9;89;86;86;84;7,6;4,1;
2025/01/01;0300 UTC;;922;922,5;922;;21,2;19;21,6;21,2;19;18,9;87;85;87;76;7,7;4,4;
2025/01/01;0400 UTC;;921,3;922;921,3;;21;19;21,2;21;19;18,9;88;87;88;85;7,7;2,7;
2025/01/01;0500 UTC;;921,2;921,3;921,1;;20,7;18,6;21,1;20,7;19;18,6;88;87;87;94;5,6;2,8;
2025/01/01;0600 UTC;;921,1;921,2;921;;20,4;18,5;20,8;20,4;18,7;18,5;89;87;89;79;6,5;4,1;
2025/01/01;0700 UTC;;921,2;921,2;921,1;;20;18,4;20,5;20;18,7;18,4;90;89;90;71;7,4;3;
2025/01/01;0800 UTC;;921,4;921,4;921,1;;19,7;18,5;20,1;19,7;18,8;18,5;93;90;93;78;6,9;4,1;
2025/01/01;0900 UTC;;921,8;921,8;921,4;102,5;20,1;19,3;20,1;19,7;19,3;18,6;96;93;95;80;6,5;3,3;
2025/01/01;1000 UTC;;922,4;922,4;921,8;390;21,2;18,6;21,2;20,1;19,3;18,6;95;85;85;81;7,7;4,7;
2025/01/01;1100 UTC;;922,7;922,7;922,3;1676,3;24,7;18;24,8;21,1;19;17,9;85;66;66;87;8,4;3,9;
2025/01/01;1200 UTC;;922,9;922,9;922,6;2226;26,1;16,9;26,4;23,7;18,4;16,9;69;57;57;80;9,6;5,7;
2025/01/01;1300 UTC;;922,6;922,9;922,6;2726,9;27,2;15,8;28,1;25,3;17,8;15,6;60;48;50;83;9,2;5,6;
2025/01/01;1400 UTC;;922,1;922,6;922,1;2606,7;28,9;16,4;29,1;26,4;16,9;15,5;54;46;47;76;9,2;3,8;
2025/01/01;1500 UTC;;921,4;922,2;921,4;3743,9;29,4;15,2;30,4;28,5;16,6;15;47;41;42;95;9,3;3,4;
2025/01/01;1600 UTC;;920,6;921,4;920,6;3334,7;30,4;15,7;31,3;29,5;16,1;14,5;43;38;41;83;9;3,6;
2025/01/01;1700 UTC;;919,9;920,7;919,8;2995,6;30,8;14,6;31,8;29,6;16,1;14,2;41;36;37;77;8,3;4,4;
2025/01/01;1800 UTC;;919,5;919,9;919,4;2287,3;30,1;15,1;31,6;29,6;15,9;14,3;41;36;40;107;9,1;3,5;
2025/01/01;1900 UTC;;919,2;919,5;919,2;1582,2;29,5;15,2;31,2;29,3;16,3;15;43;39;42;100;9,1;3,3;
2025/01/01;2000 UTC;;919,6;919,6;919,2;821,6;28,2;17,2;29,7;27,9;17,5;15,5;53;42;51;117;8,3;2,6;
2025/01/01;2100 UTC;;920,2;920,2;919,6;143,7;25,2;18,4;28,2;25,2;18,4;16,9;66;51;66;108;7,6;3,1;
2025/01/01;2200 UTC;;920,7;920,7;920,2;;23,3;18,9;25,2;23,3;18,9;18,4;76;66;76;109;7,5;2,8;
2025/01/01;2300 UTC;;921,4;921,4;920,7;;22,3;19,5;23,3;22,3;19,6;18,9;85;76;84;111;6,7;2,1;
2025/01/02;0000 UTC;;922,2;922,2;921,4;;21,9;19,2;22,5;21,9;19,7;19,1;85;83;84;93;6,6;3,8;
2025/01/02;0100 UTC;;922,4;922,5;922,2;;21,2;19;21,9;21,1;19,2;18,9;88;84;87;95;7,3;3,2;
2025/01/02;0200 UTC;;922,3;922,5;922,2;;20,8;18,6;21,2;20,8;19;18,5;87;86;87;76;7,4;3,6;
2025/01/02;0300 UTC;;921,9;922,3;921,9;;21;18,6;21,1;20,7;18,6;18,4;87;86;87;87;6,3;2,5;
2025/01/02;0400 UTC;;921,5;921,9;921,5;;20,9;18,4;21,1;20,9;18,6;18,2;87;84;86;83;5,2;2,4;
2025/01/02;0500 UTC;;921,2;921,5;921,2;;20,6;18,4;21;20,6;18,6;18,3;88;86;87;90;4,7;2,9;
2025/01/02;0600 UTC;;921,1;921,2;921,1;;20,3;18,1;20,6;20,3;18,4;18,1;88;87;87;89;4,9;2,4;
2025/01/02;0700 UTC;;921,1;921,2;921,1;;20,2;18,2;20,4;20,2;18,2;18;88;87;88;80;5;2,7;
2025/01/02;0800 UTC;;921,6;921,7;921,1;;19,8;17,9;20,2;19,5;18,2;17,6;90;88;89;60;4,7;2,3;
2025/01/02;0900 UTC;;922,4;922,4;921,6;94,8;19,9;18,4;20;19,7;18,4;17,9;91;89;91;77;4,8;2,4;
2025/01/02;1000 UTC;;922,9;922,9;922,4;672,5;21,8;18,6;21,8;19,9;19,1;18,1;91;82;82;98;5;2,6;
2025/01/02;1100 UTC;;923;923,1;922,9;1385;23,6;17,9;24,1;21,8;18,8;17,5;82;69;70;75;6,4;3,4;
2025/01/02;1200 UTC;;923,3;923,4;923;1606;26,1;17,3;26,1;23,6;18,5;17;71;58;58;82;6,8;3,8;
2025/01/02;1300 UTC;;923,1;923,3;923,1;2554,8;26,4;15,5;27,8;25,2;17,4;15,5;60;50;51;100;8,7;3,4;
2025/01/02;1400 UTC;;922,6;923,2;922,6;2449,4;29,4;16,4;29,4;25,9;16,9;15,5;55;44;46;115;7,3;3,4;
2025/01/02;1500 UTC;;921,9;922,6;921,9;2502,2;28,1;14,7;30,1;27,5;16,5;14,5;47;42;44;90;8,1;3,2;
2025/01/02;1600 UTC;;921,2;921,9;921,2;2564,6;29,3;15,8;30,6;27,6;16,6;14,8;48;41;44;96;7,6;3,4;
2025/01/02;1700 UTC;;920,3;921,2;920,3;2549,1;30,3;14,5;31;28,5;15,9;13,4;44;37;38;128;9,5;3;
2025/01/02;1800 UTC;;920;920,4;920;2094,9;30,2;14,3;31,4;28,9;15,3;13,7;42;35;38;109;7,5;3,1;
2025/01/02;1900 UTC;;920;920;919,8;1349,5;28,5;16,2;30,6;28,5;16,2;14,1;47;38;47;107;7,8;3,1;
2025/01/02;2000 UTC;;920,4;920,4;920;760,5;27,3;17,9;28,6;27,3;17,9;15,9;56;47;56;117;6,2;2,6;
2025/01/02;2100 UTC;;920,5;920,6;920,4;216,4;24,9;18,5;27,3;24,9;18,5;17,8;67;56;67;107;5,9;2,9;
2025/01/02;2200 UTC;;920,9;920,9;920,5;;23,2;19;24,9;23,2;19;18,5;77;67;77;117;5,7;2,1;
2025/01/02;2300 UTC;;921,7;921,7;920,9;;22,4;19,6;23,2;22,4;19,6;19;84;77;84;128;5,3;1,3;
2025/01/03;0000 UTC;;922,2;922,2;921,7;;22,2;19,7;22,4;22;19,8;19,6;87;84;86;103;5,7;2,2;
2025/01/03;0100 UTC;;922,3;922,3;922,2;;21,8;19,1;22,2;21,8;19,7;18,9;86;83;85;83;6,2;3,7;
2025/01/03;0200 UTC;;921,8;922,3;921,8;;21,4;19;21,8;21,3;19,2;18,9;87;85;87;95;6,9;2,4;
2025/01/03;0300 UTC;;921,3;921,9;921,3;;21,2;18,3;21,4;21,2;19;18,3;87;84;84;70;6,3;3,8;
2025/01/03;0400 UTC;;920,9;921,3;920,9;;21,1;18,2;21,2;20,9;18,3;17,9;84;82;83;88;6,6;2;
2025/01/03;0500 UTC;;920,6;920,9;920,5;;20,3;18;21,2;20,3;18,4;18;87;83;87;69;4,6;2,8;
2025/01/03;0600 UTC;;920,6;920,7;920,5;;20,4;17,9;20,6;20,3;18,2;17,9;87;86;86;92;5,3;2,7;
2025/01/03;0700 UTC;;920,5;920,7;920,4;;20,4;17,3;20,5;20,2;17,9;17;86;82;82;90;5,3;2,3;
2025/01/03;0800 UTC;;920,8;920,8;920,5;;20,2;17,5;20,6;20,2;17,7;17,3;85;82;85;64;4,8;2,4;
2025/01/03;0900 UTC;;921,8;921,8;920,8;172,1;20,7;18,2;20,8;19,8;18,3;17,5;87;85;85;105;4,7;1,2;
2025/01/03;1000 UTC;;922,3;922,3;921,8;396,3;21,3;18,6;21,3;20,3;18,6;17,9;88;84;84;97;6,5;3;
2025/01/03;1100 UTC;;922,7;922,7;922,3;852,5;22,9;17,7;22,9;21,3;18,6;17,6;84;73;73;95;6;3,7;
2025/01/03;1200 UTC;;922,7;922,8;922,7;2060,2;25,6;16,9;26;22,9;18,3;16,7;73;58;59;81;8,4;3,9;
2025/01/03;1300 UTC;;922,3;922,8;922,3;2977,3;27,6;16,8;27,8;25;17,9;16,1;61;51;52;89;8,5;4,2;
2025/01/03;1400 UTC;;921,9;922,3;921,9;3623,5;28,8;15,9;29,4;27;16,8;15,1;52;44;46;100;8,5;3,3;
2025/01/03;1500 UTC;;921,4;921,9;921,4;3894;31,2;16,2;31,2;28,8;16,2;14,9;46;40;41;103;8,4;2,9;
2025/01/03;1600 UTC;;920,6;921,5;920,6;3166,2;30,5;15,7;31,2;28,9;15,9;14,4;43;38;41;86;9,1;4,2;
2025/01/03;1700 UTC;;919,9;920,6;919,9;3101,5;31,5;15;31,9;30;15,6;14,1;41;35;37;88;10;4;
2025/01/03;1800 UTC;;919,6;919,9;919,6;1830,4;29,9;15,2;31,8;29,5;15,6;13,7;41;35;41;116;8,6;2,8;
