REGIAO:;NE
UF:;PE
ESTACAO:;CABROBO
CODIGO (WMO):;A329
LATITUDE:;-8,50388888
LONGITUDE:;-39,31527777
ALTITUDE:;342,74
DATA DE FUNDACAO:;04/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;971,3;971,3;971;;31,7;17,5;32,2;31,7;17,5;16,9;43;40;43;159;4;0;
2025/01/01;0100 UTC;0;972;972;971,3;;31,4;18,2;31,7;31,3;18,2;17,5;45;43;45;147;5;,2;
2025/01/01;0200 UTC;0;972,2;972,3;972;;29,1;22,8;31,4;29,1;22,9;18,2;69;45;69;150;14,4;5,6;
2025/01/01;0300 UTC;0;972,3;972,4;972,2;;27,6;22,9;29,1;27,6;22,9;22,8;76;69;76;159;12,7;3,1;
2025/01/01;0400 UTC;0;972,1;972,3;972;;26,7;22,9;27,6;26,7;23;22,9;80;76;80;153;13;1,3;
2025/01/01;0500 UTC;0;972,2;972,2;972,1;;25,8;22,6;26,7;25,8;22,9;22,6;82;80;82;169;8,7;1,1;
2025/01/01;0600 UTC;0;972,4;972,4;972,2;;25,4;22,5;25,9;25,4;22,6;22,5;84;82;84;169;7,8;,4;
2025/01/01;0700 UTC;0;972,7;972,7;972,4;;24,8;22,2;25,4;24,8;22,5;22,1;85;84;85;171;6,9;,1;
2025/01/01;0800 UTC;0;973,3;973,3;972,7;;24,6;22,2;24,8;24,6;22,2;22,2;87;85;87;161;5,9;0;
2025/01/01;0900 UTC;0;974,1;974,1;973,3;170;25,2;22,6;25,2;24,6;22,6;22,2;87;85;85;153;5,6;,1;
2025/01/01;1000 UTC;0;974,7;974,7;974,1;892,9;26,8;22,7;26,9;25,2;22,9;22,4;85;78;78;147;9,4;1,7;
2025/01/01;1100 UTC;0;975,2;975,2;974,7;1112,4;27,7;22,3;27,8;26,8;23;22,2;78;72;73;141;9,4;,1;
2025/01/01;1200 UTC;0;975,4;975,4;975,2;614,3;28,7;21,9;28,8;27,4;22,4;21,7;73;66;66;155;8,9;0;
2025/01/01;1300 UTC;0;974,9;975,4;974,9;1442,1;30,2;22,4;30,2;28,7;22,5;21,8;67;63;63;153;4,5;0;
2025/01/01;1400 UTC;0;974,3;974,9;974,3;1801,5;30,6;22,2;30,9;29,7;22,5;21,7;64;60;61;184;5,5;0;
2025/01/01;1500 UTC;0;973,3;974,3;973,3;2772;32,4;22;33,1;30,6;22,7;21,1;61;52;54;174;5,1;,2;
2025/01/01;1600 UTC;0;972,1;973,3;972,1;3675,7;34;21,1;35,3;32,4;22,4;20,8;54;46;47;192;8,4;0;
2025/01/01;1700 UTC;0;971,1;972,1;971,1;3366,6;35;20,7;35,9;34;21,5;20,3;47;43;43;191;8,2;,6;
2025/01/01;1800 UTC;0;970,3;971,1;970,3;2609,8;34,8;19,8;35,8;34,4;21,2;19,6;44;41;42;199;9,2;,6;
2025/01/01;1900 UTC;0;970;970,3;969,9;1723,7;34,7;19,7;35,6;34,2;20,1;19,3;42;40;41;189;9,9;,3;
2025/01/01;2000 UTC;0;970;970;969,9;770,3;33,9;19,5;34,7;33,9;19,8;19,3;43;41;43;188;7;0;
2025/01/01;2100 UTC;0;970,2;970,2;970;82,7;32,5;20;34;32,5;20;19,5;48;43;48;175;4;0;
2025/01/01;2200 UTC;0;970,5;970,5;970,1;;31,9;19;32,6;31,6;20;18,8;48;45;46;161;0;0;
2025/01/01;2300 UTC;0;971,3;971,3;970,5;;31,2;18,7;32;31,1;19;18,6;48;46;47;164;0;0;
2025/01/02;0000 UTC;0;971,6;971,6;971,3;;31,3;18,6;31,3;31;18,7;18,5;48;47;47;153;0;0;
2025/01/02;0100 UTC;0;972,2;972,3;971,6;;30,9;19;31,4;30,4;19;18,5;49;47;49;151;6,1;,2;
2025/01/02;0200 UTC;0;972,4;972,6;972,2;;29,9;21,8;31,3;29,9;21,8;18,9;62;49;62;156;10;1,3;
2025/01/02;0300 UTC;0;972,5;972,6;972,4;;28,1;22,4;29,9;28,1;22,5;21,8;71;62;71;160;10,4;2,2;
2025/01/02;0400 UTC;0;972,3;972,5;972,3;;27,3;22,5;28,1;27,3;22,5;22,4;75;71;75;155;8,8;,4;
2025/01/02;0500 UTC;0;972,2;972,3;972,2;;26,4;22,5;27,3;26,4;22,5;22,4;79;75;79;160;7,9;,7;
2025/01/02;0600 UTC;0;972,5;972,6;972,2;;25,7;22,5;26,4;25,7;22,5;22,4;83;79;83;158;9;,3;
2025/01/02;0700 UTC;0;972,9;972,9;972,3;;25;22,5;25,7;25;22,5;22,4;86;83;86;155;7,2;0;
2025/01/02;0800 UTC;0;973,7;973,7;972,9;;24,5;22,3;25;24,5;22,5;22,3;88;86;88;163;6,2;0;
2025/01/02;0900 UTC;0;974,6;974,6;973,7;193,8;25;22,5;25;24,5;22,6;22,3;88;86;86;153;6,7;,1;
2025/01/02;1000 UTC;0;975,3;975,3;974,6;835,6;26,4;22,8;26,7;25;23,1;22,5;86;80;80;151;8;,2;
2025/01/02;1100 UTC;0;975,5;975,5;975,3;1379,9;28;22,6;28;26;23,1;22,2;81;72;73;140;7,8;,2;
2025/01/02;1200 UTC;0;975,3;975,7;975,3;2740,5;29,6;22;29,8;27,8;22,7;21,9;73;63;63;148;9,3;,7;
2025/01/02;1300 UTC;0;974,9;975,4;974,9;3201,9;31,3;21;31,7;29,3;22,2;20,7;63;54;54;158;8,6;,9;
2025/01/02;1400 UTC;0;974;975;974;3695;32,5;20,6;33,2;30,5;21,7;20,4;56;49;49;162;8,5;,3;
2025/01/02;1500 UTC;0;973,1;974,1;973,1;3630,6;34;20,2;34,6;32,3;21,2;19,8;49;44;44;133;8,1;0;
2025/01/02;1600 UTC;0;972,1;973,1;972,1;3678;34,8;19,9;35,7;33,3;21,2;19,1;45;40;42;183;8,9;0;
2025/01/02;1700 UTC;0;971,2;972,1;971,2;3159,6;35,7;20,2;36;34,3;20,9;19,6;43;41;41;206;8,6;,5;
2025/01/02;1800 UTC;0;970,5;971,2;970,5;1734,5;35,1;19,6;35,9;34,4;20,2;19;42;39;40;199;8,6;,2;
2025/01/02;1900 UTC;0;970,3;970,5;970,2;960,9;34,2;19,9;35,3;34,1;20,3;19,3;43;40;43;190;7;0;
2025/01/02;2000 UTC;0;970;970,4;970;781,6;34,2;19,6;34,8;34,1;20,2;19,6;43;42;43;202;8,4;,2;
2025/01/02;2100 UTC;0;970,3;970,3;970;90,6;33,4;18,8;34,2;33,4;19,9;18,8;44;42;42;177;6,4;0;
2025/01/02;2200 UTC;0;970,9;970,9;970,3;;32,4;18,6;33,4;32,4;18,8;18,6;44;42;44;169;3,4;0;
2025/01/02;2300 UTC;0;971,4;971,4;970,9;;31;18,4;32,4;31;18,6;18,4;47;44;47;158;0;0;
2025/01/03;0000 UTC;0;971,8;971,8;971,4;;31,3;18,4;31,4;30,9;18,5;18,3;47;46;46;162;5,1;0;
2025/01/03;0100 UTC;0;972,2;972,2;971,8;;30,5;18,3;31,3;30,5;18,5;18,3;48;46;48;155;5,8;0;
2025/01/03;0200 UTC;0;972,2;972,2;972,1;;29,6;19,2;30,5;29,5;19,2;18,3;54;48;54;152;4,2;0;
2025/01/03;0300 UTC;0;972,2;972,3;972,1;;28,5;21,5;29,7;28,5;21,6;19,4;66;54;66;165;8,9;,7;
2025/01/03;0400 UTC;0;972,1;972,2;972;;27,3;21,7;28,5;27,3;21,7;21,5;72;66;72;170;8,9;,6;
2025/01/03;0500 UTC;0;971,8;972,1;971,8;;26,3;21,6;27,3;26,3;21,7;21,6;75;72;75;162;7,2;,1;
