REGIAO:;N
UF:;PA
ESTACAO:;TOME ACU
CODIGO (WMO):;A213
LATITUDE:;-2,59249999
LONGITUDE:;-48,36055555
ALTITUDE:;42,95
DATA DE FUNDACAO:;14/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;6;1004,5;1006,6;1004,3;;24,1;24,1;24,1;23,7;24,1;22,9;100;94;100;244;5,5;,8;
2025/01/01;0100 UTC;,2;1005,8;1005,8;1004,4;;24;24;24,2;24;24,1;23,9;100;100;100;233;2,6;,8;
2025/01/01;0200 UTC;0;1005,8;1005,9;1005,7;;24;23,9;24,1;23,9;24;23,9;100;100;100;217;2,2;0;
2025/01/01;0300 UTC;0;1005,5;1005,9;1005,5;;23,8;23,8;24;23,8;24;23,8;100;100;100;228;,6;,1;
2025/01/01;0400 UTC;0;1005,1;1005,5;1005;;23,8;23,8;23,8;23,7;23,8;23,7;100;100;100;237;,8;0;
2025/01/01;0500 UTC;0;1004,8;1005,2;1004,8;;23,8;23,8;23,9;23,8;23,9;23,8;100;100;100;202;,6;0;
2025/01/01;0600 UTC;0;1004,6;1004,9;1004,6;;23,6;23,6;23,8;23,6;23,8;23,6;100;100;100;214;,6;0;
2025/01/01;0700 UTC;0;1004,3;1004,6;1004,3;;23,4;23,4;23,7;23,4;23,7;23,4;100;100;100;245;1;0;
2025/01/01;0800 UTC;0;1004,5;1004,5;1004,3;;23,2;23,2;23,5;23,2;23,5;23,2;100;100;100;224;,9;,1;
2025/01/01;0900 UTC;0;1005,1;1005,1;1004,5;;23,3;23,3;23,3;23,2;23,3;23,2;100;100;100;216;1;0;
2025/01/01;1000 UTC;0;1005,5;1005,5;1005,1;132;23,9;23,9;23,9;23,2;23,9;23,2;100;100;100;225;,6;0;
2025/01/01;1100 UTC;0;1006,1;1006,1;1005,5;837;25,6;24,6;25,7;23,8;25,6;23,8;100;94;94;213;2;,8;
2025/01/01;1200 UTC;0;1006,6;1006,6;1006;1371,4;27,1;24,8;27,6;25,6;25,5;24,4;94;86;88;252;5,6;2,6;
2025/01/01;1300 UTC;0;1006,7;1006,8;1006,6;1430,4;28,9;25,4;28,9;27,1;26;24,6;89;80;81;249;6,8;2,1;
2025/01/01;1400 UTC;0;1006,3;1006,7;1006,3;2622,9;30,4;25;30,9;28,9;26,2;24,4;82;71;73;246;7,2;2,7;
2025/01/01;1500 UTC;0;1005,8;1006,3;1005,8;2458,8;31,1;25;31,9;30,2;25,6;24,2;73;66;70;249;8,6;3,1;
2025/01/01;1600 UTC;0;1005;1005,8;1005;2872,1;31,9;24,5;32,8;31,1;25,6;23,3;71;60;65;248;7,3;3,5;
2025/01/01;1700 UTC;0;1004;1005;1004;2331,6;32,6;24,1;33,1;30,9;25;23,1;68;58;61;243;7,3;2,5;
2025/01/01;1800 UTC;0;1002,7;1004;1002,7;2453,4;32,8;23,8;33,6;31,8;25;23,5;66;56;59;241;5,8;1,9;
2025/01/01;1900 UTC;0;1002,1;1002,7;1002,1;1956,2;33,7;23,2;33,8;32,2;24,5;22,9;64;54;54;244;5,1;1,6;
2025/01/01;2000 UTC;0;1001,6;1002,1;1001,5;1077,4;32,8;23,7;33,7;32,8;24,6;23;63;54;59;236;3,9;,5;
2025/01/01;2100 UTC;0;1001,6;1001,7;1001,5;429;30;25,9;33,2;30;26,4;23,3;79;57;79;230;2,2;0;
2025/01/01;2200 UTC;2,4;1002,3;1003;1001,5;20,5;23,7;22,2;30;23,6;26,5;21,8;92;78;91;225;11,3;,8;
2025/01/01;2300 UTC;,2;1003,5;1003,5;1002,3;;23,5;22,8;23,8;23,4;22,9;22,1;96;91;96;218;2,9;,1;
2025/01/02;0000 UTC;0;1004,6;1004,6;1003,5;;23,7;23,5;23,8;23,5;23,6;22,9;99;96;99;207;1,8;,3;
2025/01/02;0100 UTC;3,4;1005,3;1005,3;1004,5;;24,3;24,2;24,3;23,7;24,2;23,4;100;98;100;239;3;1;
2025/01/02;0200 UTC;4,6;1005,5;1006,3;1005,1;;24,3;24,3;24,5;24,3;24,5;24,2;100;100;100;203;4,7;,1;
2025/01/02;0300 UTC;,2;1005,5;1005,6;1005,5;;24,3;24,3;24,4;24,2;24,4;24,2;100;100;100;246;1,1;0;
2025/01/02;0400 UTC;0;1005,2;1005,5;1005,1;;24;24;24,3;24;24,3;24;100;100;100;216;,5;0;
2025/01/02;0500 UTC;0;1004,7;1005,3;1004,7;;23,9;23,9;24,1;23,9;24,1;23,9;100;100;100;202;1,3;0;
2025/01/02;0600 UTC;0;1004;1004,7;1004;;23,6;23,6;23,9;23,5;23,8;23,5;100;100;100;198;0;0;
2025/01/02;0700 UTC;0;1004,1;1004,1;1003,8;;23,4;23,4;23,7;23,3;23,7;23,3;100;100;100;211;,9;0;
2025/01/02;0800 UTC;0;1004,4;1004,5;1004;;23,2;23,2;23,4;23,1;23,4;23,1;100;100;100;244;,6;0;
2025/01/02;0900 UTC;0;1004,9;1005;1004,4;;23,1;23,1;23,2;22,9;23,2;22,9;100;100;100;233;,4;0;
2025/01/02;1000 UTC;0;1005,3;1005,3;1004,9;112,7;23,6;23,6;23,6;23;23,6;23;100;100;100;224;,3;0;
2025/01/02;1100 UTC;0;1006,1;1006,1;1005,3;630,7;25,4;25,4;25,5;23,6;25,5;23,7;100;100;100;217;1,4;,2;
2025/01/02;1200 UTC;0;1006,7;1006,7;1006,1;1345,6;27,1;25,2;27,1;25,4;25,8;24,7;100;89;90;237;3,1;1,4;
2025/01/02;1300 UTC;0;1006,7;1006,9;1006,7;1565,7;28,9;25,3;29;26,8;25,8;25;91;80;81;250;5,3;2,9;
2025/01/02;1400 UTC;0;1006,9;1007;1006,7;1472,4;30,1;26;30,1;28,3;26,1;24,8;84;78;79;239;7,5;1,7;
