REGIAO:;N
UF:;TO
ESTACAO:;PARANA
CODIGO (WMO):;A010
LATITUDE:;-12,615
LONGITUDE:;-47,87194443
ALTITUDE:;284,96
DATA DE FUNDACAO:;04/03/05
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;;979;979;978,5;;23,3;21;24,2;23,3;21,1;20,8;87;83;87;77;2;0;
2025/01/01;0300 UTC;;978,4;979;978,4;;23,2;21,1;23,4;23,2;21,1;21;88;87;88;86;1,3;0;
2025/01/01;0400 UTC;;977,9;978,4;977,9;;23,2;21;23,4;23,2;21,3;21;88;87;88;245;1;0;
2025/01/01;0500 UTC;;977,5;977,9;977,4;;22,8;20,9;23,2;22,8;21;20,8;89;88;89;98;0;0;
2025/01/01;0600 UTC;;977,6;977,7;977,5;;22,5;20,7;22,8;22,5;21;20,7;90;89;90;346;0;0;
2025/01/01;0700 UTC;;977,5;977,6;977,5;;22,3;20,6;22,7;22,3;21,1;20,6;90;90;90;24;1,2;0;
2025/01/01;0800 UTC;;977,8;977,8;977,5;;22,1;20,6;22,4;22,1;20,8;20,5;91;90;91;17;0;0;
2025/01/01;0900 UTC;;978,5;978,5;977,8;2,3;22,2;20,6;22,6;22,1;21,1;20,6;91;91;91;70;0;0;
2025/01/01;1000 UTC;;979,4;979,4;978,4;206,8;22,6;21,2;22,6;22,2;21,2;20,6;92;91;92;40;0;0;
2025/01/01;1100 UTC;;979,9;979,9;979,3;1087,2;26,1;21,6;26,1;22,6;22,6;21,2;92;76;76;99;2,9;,7;
2025/01/01;1200 UTC;;980,1;980,1;979,9;1978,2;28,3;21,2;28,3;26;21,6;20,5;76;65;65;114;3,2;1,7;
2025/01/01;1300 UTC;;980,5;980,5;980,1;2389,2;29,4;20,9;29,7;28,1;21,8;20,6;66;59;60;145;3,7;1,7;
2025/01/01;1400 UTC;;980,2;980,5;980,2;2645,3;30,4;20,6;30,7;29,1;21,4;20,1;62;54;56;206;3,9;,8;
2025/01/01;1500 UTC;;979,5;980,2;979,5;2976;30,2;19,9;31,5;30,1;21,1;19,7;56;52;54;189;4,8;,7;
2025/01/01;1600 UTC;;978,6;979,5;978,6;2121,7;31,4;20;31,8;30,1;20,7;19,4;56;49;51;127;3,8;1;
2025/01/01;1700 UTC;;977,4;978,6;977,4;3176,8;32,5;19,8;32,8;30,7;20,7;18,9;54;47;47;210;3,8;1,2;
2025/01/01;1800 UTC;;975,9;977,3;975,9;3000,1;32,1;19,3;33,5;31,8;20;18,5;49;43;47;191;3,9;1;
2025/01/01;1900 UTC;;975,3;975,9;975,3;2465,4;33,7;19,7;33,9;32,1;20,3;18,9;48;43;44;79;3,4;,2;
2025/01/01;2000 UTC;;975,6;975,7;975;1484,2;28,1;19,3;33,7;28,1;20,6;18,8;59;44;59;16;9,3;4,6;
2025/01/01;2100 UTC;;977;977;975,6;394,5;25,7;20,6;28,2;25,7;20,8;19,5;74;59;74;72;10,7;1,7;
2025/01/01;2200 UTC;;977,5;977,6;977;21,5;25,6;20,7;25,9;25,3;20,7;20,2;75;72;74;213;4,4;1,5;
