REGIAO:;N
UF:;TO
ESTACAO:;PEDRO AFONSO
CODIGO (WMO):;A020
LATITUDE:;-8,9686111
LONGITUDE:;-48,17722221
ALTITUDE:;189,71
DATA DE FUNDACAO:;23/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;989,3;989,3;988,5;;22,4;21,2;22,6;22,4;21,3;20,9;93;91;93;102;0;0;
2025/01/01;0100 UTC;0;989,8;989,8;989,3;;22,4;21,2;22,5;22,3;21,4;21,1;93;93;93;37;0;0;
2025/01/01;0200 UTC;0;990;990,1;989,8;;22,3;21,2;22,5;22,3;21,4;21,1;94;93;94;27;0;0;
2025/01/01;0300 UTC;0;989,5;990;989,5;;22;20,9;22,3;22;21,2;20,9;94;93;93;5;1,8;0;
2025/01/01;0400 UTC;0;988,6;989,5;988,6;;21,7;20,8;22;21,6;20,9;20,6;94;93;94;272;2,2;,2;
2025/01/01;0500 UTC;0;988,3;988,6;988;;21,5;20,7;21,7;21,5;20,8;20,6;95;94;95;200;3,8;,1;
2025/01/01;0600 UTC;0;988,3;988,6;988,2;;21,4;20,6;21,5;21,4;20,7;20,5;95;95;95;148;3,5;0;
2025/01/01;0700 UTC;0;988,3;988,5;988,3;;21,3;20,5;21,4;21,3;20,6;20,5;95;95;95;127;0;0;
2025/01/01;0800 UTC;0;988,6;988,6;988,2;;21,2;20,5;21,3;21,2;20,6;20,5;96;95;96;206;1,3;0;
2025/01/01;0900 UTC;0;989,3;989,3;988,6;23,4;21,3;20,7;21,5;21,1;20,9;20,5;96;96;96;238;0;0;
2025/01/01;1000 UTC;0;990,2;990,2;989,3;386,9;22,4;21,3;22,4;21,2;21,4;20,6;96;94;94;188;2,4;0;
2025/01/01;1100 UTC;0;991;991;990,2;876,4;23,9;21,7;23,9;22,4;21,7;21,2;94;86;87;77;0;0;
2025/01/01;1200 UTC;0;991,5;991,6;991;1320,2;25,1;21,8;25,3;23,8;22,2;21,3;88;81;82;22;0;0;
2025/01/01;1300 UTC;0;992;992;991,5;2376,7;27,4;22,3;27,7;25,1;22,7;21,3;83;70;73;315;0;0;
2025/01/01;1400 UTC;0;991,5;992,1;991,5;3503,3;28,6;22;29,4;27,1;23,7;21,2;74;66;68;322;3,7;1,3;
2025/01/01;1500 UTC;0;990,4;991,5;990,4;2769,9;29;22,5;29,6;28,6;23;21,6;70;65;68;352;4,1;1,7;
2025/01/01;1600 UTC;0;989,8;990,4;989,8;3190,5;29,8;22,8;31;28,7;23,9;21,7;69;62;66;331;4,1;,3;
2025/01/01;1700 UTC;0;988,4;989,8;988,4;2854,6;31,7;22,8;31,8;29,8;23,3;21,6;66;58;59;317;2,8;0;
2025/01/01;1800 UTC;0;987,2;988,4;987,2;2571,2;31,9;21,3;32,2;30,7;23,5;20,6;62;53;54;326;2,6;0;
2025/01/01;1900 UTC;0;986,4;987,2;986,4;1881,8;31,9;21,1;32,7;31,2;22,5;20,5;56;51;53;24;2,5;0;
2025/01/01;2000 UTC;0;986,6;986,7;986,3;1038,2;31,8;21,6;32,2;31,5;22,3;20,4;57;51;55;339;3;0;
2025/01/01;2100 UTC;0;986,6;986,6;986,5;369,3;30,5;22,3;32;30,5;23,1;21,2;62;53;62;44;0;0;
2025/01/01;2200 UTC;0;986,8;986,8;986,6;3,5;28,3;24;30,5;28,3;24,1;22,2;78;62;78;246;0;0;
2025/01/01;2300 UTC;0;987,5;987,5;986,8;;27,3;24,5;28,4;27,3;24,7;23,8;85;76;84;94;0;0;
2025/01/02;0000 UTC;0;988,5;988,5;987,5;;26,7;23,8;27,6;26,7;24,4;23,6;84;80;84;59;0;0;
2025/01/02;0100 UTC;0;989;989,1;988,5;;26,4;23,7;26,7;26,3;24,3;23,6;87;84;85;153;0;0;
2025/01/02;0200 UTC;0;989;989,1;989;;25,7;23,7;26,4;25,6;23,7;23,4;89;85;89;116;0;0;
2025/01/02;0300 UTC;0;988,5;989,1;988,5;;25,6;23,8;25,7;25,5;23,9;23,4;90;88;90;243;0;0;
2025/01/02;0400 UTC;0;988,5;988,7;988,5;;24,9;23,5;25,6;24,9;23,8;23,4;92;90;92;318;0;0;
2025/01/02;0500 UTC;0;988,4;988,6;988,3;;24,7;23,5;24,9;24,7;23,7;23,4;93;92;93;299;0;0;
2025/01/02;0600 UTC;0;987,8;988,3;987,8;;24,9;23,5;24,9;24,7;23,5;23,3;93;91;92;121;0;0;
2025/01/02;0700 UTC;0;987,8;987,9;987,7;;24,7;23,5;24,9;24,7;23,6;23,4;93;92;93;131;0;0;
2025/01/02;0800 UTC;0;988,3;988,3;987,8;;24,4;22,8;24,7;24,4;23,5;22,8;93;90;91;168;0;0;
2025/01/02;0900 UTC;0;988,9;988,9;988,3;30,8;24,6;22,7;24,6;24,2;22,8;22,6;91;89;89;173;0;0;
2025/01/02;1000 UTC;0;989,5;989,5;988,9;364,7;25,6;23,1;25,6;24,6;23,1;22,6;89;86;86;170;0;0;
2025/01/02;1100 UTC;0;990,2;990,2;989,5;892,3;27,2;23,7;27,2;25,5;23,7;22,8;87;80;81;147;3,2;,4;
2025/01/02;1200 UTC;0;991,4;991,4;990,2;1423;28,2;23,4;29,3;27,2;24,1;23,2;81;72;76;137;4,4;,9;
2025/01/02;1300 UTC;0;991,5;991,8;991,4;1119,3;28,7;24;29;27,7;24;23,2;78;73;76;148;4,7;,1;
2025/01/02;1400 UTC;0;991;991,5;990,8;2361,7;30,4;23,4;30,8;28,6;23,7;22,3;75;63;66;143;4,4;,7;
2025/01/02;1500 UTC;3,6;991,3;991,5;990,8;930,8;23,1;21,7;31,1;22,8;24,1;20,4;92;64;92;33;10,6;3,1;
2025/01/02;1600 UTC;13,4;989,7;991,3;989,7;264,1;23;22;23,2;21,6;22;20,6;94;91;94;166;11,3;,1;
2025/01/02;1700 UTC;,2;988,6;989,8;988,5;393,3;23,7;22,2;23,8;23;22,4;22;94;91;91;349;2,5;0;
2025/01/02;1800 UTC;0;988,8;988,9;988,4;383,2;24,2;22,4;24,2;23,7;22,7;22,3;92;90;90;251;3,1;0;
2025/01/02;1900 UTC;0;988,9;988,9;988,7;324,9;24,5;22,6;24,5;24,1;22,8;22,4;91;89;89;266;1,4;0;
2025/01/02;2000 UTC;0;988,8;989;988,8;357,5;24,8;22,9;25;24,5;23;22,1;90;86;89;276;0;0;
2025/01/02;2100 UTC;0;988,7;988,8;988,6;138,4;24,3;22,6;24,8;24,3;23,1;22,6;91;89;90;259;0;0;
2025/01/02;2200 UTC;0;988,8;988,9;988,7;;23,9;22,6;24,3;23,9;22,8;22,6;93;90;93;204;2,4;0;
2025/01/02;2300 UTC;0;989,4;989,6;988,8;;23,6;22,3;23,9;23,6;22,6;22,3;93;92;93;246;2,7;,2;
2025/01/03;0000 UTC;0;990,1;990,1;989,4;;23,5;22,3;23,6;23,5;22,4;22,2;93;92;93;217;2,5;,2;
2025/01/03;0100 UTC;0;990,5;990,5;990,1;;23,3;22,1;23,5;23,3;22,4;22,1;93;93;93;195;3,8;,3;
2025/01/03;0200 UTC;0;990,7;990,8;990,5;;23,3;22,1;23,4;23,2;22,1;21,9;93;92;93;212;3,4;,1;
2025/01/03;0300 UTC;0;990,2;990,7;990,2;;23,2;22,1;23,3;23,2;22,2;22,1;94;93;94;208;2,6;0;
2025/01/03;0400 UTC;0;989,6;990,2;989,6;;23;21,4;23,2;23;22,1;21,4;94;91;91;203;3,7;1;
2025/01/03;0500 UTC;0;989;989,6;989;;22,7;21,5;23;22,6;21,5;21,3;93;91;93;210;3,7;0;
2025/01/03;0600 UTC;0;988,9;989;988,8;;22,1;21;22,7;22,1;21,4;21;93;93;93;172;2,8;0;
2025/01/03;0700 UTC;0;988,9;988,9;988,8;;22,2;21,2;22,3;22;21,3;21;94;93;94;236;0;0;
2025/01/03;0800 UTC;0;989,2;989,2;988,9;;22;21,2;22,2;22;21,2;21,1;95;94;95;202;0;0;
2025/01/03;0900 UTC;0;989,9;989,9;989,2;34,7;22;21,1;22;21,9;21,2;21,1;95;95;95;163;0;0;
2025/01/03;1000 UTC;0;991;991;989,9;362,9;23,3;22;23,3;22;22;21,1;95;93;93;169;0;0;
2025/01/03;1100 UTC;0;991,5;991,5;991;739,1;24,3;22,3;24,3;23,1;22,4;21,6;93;89;89;165;3,6;1,1;
2025/01/03;1200 UTC;0;991,8;992;991,5;821,3;25,8;22,8;25,8;24,1;23,4;22,2;90;84;84;161;3,6;,6;
2025/01/03;1300 UTC;0;992;992;991,7;2317,5;27,7;23,2;27,8;25,8;23,6;22,7;84;74;76;247;4,6;,6;
2025/01/03;1400 UTC;0;991,8;992,1;991,8;2563,2;28,8;22,6;29,2;27,7;23,5;22,5;77;69;69;236;3,6;,9;
2025/01/03;1500 UTC;0;990,9;991,8;990,9;2747,8;30,1;23,5;30,4;28,4;23,6;22,5;72;66;68;243;2,9;,3;
2025/01/03;1600 UTC;0;989,7;990,9;989,7;3027;31,9;23,9;31,9;29,6;24,2;22,8;69;62;63;309;2,8;0;
2025/01/03;1700 UTC;0;988,7;989,7;988,7;3218;31,9;23,2;32,8;31;24,3;22,7;65;58;60;302;0;0;
2025/01/03;1800 UTC;0;987,6;988,7;987,6;2198;32,8;23,3;33;31;24,3;22,4;65;56;57;326;2,3;0;
2025/01/03;1900 UTC;0;987,1;987,6;987,1;1787,2;31,1;23,3;33,3;31,1;24,2;22,7;65;57;63;338;3;1;
2025/01/03;2000 UTC;0;987;987,3;987;497,9;29;22,8;31,3;29;24,2;22,8;69;63;69;68;7,4;2,4;
2025/01/03;2100 UTC;0;986,9;987;986,3;441,5;27,3;22;29;27,3;23;21,4;73;65;73;126;7,4;1,7;
2025/01/03;2200 UTC;0;987,2;987,2;986,9;20,2;25,9;21,9;27,3;25,9;22,6;21,9;79;73;79;87;4,9;0;
2025/01/03;2300 UTC;0;988;988;987,2;;25,2;22,3;25,9;25,2;22,3;21,9;84;79;84;51;2,5;0;
2025/01/04;0000 UTC;0;988,8;988,8;988;;25;22,7;25,2;25;22,8;22,2;87;84;87;6;0;0;
2025/01/04;0100 UTC;0;989,5;989,5;988,8;;24,9;22,7;25;24,8;22,9;22,7;88;87;88;316;0;0;
2025/01/04;0200 UTC;0;989,4;989,7;989,4;;24,9;23;25;24,8;23,1;22,7;90;87;90;200;0;0;
2025/01/04;0300 UTC;0;989;989,4;988,9;;24,6;22,8;24,9;24,6;23,1;22,8;90;89;89;206;0;0;
2025/01/04;0400 UTC;0;988,8;989;988,7;;24,5;22,9;24,6;24,4;23,1;22,8;92;89;91;200;0;0;
2025/01/04;0500 UTC;0;988,6;988,8;988,6;;24;22,5;24,4;24;22,9;22,5;92;91;91;122;0;0;
2025/01/04;0600 UTC;0;988,5;988,6;988,4;;23,9;22;24;23,9;22,5;22;92;89;89;171;0;0;
2025/01/04;0700 UTC;0;988,3;988,5;988,2;;23,6;22,2;23,9;23,6;22,3;22;92;89;92;82;0;0;
2025/01/04;0800 UTC;0;988,9;988,9;988,3;;23,2;22;23,6;23,2;22,2;22;93;92;93;105;0;0;
2025/01/04;0900 UTC;0;989,2;989,2;988,9;32;23,5;22,1;23,5;23;22,1;21,8;93;92;92;123;0;0;
2025/01/04;1000 UTC;0;989,1;989,4;989;418,1;25,2;21,7;25,2;23,5;22,1;21,6;92;81;81;152;2,6;,3;
2025/01/04;1100 UTC;0;989,8;989,8;989,1;1301,9;27,1;22,3;27,3;25,2;22,7;21,7;82;75;75;82;3,1;0;
2025/01/04;1200 UTC;0;990,3;990,3;989,8;2140,6;29,5;23,2;29,7;26,9;23,6;22,1;77;69;69;121;3,3;0;
2025/01/04;1300 UTC;0;990,5;990,6;990,3;2326;29,3;23,6;30,6;28,8;24,4;22,7;73;67;71;341;0;0;
2025/01/04;1400 UTC;0;990;990,5;990;1844,5;29,7;23,7;30;29,3;24,3;23,3;73;69;70;339;3,1;1,5;
2025/01/04;1500 UTC;0;989,2;990;989,2;2766,7;32;23,8;32;29,6;24,9;23,7;73;62;62;103;4,2;,9;
2025/01/04;1600 UTC;0;987,8;989,2;987,8;3569,4;32,8;23,7;33;31,6;25,1;22,8;65;58;59;65;4,2;0;
2025/01/04;1700 UTC;0;987;987,8;987;2888,3;33,8;22,9;33,8;32,2;24,5;21,2;61;50;53;330;5,1;1,3;
2025/01/04;1800 UTC;0;985,3;987;985,3;2780,2;33,5;22,6;34,4;32,6;23,5;21,5;57;49;53;343;3,4;,2;
2025/01/04;1900 UTC;0;985,4;985,4;985;1003,3;31,8;23,5;33,5;31,7;24;21,8;63;51;62;3;2,8;0;
2025/01/04;2000 UTC;0;984,9;985,5;984,9;321,2;29,9;24,6;31,9;29,9;24,6;23,1;73;61;73;256;2,5;,1;
2025/01/04;2100 UTC;0;985,9;985,9;984,9;65,5;28,6;24;29,8;28,6;24,6;23,9;76;73;76;234;3,4;0;
2025/01/04;2200 UTC;0;987;987;985,9;;27,4;23,2;28,6;27,4;24,4;23,2;82;76;78;240;2,6;0;
2025/01/04;2300 UTC;0;987,9;987,9;987;;26,9;23,1;27,4;26,9;23,2;23;80;77;80;242;2;,2;
2025/01/05;0000 UTC;0;989,3;989,3;987,9;;26,3;23,1;26,9;26,3;23,2;23;83;80;83;190;2,7;0;
