REGIAO:;SE
UF:;MG
ESTACAO:;ITUIUTABA
CODIGO (WMO):;A512
LATITUDE:;-18,95277777
LONGITUDE:;-49,52499999
ALTITUDE:;540,08
DATA DE FUNDACAO:;12/05/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;950,3;950,4;949,8;0;21,9;19,8;22,5;21,8;20,2;19,6;88;86;88;106;3,2;,2;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;0;950,9;951,1;950,8;0;21,4;19,8;21,6;21,2;20,1;19,7;92;90;91;75;2,4;1,5;
2025/01/01;0300 UTC;0;950,7;950,9;950,6;0;21,6;20,1;21,8;21,3;20,2;19,7;91;90;91;53;4,2;,4;
2025/01/01;0400 UTC;0;950,3;950,8;950,3;0;21,9;20,1;22,1;21,6;20,5;20;91;89;90;37;3,3;,7;
2025/01/01;0500 UTC;0;950;950,3;949,9;0;21,6;20;22;21,5;20,2;19,8;90;89;90;31;2,9;,8;
2025/01/01;0600 UTC;0;949,8;950;949,5;0;22;20;22,2;21,6;20,3;20;90;88;89;31;3,9;1,5;
2025/01/01;0700 UTC;0;949,7;949,9;949,7;0;21,7;20,1;22;21,7;20,1;19,9;91;89;91;28;4,1;1,5;
2025/01/01;0800 UTC;0;950,3;950,3;949,7;0;22;20,2;22,1;21,7;20,3;20,1;91;89;89;32;3,8;1,1;
2025/01/01;0900 UTC;0;951,2;951,2;950,3;7,9;22,2;20,3;22,2;22;20,3;20,1;90;89;89;27;3,3;1,1;
2025/01/01;1000 UTC;0;951,7;951,7;951,2;145,4;22,7;20,5;22,7;22,2;20,5;20,1;89;87;88;32;3,9;1,5;
2025/01/01;1100 UTC;0;952,4;952,4;951,7;552,5;23,8;20,9;24,1;22,7;21,5;20,6;88;83;84;25;4,7;1,9;
2025/01/01;1200 UTC;0;952,4;952,5;952,4;1879;26,7;21,1;27;23,7;22,3;20,6;85;71;71;12;6,1;2,6;
2025/01/01;1300 UTC;0;952,6;952,7;952,4;2706,3;27,7;22,3;28,1;26,1;22,8;20,9;76;68;73;355;6,6;2,7;
2025/01/01;1400 UTC;0;952,2;952,6;952,2;2401,9;27,5;21,4;29;27,3;23,2;21,3;74;67;69;349;6,5;2,2;
2025/01/01;1500 UTC;0;951,5;952,2;951,5;3210,1;30,5;21,5;30,8;27,5;23,6;21,2;72;58;58;312;5,9;1,4;
2025/01/01;1600 UTC;0;950,9;951,5;950,9;3389,6;29,5;21,3;31,1;29,4;23,7;21,1;67;57;61;331;4,8;1,7;
2025/01/01;1700 UTC;0;949,7;950,8;949,7;3971,4;31,3;21,8;32,3;29,5;24;21;65;55;57;354;5,8;1,8;
