REGIAO:;SE
UF:;MG
ESTACAO:;SAO JOAO DEL REI
CODIGO (WMO):;A514
LATITUDE:;-21,10638888
LONGITUDE:;-44,25083333
ALTITUDE:;929,88
DATA DE FUNDACAO:;09/06/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;15;911,4;911,4;908,8;3,7;15,7;15,2;20,3;15,7;18,4;15,2;97;83;97;113;12,1;5,3;
2025/01/01;0100 UTC;10,6;910,4;911,4;910,4;,2;15,8;15,5;15,9;15,3;15,5;14,9;98;97;98;27;9,3;1,5;
2025/01/01;0200 UTC;1,2;910,4;910,4;910,2;;16;15,5;16,1;15,8;15,6;15,3;98;96;97;292;5,5;1,8;
2025/01/01;0300 UTC;3,8;910,5;910,9;910,4;;15,9;15;16,3;15,8;15,5;15;97;93;94;318;6,5;1,7;
2025/01/01;0400 UTC;,6;910,1;910,5;909,8;;15,8;15;16,2;15,8;15,2;15;95;93;95;21;7,5;3,6;
2025/01/01;0500 UTC;3,2;909,7;910,5;909,6;;15,7;15,1;16;15,6;15,1;14,9;96;94;96;3;7,1;1,9;
2025/01/01;0600 UTC;2;907,6;909,7;907,6;;15,8;15;16,2;15,6;15,4;15;97;94;95;5;5,7;2,8;
2025/01/01;0700 UTC;,4;908,1;908,1;907,6;;16;15,1;16,1;15,7;15,1;14,9;95;93;94;99;5;,4;
2025/01/01;0800 UTC;,4;908,3;908,4;908;;15,8;15,2;16,1;15,8;15,3;15,1;96;94;96;11;3,3;2;
2025/01/01;0900 UTC;0;908,6;908,6;908,2;20;15,9;15,3;16;15,6;15,4;15,1;97;95;97;216;3,5;2,3;
2025/01/01;1000 UTC;0;909;909;908,6;267,3;16,8;15,8;16,9;15,9;16;15,3;97;94;94;211;3,5;1;
2025/01/01;1100 UTC;0;909,1;909,1;908,9;1019,2;19,6;16;19,7;16,8;16,6;15,6;95;80;80;95;2,8;,2;
2025/01/01;1200 UTC;0;909,8;909,9;909,1;1570,2;20,7;17,3;20,7;18,7;17,4;15,7;87;79;81;350;3,7;,7;
2025/01/01;1300 UTC;0;910,1;910,1;909,8;2881;23;15,6;23,1;20,2;18;15,6;81;63;63;46;3,3;1;
2025/01/01;1400 UTC;0;909,8;910,1;909,8;3408,6;24,9;16,3;25,1;22,9;17,4;14,8;67;55;59;30;3,4;1,4;
