REGIAO:;SE
UF:;MG
ESTACAO:;PASSOS
CODIGO (WMO):;A516
LATITUDE:;-20,745237
LONGITUDE:;-46,633916
ALTITUDE:;781,7
DATA DE FUNDACAO:;16/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;,6;926,4;926,5;925,9;;20;18,7;20,5;19,9;19,2;18,6;93;91;92;;,4;0;
2025/01/01;0100 UTC;0;926,2;926,4;926;;20,4;18,6;20,5;19,9;19,1;18,5;93;89;89;;3,9;,6;
2025/01/01;0200 UTC;0;925,8;926,2;925,7;;19,7;18,4;20,5;19,6;18,8;18,4;93;89;93;;2,9;0;
2025/01/01;0300 UTC;0;925,1;925,8;925,1;;18,9;18,1;19,8;18,8;18,5;17,8;95;92;95;;1,8;,3;
2025/01/01;0400 UTC;,2;925,4;925,4;925,1;;19,3;18,2;19,3;18,6;18,4;17,7;95;94;94;;5;2,9;
2025/01/01;0500 UTC;0;925,2;925,5;925,2;;19,4;18;19,4;19,2;18,2;18;94;92;92;;5,7;3,5;
2025/01/01;0600 UTC;0;925,3;925,4;925,1;;18,9;17,8;19,4;18,8;18;17,6;93;92;93;;6,6;1,7;
2025/01/01;0700 UTC;0;925,4;925,4;925,3;;18,9;17,9;19;18,7;18;17,6;94;93;94;;4,1;1;
2025/01/01;0800 UTC;0;925,8;925,8;925,4;;18,6;17,1;18,9;18,6;17,9;17,1;94;91;91;;4,4;,1;
2025/01/01;0900 UTC;0;926,3;926,3;925,8;114,7;19;17,1;19;18,4;17,2;16,7;91;89;89;;2,7;,1;
2025/01/01;1000 UTC;0;926,8;926,9;926,3;968,6;21,1;17,5;21,1;19;17,8;16,5;89;79;80;;2,7;,8;
2025/01/01;1100 UTC;0;927,1;927,2;926,8;1852,8;22,6;17,5;22,8;21;18,3;17;81;72;73;;2,7;,2;
2025/01/01;1200 UTC;0;927,3;927,3;927,1;2682,5;23,9;17,7;24,8;22,6;19,2;17,1;76;66;68;;4,2;1,1;
2025/01/01;1300 UTC;0;927,3;927,4;927,2;3196,7;25,3;17,5;25,5;23,9;19,6;17;72;61;62;;4,8;,9;
2025/01/01;1400 UTC;0;926,8;927,3;926,7;3861,2;26,6;19,6;27,1;25,2;19,9;17,1;67;59;66;;3,8;1,3;
2025/01/01;1500 UTC;0;926,3;926,8;926,3;3299,9;27,9;20,2;27,9;26,1;20,5;17,4;68;57;63;;4,6;,4;
2025/01/01;1600 UTC;0;925,6;926,3;925,6;3856,8;28,2;18,4;28,6;26,7;20;17,4;65;54;55;;4,6;,4;
2025/01/01;1700 UTC;0;924,2;925,6;924,2;3609,7;28,5;16,9;29,4;28;20;16,9;60;49;50;;4,4;,1;
2025/01/01;1800 UTC;0;923,1;924,2;923,1;3173,5;29,7;16,7;30;28,5;19,4;15,8;57;42;45;;4,2;0;
2025/01/01;1900 UTC;0;922,6;923,3;922,6;1864,9;28,1;19,1;30,3;28;19,6;16,6;60;45;58;;4,7;,1;
