REGIAO:;SE
UF:;MG
ESTACAO:;BELO HORIZONTE - PAMPULHA
CODIGO (WMO):;A521
LATITUDE:;-19,88388888
LONGITUDE:;-43,96944443
ALTITUDE:;854,02
DATA DE FUNDACAO:;10/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;918,2;918,2;917,3;;21,3;17,6;21,7;21,2;17,8;17,4;80;78;79;44;1,5;,1;
2025/01/01;0100 UTC;0;918,6;918,7;918,2;;21,3;17,7;21,5;20,9;18,1;17,6;82;79;80;44;1,4;0;
2025/01/01;0200 UTC;0;918,9;918,9;918,4;;21;17,6;21,3;20,4;18,3;17,6;86;80;81;145;2,7;0;
2025/01/01;0300 UTC;0;918,4;919;918,4;;21,4;18;21,5;20,5;18,3;17,6;85;81;81;127;2,4;,8;
2025/01/01;0400 UTC;0;917,5;918,4;917;;21,2;17,7;21,4;21,1;18,1;17,7;82;80;80;116;3,5;,7;
2025/01/01;0500 UTC;0;917,2;917,6;917,2;;19;16,2;21,5;19;17,8;16,2;84;79;84;144;6,7;2,8;
2025/01/01;0600 UTC;,4;917,3;917,3;917;;18,6;16,2;19,1;18,6;16,6;16,2;87;84;86;209;6,7;1;
2025/01/01;0700 UTC;,8;916,9;917,3;916,9;;18,1;16,3;18,6;18,1;16,4;16,1;90;86;89;203;4,3;1;
2025/01/01;0800 UTC;3,2;917,7;917,7;916,9;;17,9;16,6;18,1;17,9;16,6;16,3;92;89;92;38;2,9;,1;
2025/01/01;0900 UTC;1;918,4;918,4;917,7;3,7;18,1;16,8;18,1;17,9;16,8;16,5;93;92;93;322;2;,6;
2025/01/01;1000 UTC;,2;918,5;918,5;918,4;163,7;18,4;17,2;18,5;18;17,3;16,8;93;93;93;101;1,8;,6;
2025/01/01;1100 UTC;0;918,6;918,6;918,3;614,4;19,9;18,3;19,9;18,3;18,4;17,1;93;91;91;56;2,8;,7;
2025/01/01;1200 UTC;0;919,2;919,2;918,5;1303,5;21,3;18,1;21,3;19,9;18,6;17,1;90;79;82;72;3,1;1;
2025/01/01;1300 UTC;0;919,2;919,2;919;2000,6;23,8;18,3;24,1;21,2;19,4;17,2;82;68;72;79;4,3;1;
2025/01/01;1400 UTC;,2;918,8;919,4;918,8;2796,6;25,4;20;26;23,5;20,1;17,9;75;65;72;48;4,3;1,5;
2025/01/01;1500 UTC;0;918;918,8;918;3171;27,2;19,5;27,3;24,9;20,7;17,6;75;55;63;35;5,9;1,4;
2025/01/01;1600 UTC;0;917,3;918,1;917,3;3178,9;27,4;19;28,1;26,1;21;17,2;66;54;60;11;5;1,3;
2025/01/01;1700 UTC;0;917;917,4;916,9;1577,4;25,7;19,7;28;25,4;20,3;16,7;70;55;70;29;4,8;1,7;
2025/01/01;1800 UTC;0;916,4;917;916,2;2788,7;26,6;20,1;27,6;24,6;21,1;16,8;74;58;68;26;8,3;2,1;
2025/01/01;1900 UTC;,4;916,1;916,7;916,1;726,9;20,6;18,9;26,6;20,5;20,3;18,1;90;68;90;34;10,4;2,4;
2025/01/01;2000 UTC;,2;916,3;916,5;916;289,3;20,2;18,7;21,2;20,2;19,4;18,6;91;89;91;117;6;2,5;
