REGIAO:;SE
UF:;MG
ESTACAO:;MARIA DA FE
CODIGO (WMO):;A531
LATITUDE:;-22,31444444
LONGITUDE:;-45,37305554
ALTITUDE:;1281,43
DATA DE FUNDACAO:;01/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;874,5;874,6;873,9;;16,2;15,7;16,5;15,9;15,9;15,4;97;96;97;223;0;0;
2025/01/01;0100 UTC;,6;875,6;875,6;874,5;;17,4;16,7;17,5;16,2;16,7;15,7;97;95;95;44;0;0;
2025/01/01;0200 UTC;,2;875,3;875,6;875,3;;16,6;15,8;17,4;16,6;16,6;15,8;95;95;95;66;0;0;
2025/01/01;0300 UTC;0;874,9;875,3;874,9;;16;15,1;16,6;16;15,8;15,1;95;94;95;40;0;0;
2025/01/01;0400 UTC;,2;874,3;874,9;874,3;;16,2;15,1;16,2;15,8;15,2;15;95;94;94;117;0;0;
2025/01/01;0500 UTC;0;874,1;874,5;874,1;;15,8;14,8;16,3;15,8;15,1;14,7;94;91;94;106;0;0;
2025/01/01;0600 UTC;0;874;874,2;874;;14,5;13,9;15,8;14,5;14,8;13,9;96;94;96;228;0;0;
2025/01/01;0700 UTC;0;874,2;874,2;874;;13,6;13,1;14,6;13,6;14;13,1;97;96;97;279;0;0;
2025/01/01;0800 UTC;0;874,4;874,5;874,2;;12,8;12,4;13,8;12,8;13,4;12,4;98;97;97;170;0;0;
2025/01/01;0900 UTC;0;874,9;874,9;874,4;73,5;13,9;13,6;13,9;12,6;13,6;12,2;98;97;98;135;0;0;
