REGIAO:;SE
UF:;MG
ESTACAO:;CURVELO
CODIGO (WMO):;A538
LATITUDE:;-18,74777777
LONGITUDE:;-44,45388888
ALTITUDE:;669,48
DATA DE FUNDACAO:;18/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;938,5;938,5;938,3;;22;19,7;22,7;22;19,7;19,2;86;81;86;68;1,5;0;
2025/01/01;0100 UTC;0;939,4;939,4;938,5;;21,8;19,9;22,1;21,6;19,9;19,7;89;86;89;224;0;0;
2025/01/01;0200 UTC;,8;939,8;939,9;939,4;;21,5;19,8;21,8;21,5;20;19,8;90;89;90;229;1,2;0;
2025/01/01;0300 UTC;,4;938,6;939,8;938,6;;21;19,6;21,5;21;19,9;19,6;92;90;92;18;,9;0;
2025/01/01;0400 UTC;,6;937,6;938,6;937,6;;21,1;19,8;21,2;20,9;19,9;19,6;92;92;92;119;2,2;1,3;
2025/01/01;0500 UTC;,2;937,6;937,6;937,4;;20,9;19,7;21,1;20,9;19,9;19,7;93;92;93;222;1,7;,6;
2025/01/01;0600 UTC;,2;937,6;937,9;937,6;;20,7;19,5;21;20,7;19,8;19,5;93;93;93;191;2,1;,1;
2025/01/01;0700 UTC;,8;938;938,1;937,6;;20,7;19,6;20,7;20,6;19,6;19,4;93;93;93;205;2,3;,6;
2025/01/01;0800 UTC;3;938;938,1;938;;20,6;19,5;20,7;20,6;19,6;19,5;93;93;93;337;2,3;,1;
2025/01/01;0900 UTC;1,6;938,6;938,6;938;9;20,5;19,4;20,7;20,5;19,5;19,4;93;93;93;198;2;1,5;
2025/01/01;1000 UTC;,8;939,2;939,2;938,6;146,5;21;19,9;21;20,5;19,9;19,4;93;93;93;184;2;1,1;
2025/01/01;1100 UTC;0;939,6;939,6;939,2;338;21,5;20,3;21,5;20,9;20,3;19,7;93;92;92;86;2,5;1,5;
2025/01/01;1200 UTC;0;940,2;940,2;939,6;488,1;21,4;19,5;21,9;21,3;20,4;19,3;92;88;89;115;4,7;2,6;
2025/01/01;1300 UTC;,6;940,5;940,5;940,2;1062,4;22,1;19,5;22,4;21,2;20,3;19,4;90;85;85;153;4,4;1;
2025/01/01;1400 UTC;11,6;940,1;940,6;940,1;499;21;19,6;22,1;20,8;19,9;19,2;92;85;92;81;4,3;2,1;
2025/01/01;1500 UTC;,2;939,6;940,1;939,6;860,6;21,8;20,2;21,8;20,9;20,3;19,5;92;90;90;81;4,3;1,7;
2025/01/01;1600 UTC;,2;939,4;939,6;939,3;1603,1;21,6;19,2;23,5;21,3;21,3;18,5;91;83;86;349;8,7;1,9;
2025/01/01;1700 UTC;1,4;938,9;939,6;938,8;189,2;20,9;19,2;21,6;20,9;19,2;18,7;90;85;90;43;4,4;1,2;
2025/01/01;1800 UTC;1,4;938;939,1;938;322,5;21,4;19,6;21,4;20,6;19,7;19;91;90;90;349;3,7;,9;
2025/01/01;1900 UTC;,4;937,2;938;937,2;240,4;21;19,4;21,4;21;19,7;19,3;91;89;91;345;4,9;1,9;
2025/01/01;2000 UTC;,6;937,2;937,5;937,1;119,3;20,7;19,2;21,1;20,7;19,4;19,2;91;91;91;354;5,1;1,6;
2025/01/01;2100 UTC;0;937;937,3;936,9;380,8;21,3;19,6;21,3;20,7;19,7;19,2;91;90;90;336;3,9;,8;
2025/01/01;2200 UTC;0;937,8;937,8;937;98,6;20,6;19;21,4;20,6;19,8;19;90;89;90;48;3,5;1;
2025/01/01;2300 UTC;0;937,9;938;937,7;;20,3;18,9;20,6;20,3;19,1;18,8;92;90;92;83;3,1;1,4;
2025/01/02;0000 UTC;0;938,7;938,7;937,9;;20,1;18,9;20,3;20,1;19;18,8;93;92;93;100;2,1;,5;
2025/01/02;0100 UTC;0;939,9;939,9;938,7;;19,8;18,6;20,1;19,6;18,9;18,4;93;92;93;181;2,4;,8;
2025/01/02;0200 UTC;0;939,7;940,2;939,7;;19,7;18,5;19,9;19,7;18,7;18,5;93;93;93;222;1,2;,1;
2025/01/02;0300 UTC;0;938,9;939,7;938,9;;19,2;18,1;19,7;19,1;18,6;18;93;93;93;328;2,1;,4;
2025/01/02;0400 UTC;0;938,5;939;938,5;;19,5;18,4;19,6;19,2;18,5;18,1;93;93;93;13;2,1;1,2;
2025/01/02;0500 UTC;0;938,2;938,6;938,1;;19,4;18,3;19,6;19,3;18,5;18,2;93;93;93;347;2,1;,5;
2025/01/02;0600 UTC;0;938,1;938,2;938;;19,4;18,4;19,5;19,3;18,4;18,2;94;93;94;50;1,8;0;
2025/01/02;0700 UTC;0;937,8;938,1;937,8;;19,6;18,5;19,6;19,3;18,6;18,2;94;93;94;116;1,3;0;
2025/01/02;0800 UTC;0;938,5;938,5;937,8;;19,7;18,6;19,7;19,6;18,6;18,5;94;94;94;86;1,8;0;
2025/01/02;0900 UTC;0;939;939;938,5;41,3;19,7;18,7;19,7;19,6;18,7;18,5;94;94;94;28;1,4;0;
2025/01/02;1000 UTC;0;939,6;939,6;938,9;566,3;21,3;20,1;21,3;19,7;20,2;18,7;94;93;93;53;0;0;
2025/01/02;1100 UTC;0;940;940,1;939,6;1017,4;22,6;19,4;22,9;21,3;20,4;19,4;93;82;82;338;3,3;1,2;
2025/01/02;1200 UTC;0;940,2;940,2;940;1508,8;23,6;19,9;23,6;22,4;19,9;19;83;78;79;342;5,1;1,7;
2025/01/02;1300 UTC;0;940,3;940,3;940,1;2117,2;24;18,1;25;23,6;19,8;18;79;66;70;324;6,5;2,8;
2025/01/02;1400 UTC;0;939,8;940,3;939,8;1631,3;25,5;18,9;25,5;23,9;19,2;18,1;73;66;67;343;5,6;1,2;
2025/01/02;1500 UTC;0;938,8;939,8;938,8;2762,4;27,3;19;27,3;25,2;20,1;17,7;69;58;61;339;5,6;1,6;
2025/01/02;1600 UTC;0;937,7;938,8;937,7;3117,3;28,1;17,9;28,7;26,7;19,5;17,4;62;52;54;360;5,8;2,5;
2025/01/02;1700 UTC;0;936,8;937,7;936,8;2024,6;29;18;29;27,3;18,9;17,1;60;49;51;322;7,6;3,7;
2025/01/02;1800 UTC;0;935,9;936,8;935,9;2826,5;29;17,7;29,5;28,1;19,3;17,1;55;49;51;315;8;2,9;
2025/01/02;1900 UTC;0;935,1;935,9;935,1;2059,7;28,6;17,9;29,7;28,4;19,3;17,3;56;48;53;14;6,1;2;
2025/01/02;2000 UTC;5,2;935,2;935,5;935;909,1;25,6;19,3;28,6;22,9;20,4;17,7;83;52;68;313;9,2;,8;
2025/01/02;2100 UTC;0;934,8;935,2;934,8;572,6;25,4;20;25,6;24,1;20,9;19,2;79;67;72;100;3;,2;
2025/01/02;2200 UTC;0;935,7;935,7;934,8;103,6;24,2;20,8;25,4;24,2;20,9;19,9;81;72;81;52;3,1;1,7;
2025/01/02;2300 UTC;0;936,6;936,6;935,7;;23,6;20;24,2;23,6;20,8;19,8;82;77;80;64;3,1;1,7;
2025/01/03;0000 UTC;0;937,3;937,3;936,6;;23;20,2;23,6;22,9;20,5;20;86;80;84;43;2,9;,1;
2025/01/03;0100 UTC;1,4;939,1;939,2;937,3;;20,7;19;23,1;20,7;20,3;18,4;90;81;90;266;14,8;5,4;
2025/01/03;0200 UTC;3;938,4;939,2;938,4;;20,5;18,8;20,8;20,5;19;18,7;91;89;90;169;9,9;0;
2025/01/03;0300 UTC;,4;937,7;938,4;937,6;;20,5;19;20,6;20,4;19;18,7;91;90;91;35;1,9;,7;
2025/01/03;0400 UTC;0;937,2;937,8;937,2;;20,1;18,8;20,5;20;19;18,7;92;91;92;44;4,9;2,2;
2025/01/03;0500 UTC;0;937,1;937,2;937,1;;20;18,8;20,1;19,9;18,8;18,7;93;92;92;109;4,1;0;
2025/01/03;0600 UTC;,2;936,6;937,1;936,5;;20;18,8;20,1;20;18,9;18,7;93;92;92;278;1,1;0;
2025/01/03;0700 UTC;,4;937;937,1;936,4;;20,1;18,8;20,2;20;18,9;18,7;93;92;92;296;1,4;0;
2025/01/03;0800 UTC;,4;936,8;937,1;936,8;;20,2;18,9;20,4;20,1;19,1;18,7;92;91;92;101;2,3;1,5;
2025/01/03;0900 UTC;0;937,3;937,3;936,7;21,6;20,2;19;20,3;20,1;19;18,8;93;92;93;16;2,3;,9;
2025/01/03;1000 UTC;0;938,1;938,1;937,3;282,6;20,8;19,5;20,9;20,2;19,6;18,9;93;92;92;33;2,2;1,2;
2025/01/03;1100 UTC;0;938,5;938,5;938,1;596,8;22;20;22;20,8;20,2;19,6;93;89;89;5;2,3;,5;
2025/01/03;1200 UTC;8,2;938,9;939,1;938,5;1089,9;21;19,2;23,2;21;20,4;19,1;90;81;90;341;4,9;2,1;
2025/01/03;1300 UTC;8,4;939,5;939,6;938,9;214,9;21,1;19,7;21,1;20,6;19,7;19,1;92;90;92;354;4,9;,8;
2025/01/03;1400 UTC;2;939,2;939,6;939,1;1318,3;22,4;20,1;22,4;20,5;20,3;18,6;92;86;87;347;8,3;3,1;
2025/01/03;1500 UTC;0;938,8;939,2;938,8;1855,9;22,3;19,9;23;22;20,5;18,8;87;81;87;26;8,3;2,7;
2025/01/03;1600 UTC;0;937,8;938,8;937,8;2433,3;22,7;19,6;23,4;22,1;20,8;19,1;87;82;83;53;5,7;2,6;
2025/01/03;1700 UTC;0;936,9;937,8;936,8;1512,5;23,3;19,6;23,6;22,6;20,1;19,3;84;79;80;66;5,8;2,9;
2025/01/03;1800 UTC;0;935,1;936,9;935,1;2700,5;25;19,6;25,6;23,3;20,9;19,5;81;72;72;42;5,5;2,8;
2025/01/03;1900 UTC;,2;934,6;935,1;934,5;2596,6;26,1;20,3;26,3;24,9;21;19,7;75;69;70;85;5,1;2,4;
2025/01/03;2000 UTC;0;934,7;934,8;934,5;740,7;25,3;20,2;26,1;25,2;20,7;19,8;74;70;74;95;4,6;2;
2025/01/03;2100 UTC;0;934,9;934,9;934,4;117,1;24,5;20,3;25,3;24,5;20,3;20,1;77;73;77;107;3,4;2;
2025/01/03;2200 UTC;0;935,3;935,3;934,9;4,8;24;20,2;24,5;24;20,2;20,1;79;77;79;77;3,8;1,6;
2025/01/03;2300 UTC;0;936;936,1;935,2;;23,2;20;24;23,2;20,3;19,9;82;79;82;102;3,7;1,6;
2025/01/04;0000 UTC;3,4;938,1;938,1;935,9;;21;18,6;23,2;21;20,4;18,6;88;82;86;238;9,2;5,5;
2025/01/04;0100 UTC;12,6;938;938,8;938;,4;19,5;18,4;21;19,1;18,4;17,6;93;86;93;81;10,2;1,8;
2025/01/04;0200 UTC;1,4;937,8;938;937,5;;19,8;18,6;19,9;19,5;18,7;18,4;93;93;93;58;2,6;1,2;
2025/01/04;0300 UTC;1,2;937,9;937,9;937,2;;19,8;18,6;19,9;19,8;18,8;18,6;93;93;93;133;3,7;1,6;
2025/01/04;0400 UTC;8,4;938,1;938,2;937,3;;19,7;18,6;19,8;19,5;18,7;18,3;93;93;93;231;5;1,3;
2025/01/04;0500 UTC;14;937,1;938,2;937;;19,2;18,2;19,7;19,2;18,5;18,1;94;93;94;63;6,5;2,1;
