REGIAO:;SE
UF:;MG
ESTACAO:;MANTENA
CODIGO (WMO):;A540
LATITUDE:;-18,78062
LONGITUDE:;-40,986505
ALTITUDE:;254,91
DATA DE FUNDACAO:;01/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;983,6;983,6;983,2;;23,7;22,3;23,9;23,7;22,5;22,3;92;92;92;241;1,9;0;
2025/01/01;0100 UTC;0;984,1;984,1;983,6;;23,7;22,3;23,8;23,6;22,4;22,3;92;92;92;196;1,1;0;
2025/01/01;0200 UTC;0;984;984,1;983,9;;23,5;22,2;23,8;23,5;22,4;22,1;92;92;92;157;1;,1;
2025/01/01;0300 UTC;0;983,4;984,1;983,4;;23,3;21,9;23,5;23,2;22,2;21,9;92;92;92;174;1,4;,4;
2025/01/01;0400 UTC;0;983,3;983,4;983,2;;23,1;21,7;23,3;23;22;21,6;92;92;92;232;1,4;,1;
2025/01/01;0500 UTC;0;982,6;983,3;982,6;;23;21,7;23,2;23;21,9;21,7;92;92;92;171;,9;,3;
2025/01/01;0600 UTC;0;982,2;982,7;982,2;;23,1;21,8;23,1;22,9;21,8;21,6;93;92;92;224;1;,2;
2025/01/01;0700 UTC;,2;982,4;982,5;982,2;;23;21,8;23,1;22,9;21,8;21,7;93;92;93;164;1;,1;
2025/01/01;0800 UTC;1,2;982,7;982,7;982,3;;22,9;21,7;23,1;22,9;21,8;21,7;93;93;93;111;,9;0;
2025/01/01;0900 UTC;,2;983,7;983,7;982,7;48,5;23,2;22;23,3;22,9;22,1;21,7;93;93;93;207;,9;,1;
2025/01/01;1000 UTC;,2;984,3;984,3;983,7;148,9;23,6;22,4;23,6;23,1;22,4;21,9;93;93;93;281;,7;0;
2025/01/01;1100 UTC;1,4;984,7;984,8;984,3;173,2;23,9;22,6;23,9;23,5;22,6;22,3;93;92;92;295;,2;0;
2025/01/01;1200 UTC;0;985,1;985,1;984,7;431,1;24,5;22;24,6;23,8;23;21,9;92;86;86;215;1,3;,1;
2025/01/01;1300 UTC;,2;985,7;985,7;985,1;456,7;24,7;21,4;24,8;24,1;22,4;21,3;87;81;82;248;2;,1;
2025/01/01;1400 UTC;,6;985,3;985,9;985,3;497,8;24,3;21,1;24,7;24,2;21,7;20,8;84;80;82;197;1,7;,3;
2025/01/01;1500 UTC;,4;984,8;985,3;984,8;414,5;24,5;22,1;24,7;24,3;22,1;21,1;86;82;86;233;1,3;0;
2025/01/01;1600 UTC;,8;984,2;984,8;984,2;403,6;24,9;22;24,9;24,4;22,1;21,4;86;82;84;120;1,1;0;
2025/01/01;1700 UTC;1,6;984,2;984,4;984,2;259,6;23,9;22,1;25,1;23,9;22,3;21,4;89;83;89;210;1,9;,7;
2025/01/01;1800 UTC;,6;983,4;984,2;983,3;294;24,6;22,6;24,6;23,8;22,6;21,8;90;88;89;255;1,9;0;
2025/01/01;1900 UTC;,4;983,4;983,5;983,3;248,4;24,6;22,3;24,7;24,4;22,6;22,2;89;87;87;245;1,1;0;
2025/01/01;2000 UTC;,2;983;983,4;983;226,7;24,4;22,1;24,8;24,4;22,6;22;88;85;87;64;1,4;0;
2025/01/01;2100 UTC;0;982,8;983,1;982,7;64,6;23,9;22,2;24,4;23,9;22,3;21,8;90;86;90;191;0;0;
2025/01/01;2200 UTC;0;983;983;982,6;3,7;23,4;21,9;23,9;23,4;22,3;21,9;92;90;92;233;1,3;,1;
2025/01/01;2300 UTC;0;983,5;983,5;983;;23;21,6;23,4;23;22;21,6;92;92;92;301;1,1;0;
2025/01/02;0000 UTC;0;984;984;983,5;;22,6;21,3;23;22,6;21,7;21,3;93;92;92;138;,7;0;
2025/01/02;0100 UTC;0;984,6;984,6;984;;22,6;21,3;22,6;22,5;21,4;21,3;93;92;93;87;1,1;0;
2025/01/02;0200 UTC;0;984,9;985;984,6;;22,5;21,3;22,6;22,4;21,4;21,2;93;92;93;188;1,1;0;
2025/01/02;0300 UTC;0;984,7;984,9;984,7;;22,4;21,2;22,5;22,3;21,3;21,1;93;93;93;205;,9;,2;
2025/01/02;0400 UTC;0;983,8;984,7;983,6;;22,2;20,9;22,4;22,2;21,2;20,9;93;93;93;232;3,1;,9;
2025/01/02;0500 UTC;0;983,1;983,8;983,1;;22,4;21;22,4;22,1;21;20,8;93;92;92;223;3,1;0;
2025/01/02;0600 UTC;0;982,3;983,1;982,3;;22,3;20,9;22,4;22,2;21;20,7;92;91;92;146;1,6;,1;
2025/01/02;0700 UTC;0;982,5;982,5;982,3;;22,1;20,7;22,3;22,1;20,8;20,6;92;91;92;343;1,6;,1;
2025/01/02;0800 UTC;0;983;983;982,5;;22,3;20,9;22,3;22,1;21;20,7;92;92;92;186;,9;,3;
2025/01/02;0900 UTC;0;983,4;983,4;983;22,4;22,4;21;22,4;22,2;21;20,9;92;92;92;23;1,4;,3;
2025/01/02;1000 UTC;0;984;984;983,4;171,2;23,4;22;23,4;22,4;22;21;92;92;92;265;1,1;0;
2025/01/02;1100 UTC;0;984,5;984,5;984;518,3;24,6;21,8;24,6;23,4;22,5;21,4;92;85;85;139;1,1;0;
2025/01/02;1200 UTC;0;984,7;984,7;984,5;988,4;26,2;21;26,4;24,6;22,2;20,3;85;73;73;263;1,7;,4;
2025/01/02;1300 UTC;0;984,5;984,7;984,5;1736,5;27,7;20,9;27,9;25,8;21,8;20,3;75;65;67;212;1,9;,3;
2025/01/02;1400 UTC;0;983,9;984,5;983,9;2830,2;30;20,6;30,1;27;22,1;19,2;70;55;57;297;4,1;1,6;
2025/01/02;1500 UTC;0;983,2;983,9;983,2;2998,8;30,3;20,7;30,9;29,5;22;19;61;51;57;319;4,8;1;
2025/01/02;1600 UTC;0;982,2;983,2;982,2;2525,8;32,2;18,9;32,5;30,3;22;18,6;59;46;46;340;7;2,7;
2025/01/02;1700 UTC;0;981,1;982,2;981,1;2219,8;31,2;19,3;32,3;30,4;20,9;17,9;53;45;49;282;7;4,1;
2025/01/02;1800 UTC;0;980,9;981,1;980,9;1121,2;29,8;19,6;32,5;29,8;21;19,2;55;47;55;328;7,6;2,4;
2025/01/02;1900 UTC;0;980,5;980,9;980,5;515,4;29,9;20;30,1;29,5;20,5;19,3;57;53;56;333;5,1;1,7;
2025/01/02;2000 UTC;0;980,4;980,5;980,3;420,5;28,6;20,3;30,9;28,6;20,7;19,1;61;51;61;17;4,2;1,5;
2025/01/02;2100 UTC;0;980,7;980,8;980,3;140,1;27,9;20,4;28,6;27,9;20,8;19,7;64;59;64;16;3,2;,3;
2025/01/02;2200 UTC;0;981,1;981,1;980,6;8,7;27;21,2;27,9;27;21,3;19,8;71;62;71;88;4,4;1,1;
2025/01/02;2300 UTC;0;981,4;981,4;981;;26,1;21,6;27;26,1;21,6;21,1;76;71;76;268;2,9;0;
2025/01/03;0000 UTC;0;982,1;982,1;981,4;;24,8;21,9;26,1;24,8;21,9;21,5;84;76;84;289;1;,1;
2025/01/03;0100 UTC;0;982,8;982,8;982,1;;24,3;21,5;24,9;24,3;22;21,4;85;82;85;269;2,6;,1;
2025/01/03;0200 UTC;0;982,7;982,8;982,6;;24,2;21,7;24,5;24,2;21,7;21,5;86;84;86;284;,9;0;
2025/01/03;0300 UTC;0;982,1;982,7;982,1;;23,8;21,5;24,5;23,8;21,8;21,5;87;84;87;267;0;0;
2025/01/03;0400 UTC;0;981,7;982,1;981,7;;23,6;21,6;23,9;23,6;21,8;21,4;89;87;88;231;1,1;0;
2025/01/03;0500 UTC;0;981,1;981,7;981,1;;23,5;21,7;23,6;23,3;21,7;21,5;90;88;90;240;1,1;,3;
2025/01/03;0600 UTC;0;980,9;981,2;980,8;;23,2;21,4;23,5;23,2;21,7;21,4;90;88;90;267;1,1;0;
2025/01/03;0700 UTC;0;981;981,2;980,9;;23,2;21,7;23,2;23,1;21,7;21,4;91;90;91;172;1,4;0;
2025/01/03;0800 UTC;0;981,2;981,2;980,8;;23,2;21,8;23,2;23,1;21,8;21,6;92;91;92;116;,2;0;
2025/01/03;0900 UTC;0;982,2;982,2;981,1;3,2;23,2;21,8;23,2;23;21,8;21,6;92;92;92;148;2,1;,6;
2025/01/03;1000 UTC;0;982,5;982,5;982,1;37;22,4;19,2;23,7;22,3;21,8;18,7;92;76;82;221;4,3;,5;
2025/01/03;1100 UTC;,6;982,7;982,7;982,4;224,2;23,2;20,2;23,3;22,4;20,6;19,3;86;82;83;273;1,6;,1;
2025/01/03;1200 UTC;,2;982,9;983;982,7;515,3;24,7;20,7;24,7;23,2;20,9;19,9;84;78;79;269;1,3;0;
2025/01/03;1300 UTC;0;983,3;983,4;982,9;653,6;25,4;21,8;25,4;24;21,9;20,1;81;77;80;242;2;,5;
2025/01/03;1400 UTC;0;983,1;983,4;983;1199,2;27;21,2;27,5;25,4;22,7;20,9;80;71;71;190;2,7;,7;
2025/01/03;1500 UTC;0;982,2;983;982,2;1536,8;28;21,9;28,6;26,5;22,8;20,8;74;67;70;134;2,5;,6;
2025/01/03;1600 UTC;0;981,2;982,2;981,2;1659,8;30;22,6;30;28;23,4;21,5;72;63;65;47;3,3;,6;
2025/01/03;1700 UTC;0;980,2;981,2;980,2;1821,9;30,1;22,2;31,3;29,6;23,8;21,7;70;60;63;77;3,3;1,6;
2025/01/03;1800 UTC;0;979,5;980,2;979,5;990,8;29,7;21,8;31;29,4;23,2;21,5;66;61;63;70;3,9;1,4;
2025/01/03;1900 UTC;0;979,2;979,5;979,1;611,7;28,8;21,9;29,9;28,8;22,1;21;66;60;66;73;4,2;1,9;
2025/01/03;2000 UTC;0;979,5;979,5;979;321,4;27,5;21,5;28,8;27,5;22,6;21,5;72;66;70;68;6,5;2,3;
2025/01/03;2100 UTC;0;979,9;979,9;979,5;142;25,9;19,7;27,5;25,9;21,3;19,6;72;67;69;20;6,5;1,2;
2025/01/03;2200 UTC;0;981,2;981,4;979,9;5,2;24,8;20,4;25,9;24,8;20,6;19,6;77;68;76;83;3,1;,4;
2025/01/03;2300 UTC;0;981,4;981,5;981,2;;24,5;20,2;24,9;24,4;20,5;20,1;78;75;77;191;2,6;,2;
2025/01/04;0000 UTC;0;981,8;981,9;981,4;;24;20,1;24,5;24;20,4;20,1;80;77;79;119;1,6;0;
2025/01/04;0100 UTC;0;982,5;982,5;981,8;;23,7;20,5;24;23,7;20,6;20,1;82;79;82;246;,8;0;
2025/01/04;0200 UTC;0;982,5;982,5;982,4;;23,3;20,7;23,7;23,3;21;20,5;86;82;85;137;1,3;0;
2025/01/04;0300 UTC;,2;981,5;982,5;981,5;;22,9;20,9;23,3;22,9;21,1;20,7;89;85;89;110;,9;,2;
2025/01/04;0400 UTC;0;981;981,5;981;;22,7;20,9;22,9;22,7;21;20,8;90;88;90;19;,9;0;
2025/01/04;0500 UTC;0;980,5;981;980,4;;22,4;20,8;22,7;22,4;21;20,8;91;90;91;239;1,9;0;
2025/01/04;0600 UTC;0;980,4;980,5;980,3;;22,2;20,5;22,5;22,2;20,9;20,5;91;90;90;131;0;0;
2025/01/04;0700 UTC;0;981,3;981,3;980,4;;22,2;20,7;22,3;22,1;20,7;20,4;91;90;91;268;2,9;1,8;
2025/01/04;0800 UTC;0;981,8;981,8;981,2;;22,7;19,9;22,7;22,1;20,7;19,9;91;84;84;295;2,9;1,1;
2025/01/04;0900 UTC;,2;981,9;981,9;981,7;10,7;22,3;20,3;22,7;22,2;20,3;19,8;88;84;88;197;3,2;,1;
2025/01/04;1000 UTC;,4;982,4;982,4;981,7;80,8;22,1;20,2;22,4;22,1;20,4;20,1;89;88;89;271;3,5;1,6;
2025/01/04;1100 UTC;,8;983,7;983,7;982,4;85,4;21,6;20,1;22,2;21,6;20,7;20,1;91;89;91;278;3,5;1,7;
2025/01/04;1200 UTC;2,8;983,3;983,7;983,3;116,7;21,8;20,5;21,9;21,5;20,6;20,1;92;91;92;173;3,1;,2;
2025/01/04;1300 UTC;3;983,4;983,6;983,2;597,8;23,7;21,4;23,7;21,8;21,9;20,6;92;87;87;291;2,9;,6;
2025/01/04;1400 UTC;2,4;983,3;983,5;983,3;1037,5;24,3;20,6;24,3;23,5;21,6;20,4;87;79;80;289;8;4,1;
2025/01/04;1500 UTC;2,2;982,6;983,3;982,6;729;24,9;21,3;24,9;24;21,3;20,5;84;79;81;323;8;1,4;
2025/01/04;1600 UTC;1,4;982,4;982,6;982,2;561,3;25,4;21,3;25,4;24,6;21,5;20,5;81;77;78;328;4;1,4;
2025/01/04;1700 UTC;,2;981,2;982,4;981,2;924,4;26,1;21,9;26,6;25,1;21,9;20,3;78;69;78;28;3,5;,8;
2025/01/04;1800 UTC;0;980,1;981,2;980,1;744,2;26,4;20,7;26,7;25,8;21,7;20,3;77;69;71;348;3,3;,4;
2025/01/04;1900 UTC;0;979,5;980,1;979,5;652,1;26,3;20,6;26,7;26;21,6;20,5;75;70;71;44;3;1,3;
2025/01/04;2000 UTC;0;979,4;979,5;979,2;750,9;26,5;21,8;26,9;26,3;22,1;20,8;76;71;75;115;3,4;1,4;
2025/01/04;2100 UTC;0;979,2;979,5;979,2;116;25,1;21,7;26,5;25,1;21,8;21,5;81;75;81;106;3,4;,7;
2025/01/04;2200 UTC;0;979,6;979,7;979,2;5,3;24,3;21,6;25,1;24,3;21,8;21,6;85;82;85;342;2,2;,2;
2025/01/04;2300 UTC;,2;980,1;980,2;979,5;;23,5;21,7;24,3;23,5;21,9;21,6;90;85;90;286;1,1;0;
2025/01/05;0000 UTC;0;981,3;981,3;980,1;;23,2;21,6;23,5;23,2;21,9;21,6;91;90;91;254;1,9;0;
2025/01/05;0100 UTC;0;981,6;981,7;981,3;;23;21,5;23,2;23;21,6;21,5;91;91;91;209;1,5;0;
2025/01/05;0200 UTC;0;981;981,7;981;;22,8;21,4;23,2;22,8;21,7;21,4;92;91;92;252;1;,1;
2025/01/05;0300 UTC;0;980,7;981;980,7;;22,8;21,4;22,9;22,7;21,5;21,3;92;92;92;33;1,5;0;
2025/01/05;0400 UTC;0;980,1;980,7;980,1;;22,6;21,2;22,9;22,6;21,5;21,2;92;92;92;7;1,7;0;
2025/01/05;0500 UTC;0;979,9;980,2;979,9;;22,3;20,9;22,6;22,2;21,3;20,9;92;92;92;226;1,2;0;
2025/01/05;0600 UTC;0;979,5;979,9;979,5;;22,2;20,9;22,3;22,2;21;20,8;92;92;92;283;,7;0;
2025/01/05;0700 UTC;0;979,5;979,6;979,4;;22,1;20,8;22,2;22,1;20,9;20,8;93;92;93;259;1,1;,2;
2025/01/05;0800 UTC;0;980,2;980,2;979,4;;22,1;20,9;22,2;22,1;20,9;20,8;93;93;93;283;1,1;0;
2025/01/05;0900 UTC;0;980,8;980,8;980,2;37,3;22,4;21,3;22,4;22,1;21,3;20,9;93;93;93;41;0;0;
2025/01/05;1000 UTC;0;981,4;981,4;980,8;300,1;23,8;22,6;23,8;22,4;22,6;21,2;93;93;93;19;0;0;
2025/01/05;1100 UTC;0;981,6;981,6;981,4;428,7;24,6;22,6;24,6;23,8;22,9;22;93;89;89;39;2,6;1;
2025/01/05;1200 UTC;0;982,3;982,3;981,6;735;25,3;22,3;25,8;24,6;23,1;22,1;89;82;83;43;2,6;1,1;
2025/01/05;1300 UTC;0;982,2;982,3;982;706,6;26;22,3;26,3;25,3;22,6;21,9;84;78;80;51;2,9;,5;
2025/01/05;1400 UTC;0;982,2;982,5;981,9;611,9;26,7;22,4;27,1;26;23,2;22,2;82;76;77;29;3,5;,5;
2025/01/05;1500 UTC;0;982,1;982,3;982,1;500,8;26,2;22,9;27,2;26,2;23,2;22,2;82;77;82;61;1,9;,4;
2025/01/05;1600 UTC;,8;981,8;982,2;981,7;389,9;26,1;23,7;26,2;25,5;23,7;22,8;88;82;87;82;2,6;,7;
2025/01/05;1700 UTC;,4;981,2;981,8;981,2;655,3;26,5;23,5;26,6;26;24;23;87;82;83;111;2,6;,2;
2025/01/05;1800 UTC;0;980,8;981,3;980,8;905,9;26,9;23,2;27,1;26,4;24,1;23,1;85;80;80;96;3;1,5;
2025/01/05;1900 UTC;,2;979,8;980,8;979,8;442,8;26,3;23,1;26,9;26,3;23,7;22,9;85;79;83;75;4,2;1,5;
2025/01/05;2000 UTC;0;979,8;979,8;979,3;407,1;26,1;22,7;26,4;26,1;23,3;22,5;84;80;81;118;4,5;1,6;
2025/01/05;2100 UTC;0;980,7;980,7;979,8;127,3;25,6;21,7;26,3;25,6;22,6;21,7;81;79;79;52;4,3;,5;
2025/01/05;2200 UTC;0;981,2;981,3;980,6;;24,6;22,4;25,6;24,6;22,4;21,7;87;79;87;294;2,4;0;
2025/01/05;2300 UTC;0;982,1;982,1;981,2;;24,8;22,7;24,9;24,6;22,7;22,3;88;87;88;350;2,2;0;
2025/01/06;0000 UTC;0;982,6;982,6;982;;24,8;22,7;24,9;24,7;22,8;22,6;88;88;88;101;3,1;1,4;
2025/01/06;0100 UTC;0;982,9;983;982,7;;24,6;22,4;24,8;24,6;22,7;22,4;88;88;88;94;3,8;1,2;
2025/01/06;0200 UTC;0;982,6;983;982,6;;24,5;22,4;24,6;24,5;22,5;22,4;88;88;88;87;3,2;1,2;
