REGIAO:;SE
UF:;MG
ESTACAO:;CAPELINHA
CODIGO (WMO):;A541
LATITUDE:;-17,70555555
LONGITUDE:;-42,38916666
ALTITUDE:;932,06
DATA DE FUNDACAO:;31/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;910,5;910,5;909,9;;20,1;19,1;20,3;20,1;19,3;19,1;94;93;94;144;3,4;,7;
2025/01/01;0100 UTC;;910,9;910,9;910,5;;20;19,1;20,1;20;19,1;19;94;94;94;176;1,9;,6;
2025/01/01;0200 UTC;;911,1;911,1;910,9;;20,1;19,2;20,1;19,9;19,2;19;95;94;95;108;1,9;0;
2025/01/01;0300 UTC;;910,3;911,1;910,3;;20;19,1;20,1;20;19,2;19,1;95;95;95;118;1,3;0;
2025/01/01;0400 UTC;;910;910,3;910;;19,7;18,9;20;19,7;19,1;18,9;95;95;95;259;1;0;
2025/01/01;0500 UTC;;909,4;910;909,4;;19,7;18,9;19,8;19,6;19;18,8;95;95;95;165;1,8;,3;
2025/01/01;0600 UTC;;909,2;909,4;909,1;;19,5;18,8;19,7;19,5;18,9;18,7;95;95;95;44;1,1;0;
2025/01/01;0700 UTC;;909,1;909,3;909,1;;19,4;18,7;19,5;19,4;18,7;18,6;96;95;95;107;,7;0;
2025/01/01;0800 UTC;;909,5;909,5;909,1;;19,4;18,6;19,4;19,3;18,7;18,6;96;95;96;133;1;0;
2025/01/01;0900 UTC;;910,1;910,1;909,5;11,4;19,4;18,7;19,4;19,4;18,7;18,6;96;96;96;104;,4;0;
2025/01/01;1000 UTC;;911;911;910,1;78,5;19,7;18,9;19,7;19,4;19;18,7;96;96;96;195;1,8;,2;
