REGIAO:;SE
UF:;MG
ESTACAO:;ESPINOSA
CODIGO (WMO):;A543
LATITUDE:;-14,91222222
LONGITUDE:;-42,80861111
ALTITUDE:;565,36
DATA DE FUNDACAO:;14/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;948,5;948,5;948,3;;24;;24,2;23,9;;;;;;164;1,2;,6;
2025/01/01;0100 UTC;0;948,6;948,6;948,5;;23,5;;24;23,5;;;;;;246;2,7;1,2;
2025/01/01;0200 UTC;0;948,5;948,7;948,5;;22,9;;23,5;22,9;;;;;;213;2,5;1,3;
2025/01/01;0300 UTC;0;948,1;948,5;948;;22,6;;22,9;22,6;;;;;;248;4,3;2,6;
2025/01/01;0400 UTC;0;947,6;948,1;947,6;;22,1;;22,6;22;;;;;;228;4,3;1,4;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;0;948,8;948,8;948,1;275,2;24,6;;24,6;23;;;;;;86;4,1;1,9;
2025/01/01;1100 UTC;0;949,1;949,1;948,8;1097,4;25,6;;25,7;24,6;;;;;;86;7,3;3,7;
2025/01/01;1200 UTC;0;949,5;949,6;949,1;1538,2;26,6;;26,6;25,5;;;;;;97;8;4,1;
2025/01/01;1300 UTC;0;949,9;949,9;949,5;1956,5;27,6;;27,6;26,4;;;;;;108;8,6;3;
2025/01/01;1400 UTC;0;949,7;950;949,6;3393,8;28,6;;29;27,3;;;;;;81;7,3;3;
2025/01/01;1500 UTC;0;949,2;949,7;949,2;3854,9;29;;30,8;28,4;;;;;;87;5,9;2,4;
2025/01/01;1600 UTC;0;948,7;949,2;948,7;2487;30;;30;29;;;;;;17;5,8;,6;
2025/01/01;1700 UTC;0;948;948,7;948;2249,2;31;;31,3;29,5;;;;;;91;4,8;2,1;
2025/01/01;1800 UTC;0;946,9;948;946,9;2507,1;31,1;;31,9;29,9;;;;;;92;4,9;1,5;
2025/01/01;1900 UTC;0;946,5;946,9;946,5;2115,5;32,3;;32,3;30,5;;;;;;163;4,4;1,9;
2025/01/01;2000 UTC;0;946,2;946,5;946,1;843,3;30,3;;32,3;30,3;;;;;;162;4,9;2,5;
2025/01/01;2100 UTC;0;946,1;946,3;946,1;209;28,4;;30,3;28,4;;;;;;175;4,7;2;
2025/01/01;2200 UTC;0;946,3;946,4;946;22,9;26,7;;28,4;26,7;;;;;;205;3,6;1,5;
2025/01/01;2300 UTC;0;946,9;946,9;946,3;;26,1;;26,7;26,1;;;;;;225;2,4;1,1;
2025/01/02;0000 UTC;0;947,7;947,7;946,9;;26,2;;26,5;26;;;;;;199;4;2;
2025/01/02;0100 UTC;0;948,5;948,5;947,7;;25,9;;26,3;25,9;;;;;;198;5,6;1,9;
2025/01/02;0200 UTC;0;948,8;948,8;948,5;;25,4;;25,9;25,4;;;;;;193;4,1;1,7;
2025/01/02;0300 UTC;0;948,1;948,9;948,1;;25,2;;25,4;25;;;;;;217;3,4;1,2;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0900 UTC;0;948,4;948,5;948;13;23,7;;24;23,7;;;;;;198;2,6;,6;
2025/01/02;1000 UTC;0;949,2;949,3;948,4;280,8;25,1;;25,1;23,7;;;;;;321;2,1;,3;
2025/01/02;1100 UTC;0;949,6;949,6;949,2;1285,1;27,2;;27,3;25,1;;;;;;97;4,9;2,5;
2025/01/02;1200 UTC;0;949,7;949,7;949,5;1524,1;28,8;;28,8;26,8;;;;;;108;5,9;1,9;
2025/01/02;1300 UTC;0;949,9;950;949,7;2297,2;29,2;;29,8;28,8;;;;;;103;5,4;2,2;
2025/01/02;1400 UTC;0;949,4;949,9;949,4;2384,7;29,4;;30,6;29,2;;;;;;92;4,3;1,1;
2025/01/02;1500 UTC;0;948,5;949,4;948,5;2964,5;31,5;;31,8;29,4;;;;;;161;4,7;1,9;
2025/01/02;1600 UTC;0;947,8;948,5;947,8;2454,3;32,4;;32,9;31;;;;;;79;5;1,9;
2025/01/02;1700 UTC;0;946,8;947,8;946,8;2358,9;32,4;;32,7;31,4;;;;;;63;6,2;2,3;
2025/01/02;1800 UTC;0;946,1;946,9;946;1406,8;32,3;;32,4;31,4;;;;;;118;5,1;1,7;
2025/01/02;1900 UTC;0;945,5;946,1;945,5;1272,5;31,6;;32,4;31,3;;;;;;12;4;2,1;
2025/01/02;2000 UTC;0;945,4;945,5;945,3;1418,5;31,5;;32,5;31,3;;;;;;2;4,6;2,1;
2025/01/02;2100 UTC;0;945;945,4;945;466,3;30,2;;32,1;30,2;;;;;;263;3,7;1,8;
2025/01/02;2200 UTC;0;945,6;945,6;945;37,9;28,4;;30,2;28,4;;;;;;209;3,7;1,3;
2025/01/02;2300 UTC;0;946,3;946,3;945,6;;27,6;;28,4;27,6;;;;;;245;3,1;1,5;
2025/01/03;0000 UTC;0;946,8;946,8;946,3;;26,9;;27,6;26,9;;;;;;250;3,3;1,7;
2025/01/03;0100 UTC;0;947,9;947,9;946,8;;25,8;;26,9;25,8;;;;;;180;3,5;1,7;
2025/01/03;0200 UTC;0;948,3;948,4;947,9;;25,7;;26,1;25,7;;;;;;239;4,6;1,5;
2025/01/03;0300 UTC;0;947,7;948,3;947,7;;24,8;;25,7;24,8;;;;;;203;3,4;,8;
2025/01/03;0400 UTC;0;947,1;947,7;947,1;;24,4;;25,1;24,4;;;;;;248;2;1,1;
2025/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0900 UTC;0;947,6;947,6;946,8;26,1;21,5;;21,6;20,9;;;;;;217;3,4;2,2;
2025/01/03;1000 UTC;0;948,3;948,3;947,6;443,6;23,6;;23,6;21,5;;;;;;208;3,4;1,1;
2025/01/03;1100 UTC;0;948,6;948,7;948,3;975,2;26,6;;26,6;23,6;;;;;;137;3,1;,5;
2025/01/03;1200 UTC;0;948,9;948,9;948,6;2039,1;29,8;;29,9;26,5;;;;;;102;4,1;1,4;
2025/01/03;1300 UTC;0;948,5;948,9;948,5;3069;30,4;;31,1;29;;;;;;33;4,9;2,4;
2025/01/03;1400 UTC;0;948,4;948,6;948,4;3229,4;31,9;;32,2;29,9;;;;;;35;6,3;3;
2025/01/03;1500 UTC;0;947,9;948,4;947,8;3639,4;32,8;;33,7;31,7;;;;;;42;5,6;2,8;
2025/01/03;1600 UTC;0;947,5;947,9;947,2;1720,7;27,3;;34,1;27,2;;;;;;243;10,1;4,4;
2025/01/03;1700 UTC;0;946,8;947,5;946,8;408,4;27;;27,3;26,4;;;;;;143;9,3;1,5;
2025/01/03;1800 UTC;0;946,9;946,9;946,4;245,6;25,6;;27;25,6;;;;;;229;6,1;3,6;
2025/01/03;1900 UTC;0;946,9;947;946,5;82,1;23,4;;25,7;23,4;;;;;;245;6,8;3,7;
2025/01/03;2000 UTC;0;946,8;947;946,8;123,8;23,3;;23,5;22,9;;;;;;219;5,3;2,3;
2025/01/03;2100 UTC;0;946,8;946,8;946,4;234,5;23,1;;23,6;23,1;;;;;;263;4,3;1,7;
2025/01/03;2200 UTC;0;947,3;947,3;946,7;28,1;22,8;;23,1;22,8;;;;;;219;3,7;2,2;
2025/01/03;2300 UTC;0;947,4;947,4;947,2;;22,9;;23;22,7;;;;;;211;3,7;1,3;
2025/01/04;0000 UTC;0;947,4;947,5;947,3;;22,8;;22,9;22,6;;;;;;319;3,3;,9;
2025/01/04;0100 UTC;0;947,6;947,6;947,3;;23,3;;23,3;22,8;;;;;;259;5,5;1,3;
2025/01/04;0200 UTC;0;947,6;947,7;947,4;;22,4;;23,4;22,4;;;;;;194;2,5;1,1;
2025/01/04;0300 UTC;0;947;947,6;947;;22,2;;22,4;22,2;;;;;;244;2;1,2;
2025/01/04;0400 UTC;0;947;947,4;946,9;;22,1;;22,2;21,9;;;;;;325;2,1;,9;
2025/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0700 UTC;;;;;;;;;;;;;;;;;;
