REGIAO:;SE
UF:;MG
ESTACAO:;BURITIS
CODIGO (WMO):;A544
LATITUDE:;-15,52416666
LONGITUDE:;-46,43555555
ALTITUDE:;894
DATA DE FUNDACAO:;19/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;910,6;910,6;910;;20,4;18,7;20,8;20,3;19,3;18,6;91;90;90;;1,6;;
2025/01/01;0100 UTC;0;910,8;910,9;910,6;;20,6;18,6;20,9;20,3;19;18,6;91;87;89;;0;;
2025/01/01;0200 UTC;0;910,8;910,9;910,7;;20,5;18,8;20,7;20,4;18,8;18,6;90;88;90;;1,4;;
2025/01/01;0300 UTC;0;910,7;910,9;910,6;;20,2;18,6;20,5;20,2;18,8;18,6;91;90;91;;3,2;;
2025/01/01;0400 UTC;0;910;910,7;910;;20,2;18,9;20,3;20;18,9;18,6;92;91;92;;2,6;;
2025/01/01;0500 UTC;0;909,6;910;909,4;;20,1;18,8;20,3;20,1;19;18,8;93;92;93;;2,7;;
2025/01/01;0600 UTC;0;909,5;909,6;909,4;;20;18,7;20,1;19,9;18,8;18,6;93;92;93;;3,5;;
2025/01/01;0700 UTC;0;909,9;909,9;909,5;;19,9;18,8;20;19,9;18,8;18,7;93;92;93;;4,1;;
2025/01/01;0800 UTC;0;910,1;910,1;909,9;;20;18,9;20;19,9;18,9;18,8;93;93;93;;3,9;;
2025/01/01;0900 UTC;0;910,6;910,6;910;2,4;20,1;19;20,1;20;19;18,9;94;93;94;;2,5;;
2025/01/01;1000 UTC;0;911,4;911,4;910,6;69,1;20;19;20,2;19,9;19,2;18,9;94;94;94;;3,7;;
2025/01/01;1100 UTC;0;912;912;911,4;163,6;20;19;20,1;19,9;19,1;18,9;94;94;94;;4,5;;
2025/01/01;1200 UTC;0;912,3;912,3;912;284,5;20,3;19,3;20,3;20;19,3;19;94;94;94;;4,8;;
2025/01/01;1300 UTC;0;912,9;912,9;912,3;569,2;20,1;19,1;20,6;20;19,5;19;94;94;94;;5,4;;
2025/01/01;1400 UTC;0;913;913;912,7;380,5;19,9;18,9;20,6;19,7;19,6;18,8;94;94;94;;6,4;;
2025/01/01;1500 UTC;,2;912,6;913;912,5;246,5;19,9;18,9;20;19,8;19;18,8;94;94;94;;5,9;;
2025/01/01;1600 UTC;0;912,3;912,6;912,2;749,8;20,2;19,2;20,7;19,8;19,6;18,8;94;94;94;;6,7;;
2025/01/01;1700 UTC;0;911,5;912,3;911,5;1063,4;21,4;20,4;21,5;20,1;20,4;19,1;94;94;94;;7,1;;
2025/01/01;1800 UTC;0;910,4;911,5;910,4;1431,9;22;19,6;22,3;20,9;20,5;19,4;94;86;86;;6,7;;
2025/01/01;1900 UTC;0;909,1;910,4;909;1666,3;23;19,5;23,1;21,9;20,1;19,2;87;80;81;;6,7;;
2025/01/01;2000 UTC;0;908,8;909,3;908,8;977,9;22,1;20,1;23,2;21,9;20,3;19,2;89;80;88;;5,6;;
2025/01/01;2100 UTC;0;909,7;909,7;908,8;270,3;21,1;19,6;22,2;21,1;20,2;19,6;91;88;91;;3,8;;
2025/01/01;2200 UTC;,2;910,3;910,4;909,7;23,9;20,7;19,5;21,1;20,7;19,7;19,5;93;91;93;;2,5;;
2025/01/01;2300 UTC;,8;911;911;910,2;;20,5;19,4;20,7;20,5;19,5;19,4;93;93;93;;1,7;;
2025/01/02;0000 UTC;1,4;911,5;911,5;911;;20,4;19,3;20,5;20,4;19,4;19,3;94;93;94;;1,6;;
2025/01/02;0100 UTC;0;912;912;911,5;;20,3;19,3;20,4;20,3;19,3;19,3;94;94;94;;2;;
2025/01/02;0200 UTC;,2;912;912,3;912;;20,2;19,2;20,4;20,2;19,3;19,2;94;94;94;;2,9;;
2025/01/02;0300 UTC;0;912;912,3;912;;20,1;19;20,3;20,1;19,3;19;94;94;94;;2,6;;
2025/01/02;0400 UTC;,6;911,5;912;911,5;;20,1;19,1;20,2;20;19,2;19;94;94;94;;2;;
2025/01/02;0500 UTC;2,8;911,5;911,5;911,2;;20;19;20,1;19,9;19,1;18,9;94;94;94;;4;;
2025/01/02;0600 UTC;2,2;910,7;911,6;910,7;2;18,2;16,2;20;18,2;19;16;94;85;89;;9,5;;
2025/01/02;0700 UTC;,4;910,5;910,8;910,3;;18,5;17;18,5;18;17;16,3;91;89;91;;2,8;;
2025/01/02;0800 UTC;0;910,8;910,8;910,4;;18,9;17,8;18,9;18,4;17,8;16,9;93;91;93;;3,3;;
2025/01/02;0900 UTC;,2;911,5;911,5;910,8;2,1;19,3;18,3;19,4;18,9;18,4;17,8;94;93;94;;5,1;;
2025/01/02;1000 UTC;0;912;912,1;911,5;99,2;19,4;18,4;19,5;19,3;18,5;18,3;94;94;94;;5,5;;
2025/01/02;1100 UTC;,8;912,5;912,5;911,9;179,8;19,3;18,3;19,4;19,2;18,5;18,3;94;94;94;;6,5;;
2025/01/02;1200 UTC;0;912,9;912,9;912,5;556,8;19,7;18,7;19,7;19,2;18,7;18,2;94;94;94;;5,3;;
2025/01/02;1300 UTC;0;912,8;913,1;912,8;1032,6;22;20,9;22;19,6;20,9;18,6;94;93;94;;4,5;;
2025/01/02;1400 UTC;0;912,6;912,9;912,6;2252,7;23;19,5;23,4;21,8;20,7;19;93;78;81;;4;;
2025/01/02;1500 UTC;0;912;912,6;912;1939,5;23,9;19,5;24;22,7;20,2;18,7;82;75;76;;3,4;;
2025/01/02;1600 UTC;0;911,5;912;911,5;1786,5;24,1;19,9;24,3;23,5;20,2;19,1;80;74;78;;4,3;;
2025/01/02;1700 UTC;0;910,2;911,5;910,2;2379,5;25;20;25,8;24,1;21,2;19,5;79;72;74;;5,7;;
