REGIAO:;SE
UF:;MG
ESTACAO:;PIRAPORA
CODIGO (WMO):;A545
LATITUDE:;-17,258064
LONGITUDE:;-44,835556
ALTITUDE:;505,32
DATA DE FUNDACAO:;04/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;955,9;955,9;955,2;;22,3;20,4;23,2;22,3;20,4;19,8;89;81;89;219;4,3;,9;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;0;956,4;956,5;956,3;;22;20,4;22;21,9;20,6;20,4;92;91;91;182;2,2;,9;
2025/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0400 UTC;0;955,7;956;955,7;;21,9;20,6;22,1;21,9;20,7;20,5;93;91;93;242;1,9;,9;
2025/01/01;0500 UTC;,4;955,6;955,7;955,6;;21,8;20,8;22;21,8;20,8;20,6;94;92;94;291;2;,6;
2025/01/01;0600 UTC;0;955,3;955,6;955,3;;21,9;20,8;22;21,8;20,9;20,8;94;94;94;127;1,6;,8;
2025/01/01;0700 UTC;0;955,3;955,3;955,2;;21,9;20,9;22;21,9;20,9;20,7;94;93;94;230;1,4;,5;
2025/01/01;0800 UTC;0;955,7;955,7;955,3;;22;20,9;22,1;21,9;21;20,9;94;94;94;100;1,5;,6;
2025/01/01;0900 UTC;4;956,5;956,5;955,7;,7;22;21,1;22,2;22;21,2;20,9;94;94;94;165;1,3;,6;
2025/01/01;1000 UTC;3,8;957,2;957,2;956,5;30,5;21,8;20,8;22,1;21,8;21,1;20,8;94;94;94;143;3,1;1,7;
2025/01/01;1100 UTC;1,4;957,8;957,8;957,2;144,6;21,8;20,8;21,9;21,7;20,8;20,6;94;93;94;142;3,5;1,3;
2025/01/01;1200 UTC;,8;958,5;958,5;957,8;503,6;22,4;21;22,4;21,8;21,3;20,8;94;92;92;129;2,9;1,1;
2025/01/01;1300 UTC;1,2;958,7;958,7;958,5;529,7;22,5;20,8;22,8;22,4;21,3;20,8;92;89;91;66;2;,8;
2025/01/01;1400 UTC;1,4;958,4;958,8;958,4;739,3;23,2;21,6;23,2;22,4;21,6;20,7;91;90;90;68;2,9;1,5;
2025/01/01;1500 UTC;1,4;958,3;958,4;958,2;864,5;23,4;21,2;23,4;23,2;21,7;20,9;90;86;88;66;3;,8;
2025/01/01;1600 UTC;,4;957,6;958,3;957,6;768,2;23,7;21,8;23,7;23,3;22,1;21;91;87;89;11;3,5;1,8;
2025/01/01;1700 UTC;,8;957,1;957,6;957,1;696,1;23,8;22;23,8;23,2;22,1;21,1;91;87;90;6;4,8;2,2;
2025/01/01;1800 UTC;0;955,8;957,1;955,8;1249,6;24,2;20,4;24,3;23,6;21,9;20,2;90;79;79;13;5,7;2,9;
2025/01/01;1900 UTC;0;954,8;955,8;954,8;1863,3;25,5;19,5;25,6;24,1;21,1;19,2;82;68;70;1;5,1;2,6;
2025/01/01;2000 UTC;0;954,3;954,8;954,3;821,3;24,7;20,3;25,5;24,7;20,4;19,3;76;69;76;21;4,5;1,4;
2025/01/01;2100 UTC;0;954,6;954,6;954,2;323,6;24,3;20,8;25;24,3;20,8;20,2;81;75;81;95;2,7;,8;
2025/01/01;2200 UTC;0;955,5;955,5;954,6;15,6;23,4;21,4;24,3;23,4;21,5;20,7;89;80;88;155;1,4;,6;
