REGIAO:;SE
UF:;MG
ESTACAO:;MANHUACU
CODIGO (WMO):;A556
LATITUDE:;-20,26333333
LONGITUDE:;-42,18277777
ALTITUDE:;819,47
DATA DE FUNDACAO:;25/09/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;922,1;922,2;921,5;;21,2;19,4;21,7;21,2;19,5;19,1;89;86;89;244;2,8;,5;
2025/01/01;0100 UTC;;923;923;922,1;;21;19,8;21,3;20,8;19,8;19,2;93;89;93;4;1,7;,4;
2025/01/01;0200 UTC;;922,7;923,1;922,7;;20,5;19,5;21,3;20,4;19,9;19,1;94;91;94;104;1,4;,3;
2025/01/01;0300 UTC;;922,3;922,8;922,3;;20,2;19,7;20,7;20,2;20;19,6;97;94;97;266;1,8;,5;
2025/01/01;0400 UTC;;921,7;922,3;921,7;;19,8;19,8;20,3;19,8;20,1;19,7;100;97;100;122;1,7;0;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;921,5;;;3;19;;;;;;;;;;;;
2025/01/01;1000 UTC;;922;922;921,5;120,6;19,5;;19,5;19,2;;;;;;95;;,2;
2025/01/01;1100 UTC;;922,5;922,5;922,1;408,4;20,4;;20,4;19,6;;;;;;28;1,1;,6;
2025/01/01;1200 UTC;;922,9;922,9;922,4;987,6;21,8;;21,8;20,3;;;;;;57;4,3;2,9;
2025/01/01;1300 UTC;;923,3;923,4;922,8;1027,1;22,4;19,7;22,7;21,8;22,7;19,7;100;85;85;18;5;1,6;
2025/01/01;1400 UTC;;923,2;923,5;923,1;549,1;20,9;20,8;22,4;20,6;20,8;19,2;99;84;99;58;4,9;1,5;
2025/01/01;1500 UTC;;923;923,2;922,9;1696,2;22,9;21,6;22,9;20,9;22,6;20,8;100;92;92;21;4,5;2,8;
2025/01/01;1600 UTC;;922,7;923,1;922,7;1439,5;21,4;19,2;23,1;21,4;21,5;19,1;92;83;87;2;6,6;2,5;
2025/01/01;1700 UTC;;922,4;922,8;922,4;1140,8;21,3;21,3;21,4;19,2;21,4;18,3;100;86;100;130;8,5;1;
2025/01/01;1800 UTC;;921,9;922,4;921,7;1454,8;21,1;19;22,2;21,1;21,8;18,9;100;87;88;123;4,9;3,6;
2025/01/01;1900 UTC;;921,5;921,9;921,3;1292,6;21,7;18,8;22;21,1;19,5;18,6;89;83;84;131;6;3,3;
2025/01/01;2000 UTC;;921,2;921,5;921,1;885,7;21,5;18,5;22;21,5;19,2;18,5;85;82;83;112;5,5;3,3;
