REGIAO:;SE
UF:;MG
ESTACAO:;NOVA PORTEIRINHA (JANAUBA)
CODIGO (WMO):;A563
LATITUDE:;-15,80277777
LONGITUDE:;-43,29694444
ALTITUDE:;532
DATA DE FUNDACAO:;19/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;952,6;952,6;952,2;;23,7;23,4;24,2;23,7;23,5;22,2;99;88;98;;;;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;0;952,6;953,2;952,6;;24;21,3;24;23,2;23,3;21;100;83;85;;;;
2025/01/01;0300 UTC;0;952;952,6;952;;23,7;21,7;24;23,7;21,7;21,2;88;85;88;;;;
2025/01/01;0400 UTC;0;951,6;952;951,6;;23,9;20,9;24,1;23,4;21,8;20,7;90;82;83;;;;
2025/01/01;0500 UTC;0;951,4;951,6;951,4;;23,2;20,2;23,9;23,2;21;20,2;85;82;83;;;;
2025/01/01;0600 UTC;0;950,9;951,4;950,9;;23,7;19,6;23,8;23,2;20,3;19,6;84;78;78;;;;
2025/01/01;0700 UTC;0;951,1;951,1;950,8;;23,9;19,2;24;23,2;19,9;19,2;83;75;75;;;;
2025/01/01;0800 UTC;0;951,4;951,4;951;;23,4;19,7;23,9;23,4;19,7;18,9;80;74;80;;;;
2025/01/01;0900 UTC;0;952;952;951,4;39,6;24;19,6;24;23,1;19,9;19,2;82;76;77;;;;
2025/01/01;1000 UTC;0;952,5;952,5;952;315;24,4;20,6;24,5;23,9;20,7;19,6;80;76;80;;;;
2025/01/01;1100 UTC;0;953,3;953,3;952,5;664,9;25;21,8;25;24,4;22;20,5;84;79;82;;;;
2025/01/01;1200 UTC;0;953,9;953,9;953,2;1526;27,4;21,4;27,5;25;22,3;20,6;83;67;70;;;;
2025/01/01;1300 UTC;0;954,3;954,3;953,9;1597,1;28,1;21,7;28,7;27,1;22,6;20,8;72;65;68;;;;
2025/01/01;1400 UTC;0;954,1;954,4;954,1;1039,8;27,8;21,8;28;27,5;22,3;21;72;67;70;;;;
2025/01/01;1500 UTC;0;953,8;954,1;953,7;1196,2;28,1;21,8;28,4;27,8;22,2;20,8;71;65;69;;;;
2025/01/01;1600 UTC;0;953,4;953,8;953,4;1140,5;28,6;21,6;28,7;28,1;22,4;20,5;70;62;66;;;;
2025/01/01;1700 UTC;0;952,7;953,4;952,7;2175,8;29,7;20,4;30;28,6;22,6;20,4;68;57;57;;;;
2025/01/01;1800 UTC;0;951,8;952,7;951,8;1763,8;29,7;21;30,6;29,2;22,1;20,4;64;55;59;;;;
2025/01/01;1900 UTC;0;951,4;951,8;951,4;1153,5;29;21,2;30;29;21,6;20,4;63;57;63;;;;
2025/01/01;2000 UTC;0;951;951,5;951;708,8;28;22,7;29;27,9;23,7;21,1;77;62;73;;;;
2025/01/01;2100 UTC;0;950,8;951;950,8;263,7;26,9;21,9;28;26,9;22,8;21,9;76;72;74;;;;
2025/01/01;2200 UTC;0;950,6;950,8;950,6;20,1;26,6;21,2;26,9;26,2;21,9;21,2;77;72;72;;;;
2025/01/01;2300 UTC;0;951,4;951,5;950,6;;26,2;21,1;26,7;26,1;21,3;20,9;74;72;73;;;;
2025/01/02;0000 UTC;0;952,3;952,3;951,4;;25,5;21,4;26,2;25,5;21,4;21,1;78;73;78;;;;
2025/01/02;0100 UTC;0;952,6;952,7;952,3;;24,7;21,1;25,6;24,7;21,4;21,1;81;78;80;;;;
2025/01/02;0200 UTC;0;952,7;952,8;952,6;;25;21,2;25,1;24,7;21,2;20,9;81;78;80;;;;
2025/01/02;0300 UTC;0;952,2;952,8;952,2;;24,5;21;25;24,5;21,2;20,9;81;79;81;;;;
2025/01/02;0400 UTC;0;951,8;952,2;951,8;;24,1;20,9;24,6;24,1;21;20,7;82;79;82;;;;
2025/01/02;0500 UTC;0;951,8;951,8;951,6;;23,8;20,8;24,3;23,7;21;20,7;84;81;83;;;;
2025/01/02;0600 UTC;0;951,9;951,9;951,7;;24;20,7;24,3;23,8;20,9;20,6;84;80;82;;;;
2025/01/02;0700 UTC;0;952;952;951,8;;23,7;21;24,2;23,7;21,1;20,7;85;81;85;;;;
2025/01/02;0800 UTC;0;952,4;952,4;952;;23,4;21,2;23,7;23,2;21,5;21;90;85;88;;;;
2025/01/02;0900 UTC;0;952,9;952,9;952,4;11,1;23,4;21;23,5;23,3;21,2;21;88;86;86;;;;
2025/01/02;1000 UTC;0;953,8;953,8;952,9;196,1;23,9;21,7;24;23,4;21,7;20,9;89;83;88;;;;
2025/01/02;1100 UTC;0;954,5;954,5;953,8;650,3;24,4;21,9;24,4;23,8;22,3;21,5;90;84;86;;;;
2025/01/02;1200 UTC;0;955,2;955,3;954,5;930,3;25,2;22,2;25,2;24,4;22,5;21,7;87;83;83;;;;
2025/01/02;1300 UTC;0;955;955,2;955;969;24,7;22,2;25,4;24,6;22,5;21,8;87;81;86;;;;
2025/01/02;1400 UTC;0;954,4;955;954,4;1195,5;25,5;22,6;25,6;24,6;22,9;22,1;88;83;84;;;;
2025/01/02;1500 UTC;0;953,5;954,4;953,5;1571,8;26,7;23,1;26,9;25,2;23,8;22,5;88;79;81;;;;
2025/01/02;1600 UTC;0;952,4;953,5;952,4;1352;28,1;22,4;28,3;26,7;23,9;22,3;82;71;71;;;;
2025/01/02;1700 UTC;0;951,7;952,4;951,7;1213,8;28,1;22,5;28,6;27,8;23,1;21,3;75;66;72;;;;
2025/01/02;1800 UTC;,2;951;951,7;951;722,1;27,4;24,2;28,1;26,4;25,9;21,7;95;70;83;;;;
2025/01/02;1900 UTC;0;950,2;951;950,2;2001,1;30,1;22,1;30,5;27,2;24,4;21,3;85;60;62;;;;
2025/01/02;2000 UTC;0;949,8;950,2;949,8;1465,1;30,3;18,4;30,7;29,9;23,1;18,4;65;49;49;;;;
2025/01/02;2100 UTC;,2;949,7;949,9;949,6;393;27,5;22,4;30,3;27,5;22,6;18,4;74;49;74;;;;
2025/01/02;2200 UTC;0;950,2;950,2;949,7;16,3;24,3;22,8;27,5;24,3;23,5;21,3;92;72;92;;;;
2025/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0000 UTC;0;951,5;951,5;950,6;;23;21,7;23,1;22,9;22,4;21,5;96;91;92;;;;
2025/01/03;0100 UTC;0;952,2;952,3;951,5;;23,4;21,8;23,4;23;22,7;21,4;96;89;91;;;;
2025/01/03;0200 UTC;0;952,4;952,5;952,2;;23,6;21,7;23,8;23,3;22;20,8;92;83;89;;;;
2025/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0400 UTC;0;951,2;951,8;951,2;;23,3;22,4;24,5;23,3;22,4;21,2;95;81;95;;;;
2025/01/03;0500 UTC;0;951;951,2;951;;22,5;22,5;23,3;22,5;22,7;22,3;100;95;100;;;;
2025/01/03;0600 UTC;0;950,8;951;950,8;;22,3;22,3;22,5;22,1;22,5;22;100;100;100;;;;
2025/01/03;0700 UTC;0;950,5;950,8;950,5;;21,9;21,9;22,3;21,8;22,3;21,8;100;100;100;;;;
2025/01/03;0800 UTC;0;951;951,1;950,4;;21,7;21,7;22,4;21,7;22,4;21,7;100;100;100;;;;
2025/01/03;0900 UTC;0;951,7;951,7;951;47,8;21,6;21,6;21,7;21,2;21,6;21,2;100;100;100;;;;
2025/01/03;1000 UTC;0;952,4;952,4;951,7;436,2;24,5;21,4;24,5;21,6;22,9;21,4;100;83;83;;;;
2025/01/03;1100 UTC;0;952,8;952,9;952,4;1301,2;26,6;22,9;26,8;24,5;22,9;21,3;85;77;80;;;;
2025/01/03;1200 UTC;0;953,1;953,1;952,8;2407,2;28,5;22,5;28,7;26,2;22,9;21,5;80;67;70;;;;
2025/01/03;1300 UTC;0;953,1;953,2;953,1;2941,4;29,7;22;31,3;28,5;22,8;20,3;70;55;64;;;;
2025/01/03;1400 UTC;0;953,4;953,4;953,1;1761,4;29,2;21,4;29,9;29,2;22,6;21,2;66;60;63;;;;
2025/01/03;1500 UTC;0;952,6;953,4;952,6;2964,1;30,3;20,9;31,2;29,1;22,5;20,2;66;55;57;;;;
2025/01/03;1600 UTC;0;951,9;952,6;951,9;1676,1;29,6;21,1;30,7;29,4;21,6;20,2;62;55;60;;;;
2025/01/03;1700 UTC;0;950,9;951,9;950,9;2370,3;31,5;19,8;31,8;29,6;22,1;19,3;62;50;50;;;;
2025/01/03;1800 UTC;0;950,1;950,9;950,1;2532,8;32,1;21,6;32,5;30,7;21,9;20;56;50;54;;;;
2025/01/03;1900 UTC;0;949,5;950,1;949,4;2191,1;31,8;19,6;32,2;31,2;21,5;19,2;55;48;48;;;;
2025/01/03;2000 UTC;0;949,9;950;949,5;1179,8;30,9;18,1;32,5;30,7;19,4;16,8;50;42;46;;;;
2025/01/03;2100 UTC;0;950,5;950,5;949,9;270,7;28,3;20,9;30,9;28,3;21,1;17,9;64;46;64;;;;
2025/01/03;2200 UTC;0;950,9;950,9;950,5;5,8;26,5;21,3;28,3;26,5;21,4;20,9;74;64;73;;;;
2025/01/03;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0000 UTC;0;951,8;951,8;951,4;;24,5;21,4;25,5;24,5;22,1;21;86;79;83;;;;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;0;951,3;951,6;951,2;;24;22,4;24,6;24;22,4;21,6;91;83;91;;;;
2025/01/04;0300 UTC;0;950,8;951,3;950,8;;23,5;22,9;24;23,5;22,9;22,4;97;91;97;;;;
2025/01/04;0400 UTC;0;950,3;950,8;950,2;;23,4;22,6;23,5;23;23,1;22,5;100;95;95;;;;
2025/01/04;0500 UTC;0;950,3;950,3;950,2;;23,2;22,5;23,4;23;23,1;22,5;100;95;96;;;;
2025/01/04;0600 UTC;0;950,5;950,5;950,3;;22,9;22,8;23,3;22,8;22,9;22,4;100;95;100;;;;
2025/01/04;0700 UTC;0;950,4;950,6;950,3;;22,5;22,5;23;22,5;22,8;22,4;100;97;100;;;;
2025/01/04;0800 UTC;0;950,6;950,7;950,4;;22,6;22,6;22,6;22,3;22,6;22,3;100;100;100;;;;
2025/01/04;0900 UTC;0;951,8;951,8;950,6;7,2;22,8;22,8;22,9;22,5;22,9;22,5;100;99;100;;;;
2025/01/04;1000 UTC;0;952,2;952,3;951,7;238,7;23,5;23,5;23,5;22,7;23,5;22,7;100;100;100;;;;
2025/01/04;1100 UTC;0;952,4;952,4;952,2;1103,8;26,5;21,7;26,5;23,5;23,9;20,7;100;74;75;;;;
2025/01/04;1200 UTC;0;952,7;952,7;952,3;1451,1;27,5;21,7;27,5;26,4;22,1;20,6;76;67;71;;;;
2025/01/04;1300 UTC;0;953,4;953,4;952,7;1161,7;27;21;27,5;27;22,1;19,9;74;64;70;;;;
2025/01/04;1400 UTC;0;953,3;953,7;953,3;1396,8;27;22;27,1;26,3;22,3;21;77;70;74;;;;
2025/01/04;1500 UTC;0;953,1;953,5;953,1;1240,3;25,8;21,8;27;25,6;22;20,7;79;71;79;;;;
2025/01/04;1600 UTC;0;952;953,1;952;1671,4;28,3;22,3;28,4;25,4;23,2;21,5;81;69;70;;;;
2025/01/04;1700 UTC;0;950,8;952;950,8;2764,3;30,4;21,5;30,8;27,5;22,3;20,5;71;55;59;;;;
2025/01/04;1800 UTC;0;950,1;950,8;950,1;2341,7;30,4;21,4;31,3;29,7;22;19,6;61;52;59;;;;
2025/01/04;1900 UTC;0;949,3;950,1;949,3;1601,4;30,3;21,8;31,1;29,8;21,9;20,2;60;53;60;;;;
2025/01/04;2000 UTC;0;949;949,2;948,9;1058,8;30,4;21,8;30,8;29,8;22,2;20,5;63;57;60;;;;
2025/01/04;2100 UTC;0;948,9;949;948,9;372,4;28;21,8;30,5;28;22,5;21,1;71;57;69;;;;
2025/01/04;2200 UTC;0;949,4;949,4;948,7;15;26,1;23;28;26,1;23;21,6;83;69;83;;;;
