REGIAO:;SE
UF:;SP
ESTACAO:;BAURU
CODIGO (WMO):;A705
LATITUDE:;-22,35805555
LONGITUDE:;-49,02888888
ALTITUDE:;636,17
DATA DE FUNDACAO:;30/08/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;939,8;939,8;939,2;;24,7;19,5;25;24,2;20,8;19,3;81;70;73;112;3,3;1;
2025/01/01;0100 UTC;0;940,4;940,5;939,7;;24,6;20,3;24,9;24,3;20,3;19,3;77;71;77;89;5;1,7;
2025/01/01;0200 UTC;0;940,9;941;940,4;165,9;23,4;22,2;24,6;23,4;22,5;20,4;93;77;93;104;6,1;2;
2025/01/01;0300 UTC;0;940,7;941,5;940,7;86;22,8;;23,4;22,8;;;;;;85;6,9;2,3;
2025/01/01;0400 UTC;0;940,6;940,9;940,6;116,5;22,1;;22,8;22,1;;;;;;84;5,3;1,2;
2025/01/01;0500 UTC;0;940,5;940,7;940,4;62,1;21,3;;22,1;21,3;;;;;;78;3,9;1,8;
2025/01/01;0600 UTC;0;940,2;940,6;940,2;;20,8;;21,3;20,8;;;;;;85;3,3;,6;
2025/01/01;0700 UTC;0;940,2;940,3;940,1;;20,4;;20,8;20,4;;;;;;112;2,9;,3;
2025/01/01;0800 UTC;0;940,5;940,5;940,1;88,1;20,1;;20,4;20,1;;;;;;93;2,7;,6;
2025/01/01;0900 UTC;0;941;941;940,5;;19,8;;20,1;19,8;;;;;;76;4,5;1,9;
2025/01/01;1000 UTC;0;941,9;941,9;941;325;20,4;;20,4;19,7;;;;;;88;4,5;,8;
2025/01/01;1100 UTC;0;942,2;942,2;941,8;375,5;22,6;;22,6;20,4;;;;;;69;4,7;2,5;
2025/01/01;1200 UTC;0;942,9;942,9;942,2;86,3;25,1;24,1;25,2;22,6;;;;;95;25;5,4;2,1;
2025/01/01;1300 UTC;0;943;943;942,8;;26,2;20,7;26,8;25;24,9;20,3;98;68;72;347;5,8;2,1;
2025/01/01;1400 UTC;0;942,7;943;942,7;;27,7;20,4;28,2;26,2;21,4;20,2;73;64;64;350;5,7;1,7;
2025/01/01;1500 UTC;0;942,3;942,7;942,3;;29,8;20,4;29,8;27,4;21,8;20;68;56;57;6;6,9;1,3;
2025/01/01;1600 UTC;0;941,8;942,3;941,8;;31,1;19,7;31,1;28,5;21,8;19,5;66;51;51;332;4,8;1,5;
2025/01/01;1700 UTC;0;940,8;941,9;940,8;;30,7;19,8;31,6;29,6;21,3;19,4;59;50;52;18;5,8;1,5;
2025/01/01;1800 UTC;0;939,4;940,8;939,3;;29,9;19,9;31,8;29,9;20,5;18,5;56;46;55;39;5,6;1,1;
2025/01/01;1900 UTC;0;938,2;939,4;938,2;;30,3;20,3;30,9;29,9;20,5;18;56;47;55;110;2,9;,6;
2025/01/01;2000 UTC;0;938,1;938,3;937,8;;28,6;22,4;30,9;28,6;22,6;18,3;70;48;69;137;2,4;,1;
2025/01/01;2100 UTC;,4;938,2;938,3;938;;26,9;25;29,4;26,9;25;19,8;89;56;89;339;3,3;1,4;
2025/01/01;2200 UTC;,4;938,4;938,4;937,9;1135,4;23,4;;26,9;23,4;;;;;;355;3,3;,2;
2025/01/01;2300 UTC;0;939,1;939,2;938,4;1005,4;23,9;;24;22,8;;;;;;151;3,6;1,2;
2025/01/02;0000 UTC;0;939,6;939,7;939,1;1329,2;25,1;18,8;25,1;23,2;;;;;68;100;5,5;1,9;
2025/01/02;0100 UTC;0;940,5;940,5;939,7;188,8;24,4;19,7;25,1;24,4;20,1;18,3;77;68;75;44;5,5;2;
2025/01/02;0200 UTC;3,8;942,2;942,4;940,5;458;19,7;;24,4;19,7;;;;;;240;7,9;2,7;
