REGIAO:;SE
UF:;SP
ESTACAO:;ITAPEVA
CODIGO (WMO):;A714
LATITUDE:;-23,98194443
LONGITUDE:;-48,88583333
ALTITUDE:;743,33
DATA DE FUNDACAO:;25/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;929,2;929,2;928,2;;21,3;18,9;22,3;21,3;19,2;18,9;86;82;86;105;5,2;2,2;
2025/01/01;0100 UTC;0;929,7;929,9;929,2;;20,2;18,3;21,3;20,2;18,9;18,3;89;86;89;120;5,9;3,1;
2025/01/01;0200 UTC;0;930;930,1;929,7;;19,6;18,1;20,2;19,6;18,5;18,1;91;89;91;121;5,5;2,5;
2025/01/01;0300 UTC;0;929,7;930;929,6;;19,4;18,2;19,6;19,3;18,2;18;93;91;93;118;5,9;2,5;
2025/01/01;0400 UTC;0;929,3;929,7;929,1;;19,2;18;19,5;19,2;18,2;17,9;93;92;93;105;5,1;1,9;
2025/01/01;0500 UTC;0;929,3;929,4;929,1;;18,9;17,8;19,2;18,9;18;17,7;93;93;93;129;3,7;2,1;
2025/01/01;0600 UTC;0;929;929,4;929;;19,1;17,9;19,2;18,9;18;17,8;93;93;93;121;4,4;1,8;
2025/01/01;0700 UTC;0;928,9;929,1;928,9;;19,1;17,8;19,2;19;17,9;17,8;93;92;92;130;3,5;1,8;
2025/01/01;0800 UTC;0;929;929;928,7;;18,6;17,2;19,1;18,6;17,7;17,2;92;92;92;139;4,6;1,9;
2025/01/01;0900 UTC;0;929,6;929,6;929;12,8;18,4;17,1;18,6;18,3;17,2;17;92;91;92;102;3,3;1,4;
2025/01/01;1000 UTC;0;930,3;930,3;929,6;462,9;20,5;17,9;20,6;18,4;18,3;17,1;93;85;85;122;4,1;2;
