REGIAO:;SE
UF:;SP
ESTACAO:;BARRA BONITA
CODIGO (WMO):;A741
LATITUDE:;-22,4711111
LONGITUDE:;-48,5575
ALTITUDE:;533,68
DATA DE FUNDACAO:;24/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;951,1;951,1;950,1;;25,7;19,3;26,9;25,7;20,3;19,3;71;67;67;299;9,1;5,2;
2025/01/01;0100 UTC;0;951,5;951,5;951,1;;24,5;19,4;25,7;24,5;19,6;19,3;73;68;73;301;9;3,7;
2025/01/01;0200 UTC;0;952;952,3;951,5;;24,1;19,2;24,5;24,1;19,4;19,1;74;72;74;280;7,7;3,2;
2025/01/01;0300 UTC;0;951,6;952,2;951,6;;23,2;19,8;24,2;23,2;19,8;19,2;81;74;81;305;7;2,3;
2025/01/01;0400 UTC;0;951,1;951,7;951,1;;22,4;19,8;23,2;22,4;19,8;19,6;85;81;85;294;4;2,1;
2025/01/01;0500 UTC;0;951;951,4;951;;21,5;19,9;22,4;21,4;19,9;19,6;90;85;90;256;3,3;1,2;
2025/01/01;0600 UTC;0;950,9;951,1;950,9;;21,4;19,7;21,7;21,1;19,9;19,5;91;89;90;299;2,8;1,6;
2025/01/01;0700 UTC;0;951,1;951,1;950,9;;21,1;19,5;21,5;21,1;19,7;19,4;90;89;90;292;3,5;1,3;
2025/01/01;0800 UTC;0;951,7;951,7;951;;20,6;19,5;21,1;20,4;19,5;19,3;94;90;94;326;2,2;,8;
2025/01/01;0900 UTC;0;952,1;952,1;951,7;22,8;20,9;19,7;20,9;20,4;19,7;19,3;94;93;93;304;2,6;1,5;
2025/01/01;1000 UTC;0;952,9;952,9;952,1;510,3;22,9;20,1;22,9;20,9;20,7;19,7;93;84;84;283;4;2,6;
2025/01/01;1100 UTC;0;953,1;953,1;952,9;1352,1;25,1;19,9;25,1;22,9;20,3;19,4;84;73;73;306;4,9;2,2;
2025/01/01;1200 UTC;0;953,4;953,5;953;2247,4;26,9;18,3;27,3;24,9;20,5;18,3;73;59;59;147;6,1;2,5;
