REGIAO:;SE
UF:;SP
ESTACAO:;MARILIA
CODIGO (WMO):;A763
LATITUDE:;-22,23527777
LONGITUDE:;-49,965
ALTITUDE:;660
DATA DE FUNDACAO:;15/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;935,9;935,9;935,4;;25,1;17,9;25,9;25;18,4;17,6;65;61;64;112;3;,8;
2025/01/01;0100 UTC;0;936;936;935,8;;25,5;17,8;25,8;25,1;18,2;17,6;65;61;62;106;2,6;1,1;
2025/01/01;0200 UTC;0;936,6;936,7;935,9;;24,9;17,7;26;24,9;18,1;17,3;66;59;64;110;5,5;2;
2025/01/01;0300 UTC;0;936,8;936,8;936,5;;24,5;18,2;25,3;24,5;18,2;17,5;68;62;68;106;7,2;2;
2025/01/01;0400 UTC;0;936,6;937;936,6;;23,2;18,8;24,5;23,2;18,8;18,2;76;68;76;110;8,4;2,5;
2025/01/01;0500 UTC;0;936,4;936,6;936,3;;22,6;19,2;23,2;22,6;19,2;18,8;81;76;81;91;5,8;2,6;
2025/01/01;0600 UTC;0;935,9;936,4;935,8;;22,5;19,5;22,8;22,4;19,5;19,2;84;81;84;79;6,4;2,3;
2025/01/01;0700 UTC;0;936;936,1;935,7;;22;19,7;22,5;22;19,7;19,4;87;83;87;78;6,4;2,2;
2025/01/01;0800 UTC;0;936,2;936,2;936;;21,8;19,2;22;21,7;19,7;19,2;87;85;85;81;6,6;1,9;
2025/01/01;0900 UTC;0;936,8;936,8;936,2;,8;21;19,2;21,8;21;19,3;19,1;89;85;89;101;5;1,2;
2025/01/01;1000 UTC;0;937,8;937,8;936,8;313,2;22,4;19,1;22,4;21;19,2;18,9;89;81;82;77;5,9;2,7;
2025/01/01;1100 UTC;0;938,5;938,5;937,8;1167,5;23,6;19,6;23,6;22,3;19,7;19;83;78;78;62;7;2,8;
2025/01/01;1200 UTC;0;938,7;938,8;938,4;2019,6;25,5;19,9;25,7;23,4;20,3;19,3;79;70;71;56;5,4;2,2;
2025/01/01;1300 UTC;0;939,1;939,1;938,7;2948,9;26,6;19,9;27,2;25,1;21;19,5;73;66;67;50;6;2,6;
2025/01/01;1400 UTC;0;939;939,1;939;2843,9;27;19,7;27,8;25,8;21,1;19,4;71;63;65;68;5,6;2,4;
2025/01/01;1500 UTC;0;938,5;939;938,5;2021,5;28,1;20,4;28,3;26,8;21;19,1;66;61;63;47;4,8;,8;
2025/01/01;1600 UTC;0;937,8;938,6;937,8;2806,4;29,3;19,2;29,6;28;20,1;18,1;63;51;54;66;6,3;1,8;
2025/01/01;1700 UTC;0;936,4;937,9;936,4;2862,1;29,9;18,9;30,5;29;19,8;17,6;55;48;52;30;6,5;1,8;
2025/01/01;1800 UTC;0;935,5;936,4;935,4;3328,5;31,6;18,7;32;29,7;20,1;17,2;53;44;47;69;5,3;1,5;
2025/01/01;1900 UTC;0;934,2;935,6;934,1;2561,4;30,3;17,9;32;30,3;19,1;16,6;49;41;48;96;4,8;1,5;
2025/01/01;2000 UTC;0;934,6;934,8;934,2;603,5;29,2;18,3;30,3;28,8;19;17,1;55;47;52;350;4,5;,3;
2025/01/01;2100 UTC;0;934,9;934,9;934,6;382;28,9;18,9;29,6;28,9;19,1;17,4;56;48;55;278;3,4;1;
2025/01/01;2200 UTC;0;934,9;934,9;934,7;121,7;26,7;20,3;29;26,7;20,3;18,1;68;52;68;254;4,8;1,7;
2025/01/01;2300 UTC;0;935,2;935,2;934,8;2,9;24,3;18,9;26,7;24;20,3;18,3;77;65;72;202;4,6;,5;
2025/01/02;0000 UTC;0;936,3;936,3;935,2;;24,4;19,9;24,7;24,1;20;18,9;78;71;76;189;1,9;,5;
2025/01/02;0100 UTC;0;937,4;937,8;936,3;;22,8;19,2;25,2;22,8;20,4;18,6;80;69;80;307;9,9;2,9;
2025/01/02;0200 UTC;0;938,3;938,4;937,4;;21,7;20,4;22,8;21,7;20,4;19,2;92;80;92;193;9,4;,8;
2025/01/02;0300 UTC;0;938;939;938;;21,2;20,2;21,7;21;21;19,6;98;89;94;135;6,5;2;
2025/01/02;0400 UTC;0;936,7;938;936,7;;20,7;18,7;21,4;20,6;20,5;18,6;99;85;88;130;3,9;1,7;
2025/01/02;0500 UTC;0;935,8;936,7;935,8;;21,7;15,4;21,7;20,4;20,1;15,4;99;68;68;120;3,2;1,5;
2025/01/02;0600 UTC;0;936;936,1;935,7;;21,5;15,4;22,3;21,5;15,5;14,4;69;62;68;84;6,1;3,4;
2025/01/02;0700 UTC;0;936,2;936,3;935,8;;20,1;17,5;21,5;20,1;17,5;15,6;85;68;85;77;7,4;3;
2025/01/02;0800 UTC;0;936,7;936,7;936,2;;20,2;17,7;20,2;20;17,9;17,4;88;84;86;52;7,3;2,6;
2025/01/02;0900 UTC;0;936,7;936,8;936,6;4,1;20,1;17,9;20,2;20;17,9;17,7;87;86;87;40;8,3;2,6;
2025/01/02;1000 UTC;0;937;937,1;936,7;310,2;21;18,2;21;20,1;18,2;17,8;87;84;84;23;8,6;2,8;
2025/01/02;1100 UTC;0;937,9;937,9;937;1146,9;22,1;17,8;22,3;21;18,3;17,6;85;75;77;21;7,7;2,9;
2025/01/02;1200 UTC;0;937,5;938;937,5;2240,1;24,9;18,6;24,9;22,1;19;17,9;78;68;68;24;7;2,5;
2025/01/02;1300 UTC;0;937,6;937,7;937,5;2593,5;25,4;19;26,3;24,3;20,3;18,3;73;65;68;21;5,9;2,1;
2025/01/02;1400 UTC;0;937,6;937,7;937,5;3406,7;27,5;19,8;27,7;25,3;20,4;18,8;70;61;63;61;6,3;2,7;
2025/01/02;1500 UTC;0;937,6;937,8;937,5;3644,2;28,3;19,7;29,5;27,4;20,6;18,8;66;55;60;8;7,5;3;
2025/01/02;1600 UTC;0;937;937,6;936,9;3826;30,4;19,4;30,4;28,3;21,4;17,7;62;50;52;335;7,5;2;
2025/01/02;1700 UTC;0;936;937;936;3719,9;30,7;17,4;30,8;29,2;19,8;17,1;56;44;45;320;6,6;2,3;
2025/01/02;1800 UTC;0;935,1;936;935,1;2967,1;29,8;17,7;31,5;29,8;18,9;17;50;42;49;301;6,6;2,1;
2025/01/02;1900 UTC;0;934,4;935,1;934,4;2043;30,9;18,1;31,1;29,6;19;17,2;52;46;47;295;5,7;2,1;
2025/01/02;2000 UTC;0;933,7;934,4;933,7;1716,3;30,3;17,5;31,4;30,1;19,6;16,7;51;43;46;285;5,6;2,5;
2025/01/02;2100 UTC;0;934;934;933,6;802,9;29,3;18;30,3;29,3;18,1;17;51;46;50;284;5;2,1;
2025/01/02;2200 UTC;0;934,6;934,6;933,8;178,8;28,2;18,7;29,3;28,1;18,7;17,8;57;50;57;279;4,1;1,4;
