REGIAO:;SE
UF:;SP
ESTACAO:;CACHOEIRA PAULISTA
CODIGO (WMO):;A769
LATITUDE:;-22,68888888
LONGITUDE:;-45,00555555
ALTITUDE:;586
DATA DE FUNDACAO:;20/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;948,6;948,6;947;;21,6;19,1;21,6;20,6;19,6;18,5;94;84;86;356;3,2;,3;
2025/01/01;0100 UTC;0;948,5;948,6;948,3;;21,7;19,6;22;21;19,7;18,9;90;84;87;79;4;,1;
2025/01/01;0200 UTC;0;948,5;948,6;948,4;;21,1;19,8;21,7;20,4;20;18,9;95;87;92;147;1,8;0;
2025/01/01;0300 UTC;0;948,1;948,5;948,1;;21,1;19,6;21,3;20,8;19,9;19,6;94;90;91;59;1,6;0;
2025/01/01;0400 UTC;0;947,4;948,1;947,4;;20,1;19,4;21,1;20,1;19,9;19,3;96;91;96;120;0;0;
2025/01/01;0500 UTC;0;947;947,4;946,8;;19,9;19,1;20,5;19,7;19,5;18,7;96;92;95;312;0;0;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;0;948;948;947,4;;22,4;19;22,4;20,2;20,2;19;93;81;81;87;0;0;
2025/01/01;1100 UTC;0;948,1;948,2;948;;24;19,3;24;22,3;19,9;18,5;83;75;75;63;0;0;
