REGIAO:;SE
UF:;SP
ESTACAO:;SAO SIMAO
CODIGO (WMO):;A770
LATITUDE:;-21,46111111
LONGITUDE:;-47,57944443
ALTITUDE:;620
DATA DE FUNDACAO:;03/07/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;943,5;943,5;942,6;0;21,6;19,9;22,3;21,6;20,1;19,6;91;84;90;13;4,1;1;
2025/01/01;0100 UTC;5;943,5;944;943,3;,1;20,8;20,8;22,2;20,8;21;19,4;100;86;100;356;7,2;,9;
2025/01/01;0200 UTC;0;943,3;943,7;943,3;0;20,4;20,4;21,4;20,3;20,8;19,9;100;91;100;278;2,8;1,6;
2025/01/01;0300 UTC;0;943,2;943,6;943,1;0;19,4;19,4;20,5;19,4;20,5;19,4;100;100;100;356;2,7;,4;
2025/01/01;0400 UTC;,2;942,9;943,2;942,9;0;19,2;19,2;19,4;19,1;19,4;19,1;100;100;100;326;1,3;,7;
2025/01/01;0500 UTC;0;942,9;943,1;942,9;0;19,2;19,2;19,5;19,2;19,5;19,1;100;100;100;228;3;,5;
2025/01/01;0600 UTC;0;942,8;943;942,7;0;20;19,3;20,5;18,9;20;18,9;100;91;96;291;6,1;,9;
2025/01/01;0700 UTC;0;942,8;942,8;942,6;0;20,5;18,9;20,7;20;19,3;18,8;96;90;91;269;6,7;2,1;
2025/01/01;0800 UTC;0;943,2;943,3;942,8;0;19,5;19,1;20,5;19,2;19,3;18,8;100;91;98;351;4,2;,5;
2025/01/01;0900 UTC;0;943,8;943,8;943,2;22,3;19,3;19,3;19,6;18,9;19,3;18,9;100;97;100;57;1,7;,8;
2025/01/01;1000 UTC;0;944,4;944,4;943,8;522;22,2;19,8;22,6;19,3;20,8;19,4;100;84;86;158;2,6;,8;
2025/01/01;1100 UTC;0;944,9;944,9;944,4;1351;23,4;18,5;24;22,2;20,6;18,3;86;73;74;177;5,2;2,7;
2025/01/01;1200 UTC;0;945,2;945,3;944,9;2181,7;25,4;19,5;25,4;23,4;19,7;18,4;76;70;70;193;5,2;2,2;
2025/01/01;1300 UTC;0;945,2;945,3;945,1;2885,6;27;19,2;27,4;25,1;21;19;73;62;62;218;6,2;2,5;
2025/01/01;1400 UTC;0;944,8;945,2;944,8;3243,7;28,1;19,6;28,6;26,7;21,1;19,2;68;59;60;165;6,2;2,7;
2025/01/01;1500 UTC;0;944,3;944,8;944,3;3192;29,5;20,7;29,5;27,5;21,2;18,8;64;56;59;237;5,4;2,5;
2025/01/01;1600 UTC;0;943,8;944,2;943,8;3386;30,9;18,9;31,7;29;21,4;18,6;60;48;49;99;5,4;1,7;
2025/01/01;1700 UTC;0;942,6;943,8;942,6;1840,9;30,3;19;31,1;29,3;20,9;18,4;57;48;51;211;3,7;1,4;
2025/01/01;1800 UTC;0;941;942,6;941;1794,6;31,6;19,4;31,8;29,3;21,8;18;62;46;48;138;3,6;1,1;
2025/01/01;1900 UTC;0;940,6;941;940,6;2334,7;31,8;19,5;31,9;30,3;19,8;18,3;52;46;48;170;4,3;1,4;
2025/01/01;2000 UTC;0;939,7;940,6;939,7;2011,5;31,1;19,4;32,1;30,8;19,7;17,9;51;45;50;162;4,1;1,7;
2025/01/01;2100 UTC;0;940,1;940,1;939,7;1094;30,3;18,5;31,1;30,3;19,5;18,3;52;48;49;153;4,5;,9;
2025/01/01;2200 UTC;0;940,8;940,8;940,1;240,1;27,3;21,2;30,5;27,3;21,2;18,3;69;49;69;244;2;,3;
2025/01/01;2300 UTC;0;941,6;941,6;940,8;0;26,2;20,3;27,3;25,9;21,4;20,3;75;69;70;341;1,7;,7;
2025/01/02;0000 UTC;0;942,1;942,2;941,5;0;25,1;21;26,7;25,1;21,2;20,1;79;69;78;125;3,8;,6;
2025/01/02;0100 UTC;10,2;943,6;943,9;942,1;,3;22,5;22,5;25,3;22,5;23,4;20,8;100;76;100;156;5,9;2,5;
2025/01/02;0200 UTC;3,4;943,5;943,6;943,1;,7;21,9;21,9;22,5;21,6;22,2;21,6;100;100;100;304;5,9;1,2;
2025/01/02;0300 UTC;,2;943,4;943,6;943;0;21,9;21,9;22;21,6;22;21,6;100;100;100;292;3,5;1,3;
2025/01/02;0400 UTC;0;942,9;943,7;942,9;,2;21,7;20,5;22,2;21,5;21,9;20,5;100;93;93;332;4,2;1,1;
2025/01/02;0500 UTC;0;943,2;943,2;942,8;,4;21;20,9;21,8;20,9;21,4;20,1;100;90;99;123;4,4;2,6;
